"crop_name","year","country_iso2","country_name","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","gp_index_crops","gp_index_crops_lives_products","gp_index_custom","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Runner bean","2013","","World",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,1,0.00681050189622948,0.00256560260176531,0.4,NA,0.0470481756679885,0.456424280165983
"Rye","2010","","World",5023380,11936752,1316000,257896,1385314,251708,2.29,6,0.17,0.03,2186.219096,1,0.00132309692683696,0.000288316605875437,0.4,0.000533545924168207,0.00250306894737785,0.404648028404259
"Rye","2011","","World",5137335,13105737,992913,311482,971297,291972,2.31,6,0.17,0.03,2757.779333,1,0.00140034423101334,0.000261564288882321,0.4,0.000536923389718059,0.00315753256321701,0.405356364472831
"Rye","2012","","World",5278323,14496501,1500639,449774,1495445,431348,2.17,6,0.16,0.03,3448.907254,1,0.00149299630711524,0.000391033755868877,0.4,0.000513281130869099,0.00394890685573109,0.406346218049584
"Rye","2013","","World",5730500,16660623,1736902,487628,1819080,486669,NA,NA,NA,NA,4939.952596,1,0.00166939740859473,0.000447166595575311,0.4,NA,0.00565622458487788,0.407772788589048
"Safflower","2010","","World",834754,664656,70414,93868,41866,56208,0.34,1,0.07,0.09,256.070448,1,0.000150467115636334,3.38658899817618e-05,0.4,0.000501272736027993,0.000292957079016498,0.400978562820663
"Safflower","2011","","World",803991,678177,72436,118694,50187,76866,0.38,1,0.08,0.09,310.927006,1,0.000146919183282662,4.30544340869602e-05,0.4,0.000508027667127696,0.000355770443167948,0.401053771727665
"Safflower","2012","","World",968499,843899,71499,120907,48819,75825,0.38,1,0.08,0.09,387.154809,1,0.000178408703174855,4.24773553462651e-05,0.4,0.000508027667127696,0.00044305489780515,0.401171968623454
"Safflower","2013","","World",896800,721525,76687,130589,39406,61927,NA,NA,NA,NA,305.8477,1,0.000162047424697849,3.71899063813301e-05,0.4,NA,0.000349954396572122,0.400549191727651
"Saffron","2010","","World",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,1,0.000238988349035787,0.000606099286712191,0.4,0.00109436237463249,0.00245788990544597,0.404397339915826
"Saffron","2011","","World",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,1,0.000267269192160918,0.000675583351482093,0.4,0.00129185047659049,0.00284463935545142,0.405079342375685
"Saffron","2012","","World",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,1,0.000254806962933987,0.000692265489024288,0.4,0.00128340681271586,0.0027036410458732,0.404934120310547
"Saffron","2013","","World",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,1,0.00025902376414171,0.00085393776792801,0.4,NA,0.00266765629789302,0.403780617829963
"Sago palm","2010","","World",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,1,0.000639348087693554,6.46003972177338e-05,0.4,0.00091244739848208,0.00236892737683912,0.403985323260233
"Sago palm","2011","","World",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,1,0.000668422217588182,6.96334321219069e-05,0.4,0.000939467122880891,0.00280791343311537,0.404485436205706
"Sago palm","2012","","World",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,1,0.000691584045487798,8.35638244523917e-05,0.4,0.000973241778379405,0.00333033245655986,0.405078722104879
"Sago palm","2013","","World",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,1,0.000693869425949941,8.37195130224263e-05,0.4,NA,0.00310015006084549,0.403877738999818
"Salsify","2010","","World",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,1,0.0162048267894583,0.00173757695124737,0.4,0.0508233859727502,0.0889299152702887,0.557695704983745
"Salsify","2011","","World",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,1,0.0162573077966097,0.00177788477971017,0.4,0.0513643121607486,0.102388621952953,0.571788126690022
"Salsify","2012","","World",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,1,0.0169321687834934,0.00163089025537678,0.4,0.053019801980198,0.105784165156163,0.577367026175232
"Salsify","2013","","World",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,1,0.0173510891901523,0.00178277574923765,0.4,NA,0.109261960648607,0.528395825587997
"Sapodilla","2010","","World",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,1,0.00146454403562785,0.000256701252071727,0.4,0.0127708560169716,0.0117875740813739,0.426279675386045
"Sapodilla","2011","","World",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,1,0.00153416084753349,0.000283109708746935,0.4,0.0131783723157509,0.0143758463011751,0.429371489173206
"Sapodilla","2012","","World",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,1,0.00162786052457305,0.000353338445153413,0.4,0.013612908338929,0.0153015294064294,0.430895636715085
"Sapodilla","2013","","World",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,1,0.00166628761906341,0.000385471735324011,0.4,NA,0.0154460294807815,0.417497788835169
"Savory","2010","","World",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,1,0.0162048267894583,0.00173757695124737,0.4,0.0508233859727502,0.0889299152702887,0.557695704983745
"Savory","2011","","World",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,1,0.0162573077966097,0.00177788477971017,0.4,0.0513643121607486,0.102388621952953,0.571788126690022
"Savory","2012","","World",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,1,0.0169321687834934,0.00163089025537678,0.4,0.053019801980198,0.105784165156163,0.577367026175232
"Savory","2013","","World",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,1,0.0173510891901523,0.00178277574923765,0.4,NA,0.109261960648607,0.528395825587997
"Service tree","2010","","World",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,1,0.00211566594059493,0.0009832764004265,0.4,0.0127708560169716,0.0112483812457703,0.427118179603763
"Service tree","2011","","World",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,1,0.00221148818396741,0.00124833532395876,0.4,0.0131783723157509,0.0128553604842119,0.429493556307889
"Service tree","2012","","World",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,1,0.00230334047387379,0.00126887290391189,0.4,0.013612908338929,0.0128564843231341,0.430041606039849
"Service tree","2013","","World",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,1,0.002366845439896,0.00134817464554388,0.4,NA,0.0129453884130972,0.416660408498537
"Sesame","2010","","World",8221041,4321616,1381076,2013820,1360412,1826151,0.92,6,0.11,0.61,3964.363358,1,0.00136535049649817,0.000976459977012596,0.4,0.00317347666271626,0.0045391285747941,0.410054415711021
"Sesame","2011","","World",8386582,4712193,1495627,2217092,1445384,2017976,0.87,6,0.1,0.6,3756.219943,1,0.00140880701213427,0.00107486229575063,0.4,0.00311552804834658,0.00430079447949557,0.409899991835727
"Sesame","2012","","World",8544712,5406592,1438384,2189261,1509340,2106062,0.83,6,0.1,0.57,4109.073155,1,0.00146721398169089,0.00110504736340692,0.4,0.00296025826576173,0.00470482816490042,0.41023734777576
"Sesame","2013","","World",10067667,6005553,1546749,2934012,1667555,2890985,NA,NA,NA,NA,5044.788753,1,0.00170955331278952,0.00145848293847804,0.4,NA,0.0057762669635098,0.408944303214777
"Shala tree","2010","","World",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,1,0.000374877364657881,0.00021926065019494,0.4,0.000501272736027993,0.00113629486794389,0.402231705618825
"Shala tree","2011","","World",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,1,0.000403684919380912,0.000244106367594014,0.4,0.000508027667127696,0.00171664383753063,0.402872462791633
"Shala tree","2012","","World",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,1,0.000425331607060283,0.000252177068070533,0.4,0.000508027667127696,0.00187939531164615,0.403064931653905
"Shala tree","2013","","World",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,1,0.000435148479001815,0.000337638814868653,0.4,NA,0.00191264035258448,0.402685427646455
"Sisal","2010","","World",419832,389878,NA,NA,NA,NA,NA,NA,NA,NA,191.831348,1,7.85747378505681e-05,NA,0.4,NA,0.000219400258680424,0.400297974996531
