"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Citronella","2013","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,28126,1341,69891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Clovers","2010","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Clovers","2011","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Clovers","2012","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Clovers","2013","","World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Cloves","2010","","World",389162,NA,127569,3278,116305,34737,2,35406,27499,5245,82980,NA,124545,NA,-1002,43609,165345,33550,129026,0,0,0.01,0.01,35406,0,282765.830848,226.096384,116.520132,282761.397692,1
"Cloves","2011","","World",402544,NA,102591,2549,113061,44525,2,40110,48353,5063,73406,NA,107946,NA,1287,55268,388062,66208,712707,0,0,0.02,0.01,40110,0,227401.224349,176.234665,144.692471,227396.791193,1
"Cloves","2012","","World",569443,NA,130942,2299,141212,37812,2,44491,42359,6048,90742,NA,136646,NA,19,50351,424423,53570,489057,0,0,0.02,0.01,44491,0,290242.779549,236.120493,162.259605,290238.346393,1
"Cloves","2013","","World",584261,NA,142933,2446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42613,358601,41734,338660,NA,NA,NA,NA,NA,NA,316821.233987,256.396129,172.393291,316816.800831,1
"Cocoa","2010","","World",9587240,NA,4329173,4516,4622868,7345742,4764,4122803,7679283,108714,343904,42694,4295272,NA,-5945,9223676,37203437,9377235,38415211,0.39,5,1.67,0.61,4122802.7,0.12,4495794.408779,3851.525872,7896.933836,4495794.408779,1
"Cocoa","2011","","World",10217133,NA,4614955,4517,4956374,8370301,11750,4547291,8464692,122880,223877,51765,4573393,NA,288591,10405120,42613949,10349125,44053847,0.43,5,1.82,0.66,4547290.83,0.13,4792575.529732,4047.219105,8785.907347,4792575.529732,1
"Cocoa","2012","","World",10207258,NA,4613604,4520,5057833,7982113,1698,4544929,8238165,193494,261465,59957,4648222,NA,153559,10190948,39594390,10332509,40608277,0.42,5,1.8,0.66,4544929.43,0.13,4791172.428762,4048.310156,7457.483979,4791172.428762,1
"Cocoa","2013","","World",10108387,NA,4485377,4437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10306244,41025486,10748892,42211732,NA,NA,NA,NA,NA,NA,4658010.061178,3933.177119,7199.8961,4658010.061178,1
