"id_metric","id_country","id_crop","year","value"
1,16,100,2011,550
1,16,102,2011,175
1,16,145,2011,10
1,16,183,2011,175
1,16,196,2011,274
1,16,206,2011,175
1,16,214,2011,175
1,16,228,2011,17
1,16,280,2011,90
1,16,281,2011,90
1,16,282,2011,175
1,16,286,2011,175
1,16,314,2011,5480
1,16,317,2011,25
1,16,325,2011,175
1,16,329,2011,42
1,16,351,2011,21
1,16,353,2011,175
1,17,6,2011,57351
1,17,23,2011,60102
1,17,41,2011,670083
1,17,47,2011,57351
1,17,102,2011,57351
1,17,132,2011,10551
1,17,136,2011,10551
1,17,143,2011,3600
1,17,158,2011,10551
1,17,171,2011,10551
1,17,183,2011,57351
1,17,185,2011,10551
1,17,196,2011,183947
1,17,206,2011,57351
1,17,214,2011,57351
1,17,222,2011,157517
1,17,228,2011,10332
1,17,240,2011,10551
1,17,242,2011,20122
1,17,263,2011,341086
1,17,265,2011,10551
1,17,276,2011,295871
1,17,280,2011,2467646
1,17,281,2011,2467646
1,17,282,2011,57351
1,17,286,2011,57351
1,17,287,2011,326953
1,17,313,2011,98925
1,17,315,2011,1198
1,17,324,2011,10551
1,17,325,2011,57351
1,17,329,2011,5964
1,17,347,2011,644463
1,17,353,2011,57351
1,18,6,2011,8330
1,18,15,2011,100
1,18,23,2011,7752
1,18,41,2011,44139
1,18,47,2011,8330
1,18,90,2011,100
1,18,102,2011,8330
1,18,143,2011,65
1,18,183,2011,8330
1,18,196,2011,72025
1,18,206,2011,8330
1,18,214,2011,8330
1,18,222,2011,3516
1,18,228,2011,1700
1,18,242,2011,10166
1,18,263,2011,82341
1,18,276,2011,11000
1,18,280,2011,326241
1,18,281,2011,326241
1,18,282,2011,8330
1,18,286,2011,8330
1,18,287,2011,500
1,18,313,2011,62199
1,18,325,2011,8330
1,18,327,2011,61
1,18,329,2011,474
1,18,347,2011,200813
1,18,353,2011,8330
1,20,6,2011,7624
1,20,15,2011,71
1,20,40,2011,2685
1,20,47,2011,7624
1,20,76,2011,20
1,20,90,2011,71
1,20,99,2011,202
1,20,100,2011,249
1,20,101,2011,50
1,20,102,2011,7624
1,20,142,2011,3112
1,20,145,2011,113
1,20,183,2011,7624
1,20,196,2011,19452
1,20,200,2011,15923
1,20,206,2011,7624
1,20,214,2011,7624
1,20,228,2011,49
1,20,231,2011,15923
1,20,242,2011,3409
1,20,255,2011,95
1,20,257,2011,179
1,20,263,2011,102
1,20,280,2011,33537
1,20,281,2011,33537
1,20,282,2011,7624
1,20,286,2011,7624
1,20,303,2011,5175
1,20,306,2011,341
1,20,314,2011,24291
1,20,317,2011,4
1,20,325,2011,7624
1,20,329,2011,42
1,20,351,2011,9
1,20,353,2011,7624
1,21,6,2011,98930
1,21,15,2011,39444
1,21,40,2011,3416
1,21,47,2011,98930
1,21,76,2011,209812
1,21,90,2011,39444
1,21,100,2011,13500
1,21,101,2011,340
1,21,102,2011,98930
1,21,105,2011,208057
1,21,116,2011,496
1,21,132,2011,28388
1,21,136,2011,28388
1,21,145,2011,136699
1,21,158,2011,28388
1,21,171,2011,28388
1,21,183,2011,98930
1,21,185,2011,28388
1,21,196,2011,820161
1,21,200,2011,3810
1,21,206,2011,98930
1,21,214,2011,98930
1,21,224,2011,29000
1,21,228,2011,746
1,21,231,2011,3810
1,21,240,2011,28388
1,21,245,2011,595
1,21,255,2011,3101
1,21,263,2011,30
1,21,265,2011,28388
1,21,280,2011,1073231
1,21,281,2011,1073231
1,21,282,2011,98930
1,21,286,2011,98930
1,21,296,2011,14000
1,21,303,2011,111874
1,21,306,2011,74649
1,21,314,2011,347
1,21,317,2011,8107
1,21,324,2011,28388
1,21,325,2011,98930
1,21,327,2011,528
1,21,329,2011,28127
1,21,351,2011,182203
1,21,353,2011,98930
1,22,6,2011,5
1,22,40,2011,20
1,22,47,2011,5
1,22,102,2011,5
1,22,183,2011,5
1,22,206,2011,5
1,22,214,2011,5
1,22,228,2011,6
1,22,263,2011,45
1,22,282,2011,5
