crop,country,year,area_harvested_global
Asparagus,World,2010,0.978525089
Asparagus,World,2011,0.979021396
Asparagus,World,2012,0.979644741
Asparagus,World,2013,0.979573621
Atemoya,World,2010,0.948298159
Atemoya,World,2011,0.954728297
Atemoya,World,2012,0.955481421
Atemoya,World,2013,0.955476926
Avocado,World,2010,0.744055263
Avocado,World,2011,0.750903919
Avocado,World,2012,0.756074129
Avocado,World,2013,0.74814984
Azarole,World,2010,0.969095979
Azarole,World,2011,0.968720583
Azarole,World,2012,0.968327785
Azarole,World,2013,0.970961296
Babaco,World,2010,0.978666481
Babaco,World,2011,0.97932944
Babaco,World,2012,0.983998394
Babaco,World,2013,0.981801525
Badian,World,2010,0.927528322
Badian,World,2011,0.935376669
Badian,World,2012,0.93355734
Badian,World,2013,0.928854203
Bamboo shoot,World,2010,0.259313975
Bamboo shoot,World,2011,0.246929953
Bamboo shoot,World,2012,0.25108302
Bamboo shoot,World,2013,0.262455031
Bananas,World,2010,0.839199789
Bananas,World,2011,0.845808607
Bananas,World,2012,0.842068313
Bananas,World,2013,0.848293343
Barley,World,2010,0.640957709
Barley,World,2011,0.624856584
Barley,World,2012,0.636856786
Barley,World,2013,0.624223747
Bay leaf,World,2010,0.910513346
Bay leaf,World,2011,0.915296495
Bay leaf,World,2012,0.901408413
Bay leaf,World,2013,0.899672929
Beech nut,World,2010,0.905796344
Beech nut,World,2011,0.900549638
Beech nut,World,2012,0.892594441
Beech nut,World,2013,0.859639178
Beets,World,2010,0.963979628
Beets,World,2011,0.964412915
Beets,World,2012,0.965804053
Beets,World,2013,0.967028701
Black gram,World,2010,0.679996348
Black gram,World,2011,0.678062842
Black gram,World,2012,0.717878756
Black gram,World,2013,0.720490382
Black salsify,World,2010,0.976770273
Black salsify,World,2011,0.977378172
Black salsify,World,2012,0.978455536
Black salsify,World,2013,0.979111338
Blueberry,World,2010,0.202238057
Blueberry,World,2011,0.195920197
Blueberry,World,2012,0.212470837
Blueberry,World,2013,0.221996174
Brazil nut,World,2010,0.5
Brazil nut,World,2011,0.5
Brazil nut,World,2012,0.5
Brazil nut,World,2013,0.5
Breadfruit,World,2010,0.722104721
Breadfruit,World,2011,0.735925167
Breadfruit,World,2012,0.744568678
Breadfruit,World,2013,0.75650798
Buckwheat,World,2010,0.549431213
Buckwheat,World,2011,0.607359444
Buckwheat,World,2012,0.6557662
Buckwheat,World,2013,0.628520889
Butter-nut,World,2010,0.885626476
Butter-nut,World,2011,0.883790152
Butter-nut,World,2012,0.887315394
Butter-nut,World,2013,0.884054724
Butternut squash,World,2010,0.956169102
Butternut squash,World,2011,0.958752363
Butternut squash,World,2012,0.956522133
Butternut squash,World,2013,0.957518001
Cabbages,World,2010,0.392646931
Cabbages,World,2011,0.401132445
Cabbages,World,2012,0.401139543
Cabbages,World,2013,0.400596937
Cabbages and other brassicas,World,2010,0.392646931
Cabbages and other brassicas,World,2011,0.401132445
Cabbages and other brassicas,World,2012,0.401139543
Cabbages and other brassicas,World,2013,0.400596937
Caesarweed,World,2010,0.816209097
Caesarweed,World,2011,0.819046567
Caesarweed,World,2012,0.842584075
Caesarweed,World,2013,0.862905034
Cainito,World,2010,0.998021149
Cainito,World,2011,0.99825197
Cainito,World,2012,0.998184348
Cainito,World,2013,0.998160711
Calabash,World,2010,0.990097214
Calabash,World,2011,0.990545396
Calabash,World,2012,0.990354514
Calabash,World,2013,0.990319664
Canary seed,World,2010,0.999259935
Canary seed,World,2011,0.99944347
Canary seed,World,2012,0.999476263
Canary seed,World,2013,0.997550978
Candlenut,World,2010,0.905252237
Candlenut,World,2011,0.903641756
Candlenut,World,2012,0.91044864
Candlenut,World,2013,0.91173733
Canola,World,2010,0.925016445
Canola,World,2011,0.928317515
Canola,World,2012,0.930226919
Canola,World,2013,0.930883342
Capers,World,2010,0.976770273
Capers,World,2011,0.977378172
Capers,World,2012,0.978455536
Capers,World,2013,0.979111338
Carambola,World,2010,0.575611589
Carambola,World,2011,0.609891622
Carambola,World,2012,0.615284024
Carambola,World,2013,0.623302509
Cardamoms,World,2010,0.230421911
Cardamoms,World,2011,0.227775405
Cardamoms,World,2012,0.220681624
Cardamoms,World,2013,0.22254337
Carobs,World,2010,0.044930736
Carobs,World,2011,0.050086194
Carobs,World,2012,0.053221858
Carobs,World,2013,0.052580059
Carrots,World,2010,0.809334194
Carrots,World,2011,0.811961475
Carrots,World,2012,0.813316187
Carrots,World,2013,0.79855654
Cashews,World,2010,0.764442747
Cashews,World,2011,0.781324225
Cashews,World,2012,0.784919302
Cashews,World,2013,0.80083307
Cassava,World,2010,0.88757857
Cassava,World,2011,0.896509641
Cassava,World,2012,0.906682588
Cassava,World,2013,0.914187451
Castor bean,World,2010,0.474504223
Castor bean,World,2011,0.37176537
Castor bean,World,2012,0.325756679
Castor bean,World,2013,0.287091927
Celery,World,2010,0.976770273
Celery,World,2011,0.977378172
Celery,World,2012,0.978455536
Celery,World,2013,0.979111338
Cherimoya,World,2010,0.959148523
Cherimoya,World,2011,0.964757658
Cherimoya,World,2012,0.96601569
Cherimoya,World,2013,0.965995751
Cherries,World,2010,0.549350184
Cherries,World,2011,0.542225998
Cherries,World,2012,0.539262142
Cherries,World,2013,0.552797596
Chervil,World,2010,0.971812998
Chervil,World,2011,0.972631768
Chervil,World,2012,0.973004922
Chervil,World,2013,0.973865678
Chestnuts,World,2010,0.868359797
Chestnuts,World,2011,0.868969684
Chestnuts,World,2012,0.869440694
Chestnuts,World,2013,0.87019282
Chickpeas,World,2010,0.160342637
Chickpeas,World,2011,0.162337171
Chickpeas,World,2012,0.180845189
Chickpeas,World,2013,0.183111543
Chicory,World,2010,0.749843078
Chicory,World,2011,0.751552247
Chicory,World,2012,0.755693673
Chicory,World,2013,0.759024577
Chillies and peppers,World,2010,0.946497375
Chillies and peppers,World,2011,0.947541989
Chillies and peppers,World,2012,0.951001452
Chillies and peppers,World,2013,0.950483672
Chinotto,World,2010,0.984393598
Chinotto,World,2011,0.982640163
Chinotto,World,2012,0.984127535
Chinotto,World,2013,0.983179143
Chufa,World,2010,0.993938175
Chufa,World,2011,0.994098245
Chufa,World,2012,0.993932776
Chufa,World,2013,0.994084081
Cinnamon,World,2010,0.007552483
Cinnamon,World,2011,0.007978395
Cinnamon,World,2012,0.008217183
Cinnamon,World,2013,0.006353512
Citron,World,2010,0.958715399
Citron,World,2011,0.967640941
Citron,World,2012,0.951210997
Citron,World,2013,0.957483434
Cloves,World,2010,0.174625312
Cloves,World,2011,0.177280602
Cloves,World,2012,0.132428656
Cloves,World,2013,0.14164108
Cocoa,World,2010,0.866469383
Cocoa,World,2011,0.869251451
Cocoa,World,2012,0.868529148
Cocoa,World,2013,0.861035626
Coconuts,World,2010,0.151015335
Coconuts,World,2011,0.150759771
Coconuts,World,2012,0.148717834
Coconuts,World,2013,0.15019765
Coffee,World,2010,0.83169475
Coffee,World,2011,0.861244606
Coffee,World,2012,0.813108461
Coffee,World,2013,0.812330544
Common bean,World,2010,0.923677532
Common bean,World,2011,0.941443192
Common bean,World,2012,0.91818559
Common bean,World,2013,0.914044341
Coriander,World,2010,0.694173042
Coriander,World,2011,0.728566861
Coriander,World,2012,0.709695098
Coriander,World,2013,0.747785969
Cotton,World,2010,0.939370809
Cotton,World,2011,0.925011702
Cotton,World,2012,0.909060366
Cotton,World,2013,0.926711528
Cowpeas,World,2010,0.02680646
Cowpeas,World,2011,0.024544922
Cowpeas,World,2012,0.025644679
Cowpeas,World,2013,0.022514223
Cranberries,World,2010,0.467787704
Cranberries,World,2011,0.455317694
Cranberries,World,2012,0.554836237
Cranberries,World,2013,0.583052944
Cress,World,2010,0.960466061
Cress,World,2011,0.959800022
Cress,World,2012,0.960521059
Cress,World,2013,0.960349373
Cucumbers and gherkins,World,2010,0.300789112
Cucumbers and gherkins,World,2011,0.298840902
Cucumbers and gherkins,World,2012,0.287324518
Cucumbers and gherkins,World,2013,0.2856528
Cumin,World,2010,0.381734965
Cumin,World,2011,0.353312215
Cumin,World,2012,0.321969575
Cumin,World,2013,0.301377086
Currants,World,2010,0.008082469
Currants,World,2011,0.008033286
Currants,World,2012,0.009422053
Currants,World,2013,0.009488817
Cushaw,World,2010,0.985382451
Cushaw,World,2011,0.986255826
Cushaw,World,2012,0.985331193
Cushaw,World,2013,0.985986596
Custard apple,World,2010,0.987170785
Custard apple,World,2011,0.988222609
Custard apple,World,2012,0.987650079
Custard apple,World,2013,0.987641885
Dates,World,2010,0.078509765
Dates,World,2011,0.08580027
Dates,World,2012,0.090034322
Dates,World,2013,0.080011992
Devil's cotton,World,2010,0.873911966
Devil's cotton,World,2011,0.879428401
Devil's cotton,World,2012,0.882228669
Devil's cotton,World,2013,0.900177922
Dill,World,2010,0.906867785
Dill,World,2011,0.911823218
Dill,World,2012,0.897910922
Dill,World,2013,0.895993489
Durian,World,2010,0.723541794
Durian,World,2011,0.737209665
Durian,World,2012,0.745936578
Durian,World,2013,0.757777768
Eggplant,World,2010,0.122191421
Eggplant,World,2011,0.116915378
Eggplant,World,2012,0.11321145
Eggplant,World,2013,0.114099901
Elderberry,World,2010,0.982742464
Elderberry,World,2011,0.981520611
Elderberry,World,2012,0.982443795
Elderberry,World,2013,0.982009347
Ethiopian rape,World,2010,0.987561397
Ethiopian rape,World,2011,0.987925907
Ethiopian rape,World,2012,0.987660082
Ethiopian rape,World,2013,0.986547217
Faba beans,World,2010,0.98713651
Faba beans,World,2011,0.989026816
Faba beans,World,2012,0.989376748
Faba beans,World,2013,0.989352294
Feijoa,World,2010,0.959148523
Feijoa,World,2011,0.964757658
Feijoa,World,2012,0.96601569
Feijoa,World,2013,0.965995751
Fennel,World,2010,0.689380889
Fennel,World,2011,0.722110109
Fennel,World,2012,0.705938818
Fennel,World,2013,0.745465656
Fenugreek,World,2010,0.939607949
Fenugreek,World,2011,0.943058803
Fenugreek,World,2012,0.934365542
Fenugreek,World,2013,0.934666789
Fig leaf gourd,World,2010,0.965203665
Fig leaf gourd,World,2011,0.967251304
Fig leaf gourd,World,2012,0.964679258
Fig leaf gourd,World,2013,0.964934237
Figs,World,2010,0.175687725
Figs,World,2011,0.177078662
Figs,World,2012,0.178223784
Figs,World,2013,0.175041892
Finger millet,World,2010,0.892069848
Finger millet,World,2011,0.874714564
Finger millet,World,2012,0.900693645
Finger millet,World,2013,0.855128247
Flax,World,2010,0.580410161
Flax,World,2011,0.461568255
Flax,World,2012,0.457059765
Flax,World,2013,0.480992641
Fonio,World,2010,0
Fonio,World,2011,0
Fonio,World,2012,0
Fonio,World,2013,0
Foxtail millet,World,2010,0.629400609
Foxtail millet,World,2011,0.647473745
Foxtail millet,World,2012,0.612640511
Foxtail millet,World,2013,0.662068394
Garlic,World,2010,0.982973383
Garlic,World,2011,0.982585167
Garlic,World,2012,0.982855882
Garlic,World,2013,0.981948267
Ginger,World,2010,0.541675688
Ginger,World,2011,0.477760351
Ginger,World,2012,0.547471075
Ginger,World,2013,0.592428522
Gooseberries,World,2010,4.64E-05
Gooseberries,World,2011,2.36E-05
Gooseberries,World,2012,2.47E-05
Gooseberries,World,2013,2.50E-05
Grapefruits,World,2010,0.48779594
Grapefruits,World,2011,0.46399886
Grapefruits,World,2012,0.467249034
Grapefruits,World,2013,0.456516453
Grapes,World,2010,0.671382896
Grapes,World,2011,0.662417912
Grapes,World,2012,0.6486763
Grapes,World,2013,0.63733336
Grasspea,World,2010,0.928159937
Grasspea,World,2011,0.943263999
Grasspea,World,2012,0.945283992
Grasspea,World,2013,0.951327101
Groundnuts,World,2010,0.994908253
Groundnuts,World,2011,0.994297636
Groundnuts,World,2012,0.994255378
Groundnuts,World,2013,0.994270151
Guavas,World,2010,0.935934289
Guavas,World,2011,0.930801127
Guavas,World,2012,0.933847487
Guavas,World,2013,0.935425271
Hazelnuts,World,2010,0.314701245
Hazelnuts,World,2011,0.314277824
Hazelnuts,World,2012,0.320013032
Hazelnuts,World,2013,0.311772402
Hemp,World,2010,0.942421724
Hemp,World,2011,0.942740715
Hemp,World,2012,0.939345248
Hemp,World,2013,0.940124508
Hops,World,2010,0.436856613
Hops,World,2011,0.448534796
Hops,World,2012,0.47314497
Hops,World,2013,0.499727837
Horseradish,World,2010,0.983489458
Horseradish,World,2011,0.984266571
Horseradish,World,2012,0.983846772
Horseradish,World,2013,0.984371084
Huckleberry,World,2010,0.980327829
Huckleberry,World,2011,0.980165966
Huckleberry,World,2012,0.981168957
Huckleberry,World,2013,0.978761096
Jack bean,World,2010,0.99781829
Jack bean,World,2011,0.998557093
Jack bean,World,2012,0.998618458
Jack bean,World,2013,0.99869285
Jackfruit,World,2010,0.852069795
Jackfruit,World,2011,0.872681957
Jackfruit,World,2012,0.869347446
Jackfruit,World,2013,0.865524742
Japanese millet,World,2010,0.629400609
Japanese millet,World,2011,0.647473745
Japanese millet,World,2012,0.612640511
Japanese millet,World,2013,0.662068394
Jicama,World,2010,0.99781829
Jicama,World,2011,0.998557093
Jicama,World,2012,0.998618458
Jicama,World,2013,0.99869285
Jojoba,World,2010,0
Jojoba,World,2011,0
Jojoba,World,2012,0
Jojoba,World,2013,0
Jujube,World,2010,0.734347335
Jujube,World,2011,0.732544821
Jujube,World,2012,0.740290473
Jujube,World,2013,0.740405851
Jute,World,2010,0.033319929
Jute,World,2011,0.027144946
Jute,World,2012,0.023398036
Jute,World,2013,0.021831491
Kaniwa,World,2010,0.997757732
Kaniwa,World,2011,0.997157971
Kaniwa,World,2012,0.997527961
Kaniwa,World,2013,0.997702406
Karite nuts,World,2010,0
Karite nuts,World,2011,0
Karite nuts,World,2012,0
Karite nuts,World,2013,0
Kenaf,World,2010,0.56488839
Kenaf,World,2011,0.551561044
Kenaf,World,2012,0.548160802
Kenaf,World,2013,0.511550588
Kiwi fruit,World,2010,0.311535521
Kiwi fruit,World,2011,0.311071054
Kiwi fruit,World,2012,0.295642557
Kiwi fruit,World,2013,0.225171642
Kiwicha,World,2010,0.997757732
Kiwicha,World,2011,0.997157971
Kiwicha,World,2012,0.997527961
Kiwicha,World,2013,0.997702406
Kodo millet,World,2010,0.201253711
Kodo millet,World,2011,0.24441675
Kodo millet,World,2012,0.209629018
Kodo millet,World,2013,0.259262696
Kola nuts,World,2010,0
Kola nuts,World,2011,0
Kola nuts,World,2012,0
Kola nuts,World,2013,0
Kumquat,World,2010,0.703132418
Kumquat,World,2011,0.725098135
Kumquat,World,2012,0.718100471
Kumquat,World,2013,0.719420074
Lablab,World,2010,0.673584347
Lablab,World,2011,0.686678258
Lablab,World,2012,0.723006526
Lablab,World,2013,0.727611391
Leeks and other alliaceous vegetables,World,2010,0.734372735
Leeks and other alliaceous vegetables,World,2011,0.73187462
Leeks and other alliaceous vegetables,World,2012,0.736267371
Leeks and other alliaceous vegetables,World,2013,0.733923494
Lemons and limes,World,2010,0.551850954
Lemons and limes,World,2011,0.625232962
Lemons and limes,World,2012,0.61503984
Lemons and limes,World,2013,0.599672246
Lentils,World,2010,0.463495223
Lentils,World,2011,0.418295973
Lentils,World,2012,0.426560319
Lentils,World,2013,0.430771248
Lettuce,World,2010,0.842591255
Lettuce,World,2011,0.845823903
Lettuce,World,2012,0.852511005
Lettuce,World,2013,0.85719191
Lima bean,World,2010,0.923677532
Lima bean,World,2011,0.941443192
Lima bean,World,2012,0.91818559
Lima bean,World,2013,0.914044341
Litchi,World,2010,0.734347335
Litchi,World,2011,0.732544821
Litchi,World,2012,0.740290473
Litchi,World,2013,0.740405851
Little millet,World,2010,0.623441011
Little millet,World,2011,0.641195982
Little millet,World,2012,0.605899607
Little millet,World,2013,0.655092576
Longan,World,2010,0.852069795
Longan,World,2011,0.872681957
Longan,World,2012,0.869347446
Longan,World,2013,0.865524742
Loquat,World,2010,0.734347335
Loquat,World,2011,0.732544821
Loquat,World,2012,0.740290473
Loquat,World,2013,0.740405851
Lupins,World,2010,0.880509061
Lupins,World,2011,0.884361433
Lupins,World,2012,0.876822732
Lupins,World,2013,0.842980045
Maca,World,2010,0.94386348
Maca,World,2011,0.94546326
Maca,World,2012,0.954763695
Maca,World,2013,0.944439752
Macadamia nut,World,2010,0.971401441
Macadamia nut,World,2011,0.970120771
Macadamia nut,World,2012,0.969388927
Macadamia nut,World,2013,0.973905751
Mahuwa,World,2010,0.644534196
Mahuwa,World,2011,0.69370385
Mahuwa,World,2012,0.70561864
Mahuwa,World,2013,0.730083611
Maize,World,2010,0.946171067
Maize,World,2011,0.952380962
Maize,World,2012,0.950273716
Maize,World,2013,0.950827718
Mamey sapote,World,2010,0.987170785
Mamey sapote,World,2011,0.988222609
Mamey sapote,World,2012,0.987650079
Mamey sapote,World,2013,0.987641885
Mammee,World,2010,0.959148523
Mammee,World,2011,0.964757658
Mammee,World,2012,0.96601569
Mammee,World,2013,0.965995751
Mandarines,World,2010,0.558483795
Mandarines,World,2011,0.536656004
Mandarines,World,2012,0.53176707
Mandarines,World,2013,0.528941794
Mango,World,2010,0.423135768
Mango,World,2011,0.431106301
Mango,World,2012,0.427015668
Mango,World,2013,0.424934293
Mangosteen,World,2010,0.870108753
Mangosteen,World,2011,0.854846322
Mangosteen,World,2012,0.850120032
Mangosteen,World,2013,0.855832065
Marjoram,World,2010,0.98560877
Marjoram,World,2011,0.98515537
Marjoram,World,2012,0.985775471
Marjoram,World,2013,0.986172478
Mashua,World,2010,0.94386348
Mashua,World,2011,0.94546326
Mashua,World,2012,0.954763695
Mashua,World,2013,0.944439752
Mat bean,World,2010,0.679996348
Mat bean,World,2011,0.678062842
Mat bean,World,2012,0.717878756
Mat bean,World,2013,0.720490382
Mate,World,2010,0
Mate,World,2011,0
Mate,World,2012,0
Mate,World,2013,0
Mauka,World,2010,0.94386348
Mauka,World,2011,0.94546326
Mauka,World,2012,0.954763695
Mauka,World,2013,0.944439752
Medlar,World,2010,0.933548452
Medlar,World,2011,0.93450558
Medlar,World,2012,0.930845645
Medlar,World,2013,0.929685071
Melons,World,2010,0.284565852
Melons,World,2011,0.280338774
Melons,World,2012,0.235259901
Melons,World,2013,0.232647091
Mombin,World,2010,0.946319308
Mombin,World,2011,0.952980268
Mombin,World,2012,0.953665769
Mombin,World,2013,0.953637636
Mulberry,World,2010,0.893305963
Mulberry,World,2011,0.893361977
Mulberry,World,2012,0.893564691
Mulberry,World,2013,0.918652339
Mung bean,World,2010,0.476911303
Mung bean,World,2011,0.472914414
Mung bean,World,2012,0.511369105
Mung bean,World,2013,0.51834297
Myrtle,World,2010,0.736484546
Myrtle,World,2011,0.738360443
Myrtle,World,2012,0.74382033
Myrtle,World,2013,0.837032134
Naranjilla,World,2010,0.977405564
Naranjilla,World,2011,0.980869521
Naranjilla,World,2012,0.981091414
Naranjilla,World,2013,0.98078134
New Zealand flax,World,2010,0.981921718
New Zealand flax,World,2011,0.98193391
New Zealand flax,World,2012,0.981917663
New Zealand flax,World,2013,0.981536723
New Zealand Spinach,World,2010,0.132353598
New Zealand Spinach,World,2011,0.128664894
New Zealand Spinach,World,2012,0.12260531
New Zealand Spinach,World,2013,0.123090959
Noog,World,2010,0.740026559
Noog,World,2011,0.710938126
Noog,World,2012,0.720670819
Noog,World,2013,0.754828307
Nutmeg,World,2010,0.230421911
Nutmeg,World,2011,0.227775405
Nutmeg,World,2012,0.220681624
Nutmeg,World,2013,0.22254337
Oats,World,2010,0.603168082
Oats,World,2011,0.592086292
Oats,World,2012,0.591290377
Oats,World,2013,0.596679577
Oca,World,2010,0.94386348
Oca,World,2011,0.94546326
Oca,World,2012,0.954763695
Oca,World,2013,0.944439752
Oil palm,World,2010,0.757329241
Oil palm,World,2011,0.766505749
Oil palm,World,2012,0.771219395
Oil palm,World,2013,0.792447834
Okra,World,2010,0.580662279
Okra,World,2011,0.702770479
Okra,World,2012,0.711679613
Okra,World,2013,0.709176072
Olives,World,2010,0.015126791
Olives,World,2011,0.016255409
Olives,World,2012,0.016631587
Olives,World,2013,0.017514092
Onions,World,2010,0.911919724
Onions,World,2011,0.906341809
Onions,World,2012,0.91180092
Onions,World,2013,0.917757405
Orache,World,2010,0.068697598
Orache,World,2011,0.067859617
Orache,World,2012,0.065732322
Orache,World,2013,0.064024673
Oranges,World,2010,0.558483795
Oranges,World,2011,0.536656004
Oranges,World,2012,0.53176707
Oranges,World,2013,0.528941794
Papayas,World,2010,0.802663238
Papayas,World,2011,0.808904557
Papayas,World,2012,0.823035351
Papayas,World,2013,0.816235133
Parsley,World,2010,0.976770273
Parsley,World,2011,0.977378172
Parsley,World,2012,0.978455536
Parsley,World,2013,0.979111338
Parsnip,World,2010,0.965359426
Parsnip,World,2011,0.966492114
Parsnip,World,2012,0.967252089
Parsnip,World,2013,0.968161221
Passionfruit,World,2010,0.948298159
Passionfruit,World,2011,0.954728297
Passionfruit,World,2012,0.955481421
Passionfruit,World,2013,0.955476926
Pawpaw,World,2010,0.999991481
Pawpaw,World,2011,0.999992334
Pawpaw,World,2012,0.999991593
Pawpaw,World,2013,0.999993526
Peaches and nectarines,World,2010,0.385993008
Peaches and nectarines,World,2011,0.384646819
Peaches and nectarines,World,2012,0.377414531
Peaches and nectarines,World,2013,0.364449448
Pearl millet,World,2010,0.207213309
Pearl millet,World,2011,0.250694512
Pearl millet,World,2012,0.216369922
Pearl millet,World,2013,0.266238514
Pears,World,2010,0.153721876
Pears,World,2011,0.151971861
Pears,World,2012,0.149347668
Pears,World,2013,0.147203493
Peas,World,2010,0.902738788
Peas,World,2011,0.903591019
Peas,World,2012,0.918741085
Peas,World,2013,0.919016292
Pecan,World,2010,0.909964726
Pecan,World,2011,0.914252311
Pecan,World,2012,0.897779616
Pecan,World,2013,0.914292619
Pepper,World,2010,0.599911495
Pepper,World,2011,0.605971825
Pepper,World,2012,0.586790465
Pepper,World,2013,0.669118091
Peppermint,World,2010,0.000720461
Peppermint,World,2011,0.000858001
Peppermint,World,2012,0.000492368
Peppermint,World,2013,0.000544811
Perilla,World,2010,0.549786433
Perilla,World,2011,0.597345606
Perilla,World,2012,0.61606728
Perilla,World,2013,0.641820942
Persimmons,World,2010,0.022043519
Persimmons,World,2011,0.020216433
Persimmons,World,2012,0.0203174
Persimmons,World,2013,0.021906322
Pigeonpeas,World,2010,0.277341202
Pigeonpeas,World,2011,0.245378706
Pigeonpeas,World,2012,0.274708814
Pigeonpeas,World,2013,0.288951157
Pili nut,World,2010,0.587916272
Pili nut,World,2011,0.594161908
Pili nut,World,2012,0.600198779
Pili nut,World,2013,0.59032637
Pine nut,World,2010,0.981964586
Pine nut,World,2011,0.983892897
Pine nut,World,2012,0.984511253
Pine nut,World,2013,0.984856245
Pineapples,World,2010,0.888243944
Pineapples,World,2011,0.88560852
Pineapples,World,2012,0.888168614
Pineapples,World,2013,0.887029375
Pistachios,World,2010,0.423977045
Pistachios,World,2011,0.433243164
Pistachios,World,2012,0.448357726
Pistachios,World,2013,0.450736331
Plantains,World,2010,0.935835248
Plantains,World,2011,0.936044106
Plantains,World,2012,0.937591342
Plantains,World,2013,0.93831298
Plums,World,2010,0.129783316
Plums,World,2011,0.122349869
Plums,World,2012,0.121569973
Plums,World,2013,0.113556926
Pomegranate,World,2010,0.709953612
Pomegranate,World,2011,0.696721744
Pomegranate,World,2012,0.678229316
Pomegranate,World,2013,0.678898092
Pongamia oil,World,2010,0.54948811
Pongamia oil,World,2011,0.597059245
Pongamia oil,World,2012,0.615789687
Pongamia oil,World,2013,0.641558755
Poppies,World,2010,0.513146786
Poppies,World,2011,0.467805503
Poppies,World,2012,0.532200244
Poppies,World,2013,0.464822433
Potatoes,World,2010,0.975465262
Potatoes,World,2011,0.976224648
Potatoes,World,2012,0.976244382
Potatoes,World,2013,0.974767736
Prickly pear,World,2010,0.977149339
Prickly pear,World,2011,0.977631764
Prickly pear,World,2012,0.977853846
Prickly pear,World,2013,0.978043256
Proso millet,World,2010,0.62149257
Proso millet,World,2011,0.624314046
Proso millet,World,2012,0.596369466
Proso millet,World,2013,0.647202927
Pumpkin,World,2010,0.989424733
Pumpkin,World,2011,0.990227121
Pumpkin,World,2012,0.988711545
Pumpkin,World,2013,0.988382136
Purging croton,World,2010,0.529630907
Purging croton,World,2011,0.578553291
Purging croton,World,2012,0.599542194
Purging croton,World,2013,0.626021547
Quinces,World,2010,0.786549917
Quinces,World,2011,0.789481092
Quinces,World,2012,0.791023867
Quinces,World,2013,0.767646643
Quinoa,World,2010,0.5
Quinoa,World,2011,0.5
Quinoa,World,2012,0.5
Quinoa,World,2013,0.5
Radish,World,2010,0.976770273
Radish,World,2011,0.977378172
Radish,World,2012,0.978455536
Radish,World,2013,0.979111338
Rambutan,World,2010,0.723541794
Rambutan,World,2011,0.737209665
Rambutan,World,2012,0.745936578
Rambutan,World,2013,0.757777768
Ramie,World,2010,0.995846588
Ramie,World,2011,0.995435761
Ramie,World,2012,0.994537603
Ramie,World,2013,0.994857595
Rapeseed and Mustards,World,2010,0.956245944
Rapeseed and Mustards,World,2011,0.95554575
Rapeseed and Mustards,World,2012,0.958127682
Rapeseed and Mustards,World,2013,0.962654464
Raspberries,World,2010,0.074312587
Raspberries,World,2011,0.07607557
Raspberries,World,2012,0.079080198
Raspberries,World,2013,0.082226658
Rhubarb,World,2010,0.319477377
Rhubarb,World,2011,0.305113888
Rhubarb,World,2012,0.320068594
Rhubarb,World,2013,0.334640979
Rice (African),World,2010,0.9471591
Rice (African),World,2011,0.950545057
Rice (African),World,2012,0.947830082
Rice (African),World,2013,0.947452826
Rice (Asian),World,2010,0.495856758
Rice (Asian),World,2011,0.502605697
Rice (Asian),World,2012,0.500139128
Rice (Asian),World,2013,0.507251143
Rice bean,World,2010,0.574306149
Rice bean,World,2011,0.570975179
Rice bean,World,2012,0.60552283
Rice bean,World,2013,0.60541206
Roselle,World,2010,0.982503973
Roselle,World,2011,0.981753402
