crop,country,year,genus_count_gbif_research_supply,species_count_gbif_research_supply
Peppermint,World,2019,39,3
Perilla,World,2019,10,10
Persimmons,World,2019,48,4
Phalaris,World,2019,56,16
Phleum,World,2019,53,29
Physic nut,World,2019,12,3
Pigeonpeas,World,2019,904,704
Pili nut,World,2019,3,1
Pine nut,World,2019,407,7
Pineapples,World,2019,143,65
Pistachios,World,2019,70,47
Plantains,World,2019,974,29
Plums,World,2019,1167,156
Poa,World,2019,114,38
Pomegranate,World,2019,68,60
Pongamia oil,World,2019,8,
Poppies,World,2019,72,5
Potatoes,World,2019,8000,1120
Prickly pear,World,2019,40,3
Proso millet,World,2019,472,83
Prosopis,World,2019,938,4
Pueraria,World,2019,240,198
Pumpkin,World,2019,1386,391
Purging croton,World,2019,5,
Pyrethrum,World,2019,46,1
Quinces,World,2019,3,3
Quinoa,World,2019,35,4
Radish,World,2019,273,210
Rambutan,World,2019,389,242
Ramie,World,2019,7,5
Rapeseed and mustards,World,2019,1499,310
Raspberries,World,2019,134,7
Rhubarb,World,2019,46,7
Rhynchosia,World,2019,137,76
Rice bean,World,2019,5210,61
Roselle,World,2019,458,86
Rosemary,World,2019,4,2
"Rubber, natural",World,2019,2,2
Runner bean,World,2019,5799,259
Rye,World,2019,640,627
Safflower,World,2019,28,23
Saffron,World,2019,636,6
Sago palm,World,2019,,
Salsify,World,2019,7,1
Salsola,World,2019,1,
Sapodilla,World,2019,20,20
Savory,World,2019,17,7
Service tree,World,2019,355,4
Sesame,World,2019,1846,102
Sesbania,World,2019,304,119
Shala tree,World,2019,1,
Sisal,World,2019,46,1
Slippery cabbage,World,2019,2445,176
Snake gourd,World,2019,44,12
Snake plant,World,2019,16,2
Sorghum,World,2019,9196,8630
Sorrel,World,2019,31,5
Soursop,World,2019,106,6
Soybeans,World,2019,1114,355
Spider plant,World,2019,42,42
Spinach,World,2019,52,41
Strawberries,World,2019,52,2
Strawberry tree,World,2019,16,7
Stylosanthes,World,2019,529,246
Sugar apple,World,2019,106,35
Sugar beets,World,2019,931,494
Sugarcane,World,2019,669,161
Sunflowers,World,2019,468,177
Sunn hemp,World,2019,336,3
Sweetpotatoes,World,2019,4246,3560
Sword bean,World,2019,93,7
Tallowtree,World,2019,5,2
Tamarind,World,2019,15,15
Taro,World,2019,573,570
Tarragon,World,2019,75,3
Tea,World,2019,39,5
Teff,World,2019,130,2
Tepary bean,World,2019,5799,51
Thyme,World,2019,51,4
Tobacco,World,2019,525,473
Tomatillo,World,2019,89,16
Tomatoes,World,2019,8000,740
Tree tomato,World,2019,8000,10
Tripsacum,World,2019,,
Triticale,World,2019,4,
Tung nuts,World,2019,3,1
Turmeric,World,2019,66,6
Turnips,World,2019,1499,208
Ulluco,World,2019,214,214
Vanilla,World,2019,11,6
Velvet bean,World,2019,56,29
Velvet leaf,World,2019,36,
Vetch,World,2019,2842,726
Walnuts,World,2019,146,93
Water dropwort,World,2019,6,
Watercress,World,2019,5,4
Watermelons,World,2019,622,594
Wax gourd,World,2019,18,10
West Indian Gherkin,World,2019,1056,28
Wheat,World,2019,10340,4549
Wildrice,World,2019,1,
Winged bean,World,2019,636,503
Yacon,World,2019,2,1
Yams,World,2019,3385,1526
"Yautia, cocoyam",World,2019,171,93
Year bean,World,2019,5799,
Zornia,World,2019,97,1
Zucchini,World,2019,1386,369
