crop,country,year,import_quantity_global
Foxtail millet,World,2010,0.875278123
Foxtail millet,World,2011,0.836317251
Foxtail millet,World,2012,0.842286952
Foxtail millet,World,2013,0.855348916
Garlic,World,2010,0.970387496
Garlic,World,2011,0.964920109
Garlic,World,2012,0.97210336
Garlic,World,2013,0.970772783
Ginger,World,2010,0.86781076
Ginger,World,2011,0.863124335
Ginger,World,2012,0.812365831
Ginger,World,2013,0.809687583
Gooseberries,World,2010,0
Gooseberries,World,2011,0
Gooseberries,World,2012,0.009174312
Gooseberries,World,2013,0.013079667
Grapefruits,World,2010,0.835084957
Grapefruits,World,2011,0.835281682
Grapefruits,World,2012,0.82825377
Grapefruits,World,2013,0.852514962
Grapes,World,2010,0.772783694
Grapes,World,2011,0.76819801
Grapes,World,2012,0.74919813
Grapes,World,2013,0.747433269
Groundnuts,World,2010,0.992563599
Groundnuts,World,2011,0.989610177
Groundnuts,World,2012,0.989327449
Groundnuts,World,2013,0.990284356
Guavas,World,2010,0.985382387
Guavas,World,2011,0.984641637
Guavas,World,2012,0.981751531
Guavas,World,2013,0.984482576
Hazelnuts,World,2010,0.125695391
Hazelnuts,World,2011,0.122181664
Hazelnuts,World,2012,0.149124348
Hazelnuts,World,2013,0.134851329
Hops,World,2010,0.25703585
Hops,World,2011,0.262287747
Hops,World,2012,0.262391498
Hops,World,2013,0.286597979
Horseradish,World,2010,0.909099064
Horseradish,World,2011,0.901042858
Horseradish,World,2012,0.919245498
Horseradish,World,2013,0.920604533
Jackfruit,World,2010,0.999812701
Jackfruit,World,2011,0.999847798
Jackfruit,World,2012,0.999851267
Jackfruit,World,2013,0.999806219
Japanese millet,World,2010,0.875278123
Japanese millet,World,2011,0.836317251
Japanese millet,World,2012,0.842286952
Japanese millet,World,2013,0.855348916
Jerusalem artichoke,World,2010,0.836490277
Jerusalem artichoke,World,2011,0.834013807
Jerusalem artichoke,World,2012,0.621072113
Jerusalem artichoke,World,2013,0.651553511
Jujube,World,2010,0.484480166
Jujube,World,2011,0.44047422
Jujube,World,2012,0.36896257
Jujube,World,2013,0.365786149
Jute,World,2010,0.78162334
Jute,World,2011,0.657658666
Jute,World,2012,0.642377762
Jute,World,2013,0.713377141
