crop,country,year,genus_count_gini_institution,species_count_gini_institution
Tomatoes,World,2019,0.793435117,0.921335274
Tree tomato,World,2019,0.793435117,0.970099604
Tripsacum,World,2019,0.56262264,0.89111285
Triticale,World,2019,0.827800526,1
Tung nuts,World,2019,0.501823173,0.847027111
Turmeric,World,2019,0.716855997,0.770768964
Turnips,World,2019,0.71785356,0.795737838
Ulluco,World,2019,0.64997682,0.647580841
Vanilla,World,2019,0.64889737,0.843933176
Velvet bean,World,2019,0.701064129,0.766269504
Velvet leaf,World,2019,0.76524876,0.868092446
Vetch,World,2019,0.754902969,0.746634375
Walnuts,World,2019,0.762699067,0.843538514
Water dropwort,World,2019,0.796151462,0.842261359
Watercress,World,2019,0.619358538,0.592218733
Watermelons,World,2019,0.810010674,0.818411584
Wax gourd,World,2019,0.707257446,0.696067058
West Indian Gherkin,World,2019,0.780472084,0.942058401
Wheat,World,2019,0.77938815,0.778715227
Wildrice,World,2019,0.600530082,1
Winged bean,World,2019,0.816959098,0.843585395
Yacon,World,2019,0.57024709,0.708581413
Yams,World,2019,0.790387229,0.88963104
"Yautia, cocoyam",World,2019,0.758709654,0.737393358
Year bean,World,2019,0.796662003,0.983891051
Zornia,World,2019,0.872521567,0.882958793
Zucchini,World,2019,0.804022708,0.83427054
