crop,country,year,food_supply_quantity_g_global
Bambara bean,World,2012,0.956340213
Bambara bean,World,2013,0.969443157
Bamboo shoot,World,2010,0.436235875
Bamboo shoot,World,2011,0.433784339
Bamboo shoot,World,2012,0.428561076
Bamboo shoot,World,2013,0.427273245
Bananas,World,2010,0.931720108
Bananas,World,2011,0.926614038
Bananas,World,2012,0.927069119
Bananas,World,2013,0.938312402
Barley,World,2010,0.728387428
Barley,World,2011,0.734631107
Barley,World,2012,0.749241284
Barley,World,2013,0.719857187
Bay leaf,World,2010,1.008504429
Bay leaf,World,2011,1.009259038
Bay leaf,World,2012,0.996066353
Bay leaf,World,2013,0.993644342
Beech nut,World,2010,1.049594866
Beech nut,World,2011,1.062663812
Beech nut,World,2012,1.05663256
Beech nut,World,2013,1.02615482
Beets,World,2010,1.050866616
Beets,World,2011,1.050391354
Beets,World,2012,1.053750589
Beets,World,2013,1.055525386
Black gram,World,2010,0.90173221
Black gram,World,2011,0.917681707
Black gram,World,2012,0.933555861
Black gram,World,2013,0.938211964
Black salsify,World,2010,1.01840198
Black salsify,World,2011,1.018908471
Black salsify,World,2012,1.020082654
Black salsify,World,2013,1.021617654
Blueberry,World,2010,1.010666114
Blueberry,World,2011,1.009378762
Blueberry,World,2012,1.004668136
Blueberry,World,2013,1.005041274
Brazil nut,World,2010,1.030096701
Brazil nut,World,2011,1.02383451
Brazil nut,World,2012,1.027999454
Brazil nut,World,2013,1.02724325
Breadfruit,World,2010,0.985864869
Breadfruit,World,2011,0.979615838
Breadfruit,World,2012,0.981657504
Breadfruit,World,2013,0.989740508
Buckwheat,World,2010,1.27238669
Buckwheat,World,2011,1.281255097
Buckwheat,World,2012,1.270872051
Buckwheat,World,2013,1.267921313
Butter-nut,World,2010,1.040968727
Butter-nut,World,2011,1.033713307
Butter-nut,World,2012,1.037888778
Butter-nut,World,2013,1.037741575
Butternut squash,World,2010,1.065787634
Butternut squash,World,2011,1.066564731
Butternut squash,World,2012,1.0679706
Butternut squash,World,2013,1.069035771
Cabbages and other brassicas,World,2010,0.397718713
Cabbages and other brassicas,World,2011,0.395070212
Cabbages and other brassicas,World,2012,0.397881319
Cabbages and other brassicas,World,2013,0.399388905
Cabbages,World,2010,0.397718713
Cabbages,World,2011,0.395070212
Cabbages,World,2012,0.397881319
Cabbages,World,2013,0.399388905
Cainito,World,2010,0.99487207
Cainito,World,2011,0.996493974
Cainito,World,2012,0.996489723
Cainito,World,2013,0.99639421
Calabash,World,2010,1.018434408
Calabash,World,2011,1.018266693
Calabash,World,2012,1.018547886
Calabash,World,2013,1.01866447
Canary seed,World,2010,1.052733327
Canary seed,World,2011,1.039015218
Canary seed,World,2012,1.037181375
Canary seed,World,2013,1.03408733
Candlenut,World,2010,1.070678743
Candlenut,World,2011,1.070311522
Candlenut,World,2012,1.068956595
Candlenut,World,2013,1.070319008
Canola,World,2010,1.052377364
Canola,World,2011,1.052723679
Canola,World,2012,1.05469936
Canola,World,2013,1.056231696
Capers,World,2010,1.01840198
Capers,World,2011,1.018908471
Capers,World,2012,1.020082654
Capers,World,2013,1.021617654
Carambola,World,2010,1.004641148
Carambola,World,2011,1.002510258
Carambola,World,2012,0.998848795
Carambola,World,2013,0.99951473
Carapa,World,2010,0.994060442
Carapa,World,2011,0.996693672
Carapa,World,2012,0.992191295
Carapa,World,2013,0.988851738
Cardamoms,World,2010,0.54324589
Cardamoms,World,2011,0.487574226
Cardamoms,World,2012,0.523645789
Cardamoms,World,2013,0.524830565
Carobs,World,2010,1.01840198
Carobs,World,2011,1.018908471
Carobs,World,2012,1.020082654
Carobs,World,2013,1.021617654
Carrots,World,2010,1.064173572
Carrots,World,2011,1.063813026
Carrots,World,2012,1.065475292
Carrots,World,2013,1.066666498
Cashews,World,2010,1.030096701
Cashews,World,2011,1.02383451
Cashews,World,2012,1.027999454
Cashews,World,2013,1.02724325
Cassava,World,2010,0.937060305
Cassava,World,2011,0.941514247
Cassava,World,2012,0.949074315
Cassava,World,2013,0.950176503
Castor bean,World,2010,1.00471253
Castor bean,World,2011,0.885126291
Castor bean,World,2012,0.883344208
Castor bean,World,2013,0.851850471
Celery,World,2010,1.01840198
Celery,World,2011,1.018908471
Celery,World,2012,1.020082654
Celery,World,2013,1.021617654
Cherimoya,World,2010,0.998724519
Cherimoya,World,2011,0.999332574
Cherimoya,World,2012,1.002497332
Cherimoya,World,2013,1.002237793
Cherries,World,2010,1.009322439
Cherries,World,2011,1.010096672
Cherries,World,2012,1.012936942
Cherries,World,2013,1.008880322
Chervil,World,2010,1.031810148
Chervil,World,2011,1.030945309
Chervil,World,2012,1.033114312
Chervil,World,2013,1.032912512
Chestnuts,World,2010,0.917931871
Chestnuts,World,2011,0.939084235
Chestnuts,World,2012,0.929751151
Chestnuts,World,2013,0.934148245
Chickpeas,World,2010,0.557567559
Chickpeas,World,2011,0.545452015
Chickpeas,World,2012,0.560061379
Chickpeas,World,2013,0.524233779
Chicory,World,2010,1.281289357
Chicory,World,2011,1.281337279
Chicory,World,2012,1.283668093
Chicory,World,2013,1.281957852
Chillies and peppers,World,2010,1.002905157
Chillies and peppers,World,2011,1.000866227
Chillies and peppers,World,2012,1.00173372
Chillies and peppers,World,2013,1.00414427
Chinotto,World,2010,1.060561622
Chinotto,World,2011,1.057419451
Chinotto,World,2012,1.058594638
Chinotto,World,2013,1.058885815
Chontadura,World,2010,1.01328499
Chontadura,World,2011,1.015969145
Chontadura,World,2012,1.00983466
Chontadura,World,2013,1.006335639
Chufa,World,2010,1.062694558
Chufa,World,2011,1.063963748
Chufa,World,2012,1.062517352
Chufa,World,2013,1.062678835
Cinnamon,World,2010,0.660739248
Cinnamon,World,2011,0.633060495
Cinnamon,World,2012,0.677124549
Cinnamon,World,2013,0.683274612
Citron,World,2010,1.144220548
Citron,World,2011,1.148345166
Citron,World,2012,1.129801484
Citron,World,2013,1.137053193
Cloves,World,2010,0.814389292
Cloves,World,2011,0.886013129
Cloves,World,2012,0.844144682
Cloves,World,2013,0.910706534
Cocoa,World,2010,0.972422421
Cocoa,World,2011,0.979828607
Cocoa,World,2012,0.971197021
Cocoa,World,2013,0.982365364
Coconuts,World,2010,0.419250828
Coconuts,World,2011,0.426716076
Coconuts,World,2012,0.417643091
Coconuts,World,2013,0.396639621
Coffee,World,2010,1.04692811
Coffee,World,2011,1.05078185
Coffee,World,2012,1.057077908
Coffee,World,2013,1.063933884
Common bean,World,2010,0.926274038
Common bean,World,2011,0.939338695
Common bean,World,2012,0.919734102
Common bean,World,2013,0.914342357
Coriander,World,2010,0.965217897
Coriander,World,2011,0.969771993
Coriander,World,2012,0.942485737
Coriander,World,2013,0.947442573
Cotton,World,2010,1.031801021
Cotton,World,2011,1.023965091
Cotton,World,2012,1.026056296
Cotton,World,2013,1.025833373
Cowpeas,World,2010,0.875934915
Cowpeas,World,2011,0.881963991
Cowpeas,World,2012,0.873082615
Cowpeas,World,2013,0.889059699
Cranberries,World,2010,1.010666114
Cranberries,World,2011,1.009378762
Cranberries,World,2012,1.004668136
Cranberries,World,2013,1.005041274
Cress,World,2010,1.069763776
Cress,World,2011,1.070140105
Cress,World,2012,1.070604784
Cress,World,2013,1.071825256
Cucumbers and gherkins,World,2010,0.444567579
Cucumbers and gherkins,World,2011,0.443997436
Cucumbers and gherkins,World,2012,0.432805899
Cucumbers and gherkins,World,2013,0.426043363
Cumin,World,2010,0.545696686
Cumin,World,2011,0.487817823
Cumin,World,2012,0.515974991
Cumin,World,2013,0.546249851
Currants,World,2010,0.994867941
Currants,World,2011,0.995634023
Currants,World,2012,1.005999451
Currants,World,2013,1.000967846
Cushaw,World,2010,1.013601379
Cushaw,World,2011,1.013741082
Cushaw,World,2012,1.013856816
Cushaw,World,2013,1.014115025
Custard apple,World,2010,0.994164719
Custard apple,World,2011,0.994951069
Custard apple,World,2012,0.99600395
Custard apple,World,2013,0.996135017
Dates,World,2010,0.221328938
Dates,World,2011,0.222887581
Dates,World,2012,0.216589265
Dates,World,2013,0.222732818
Dill,World,2010,1.069787213
Dill,World,2011,1.070342902
Dill,World,2012,1.059849624
Dill,World,2013,1.053173258
Durian,World,2010,0.985044857
Durian,World,2011,0.978769028
Durian,World,2012,0.980796395
Durian,World,2013,0.988884833
Eggplant,World,2010,0.444567579
Eggplant,World,2011,0.443997436
Eggplant,World,2012,0.432805899
Eggplant,World,2013,0.426043363
Elderberry,World,2010,1.003257527
Elderberry,World,2011,1.003250649
Elderberry,World,2012,1.008218529
Elderberry,World,2013,1.004012085
Ethiopian rape,World,2010,1.02432283
Ethiopian rape,World,2011,1.024809871
Ethiopian rape,World,2012,1.024630236
Ethiopian rape,World,2013,1.024697847
Faba beans,World,2010,0.954379128
Faba beans,World,2011,0.955570826
Faba beans,World,2012,0.968032105
Faba beans,World,2013,0.963233245
Feijoa,World,2010,0.998724519
Feijoa,World,2011,0.999332574
Feijoa,World,2012,1.002497332
Feijoa,World,2013,1.002237793
Fennel,World,2010,0.981887663
Fennel,World,2011,0.987376653
Fennel,World,2012,0.959364387
Fennel,World,2013,0.964087274
Fenugreek,World,2010,0.97474057
Fenugreek,World,2011,0.979097113
Fenugreek,World,2012,0.966111831
Fenugreek,World,2013,0.972900741
Fig leaf gourd,World,2010,1.056881529
Fig leaf gourd,World,2011,1.056962122
Fig leaf gourd,World,2012,1.057750214
Fig leaf gourd,World,2013,1.05801834
Figs,World,2010,1.036326431
Figs,World,2011,1.049669843
Figs,World,2012,1.047257613
Figs,World,2013,1.034381216
Finger millet,World,2010,0.97803965
Finger millet,World,2011,0.972864705
Finger millet,World,2012,0.991918263
Finger millet,World,2013,0.98952645
Flax,World,2010,0.889784312
Flax,World,2011,0.847270094
Flax,World,2012,0.823617515
Flax,World,2013,0.739989366
Fonio,World,2010,0.902385153
Fonio,World,2011,0.915384261
Fonio,World,2012,0.909232401
Fonio,World,2013,0.916836502
Foxtail millet,World,2010,1.009974379
Foxtail millet,World,2011,0.946155757
Foxtail millet,World,2012,1.004310966
Foxtail millet,World,2013,0.998753182
Garlic,World,2010,1.008986532
Garlic,World,2011,1.008360053
Garlic,World,2012,1.008036276
Garlic,World,2013,1.007699473
Ginger,World,2010,0.604866621
Ginger,World,2011,0.546003931
Ginger,World,2012,0.586864848
Ginger,World,2013,0.607452321
Gooseberries,World,2010,1.009919796
Gooseberries,World,2011,1.015760647
Gooseberries,World,2012,1.026637916
Gooseberries,World,2013,1.020435776
Grapefruits,World,2010,0.691811211
Grapefruits,World,2011,0.65911476
Grapefruits,World,2012,0.651565256
Grapefruits,World,2013,0.629627129
Grapes,World,2010,0.955786295
Grapes,World,2011,0.965882181
Grapes,World,2012,0.912349629
Grapes,World,2013,0.890504795
Grasspea,World,2010,0.954379128
Grasspea,World,2011,0.955570826
Grasspea,World,2012,0.968032105
Grasspea,World,2013,0.963233245
Groundnuts,World,2010,1.03196857
Groundnuts,World,2011,1.029386126
Groundnuts,World,2012,1.031397899
Groundnuts,World,2013,1.035560407
Guavas,World,2010,0.998067044
Guavas,World,2011,0.997790847
Guavas,World,2012,1.002110829
Guavas,World,2013,1.002082588
Hazelnuts,World,2010,0.87085004
Hazelnuts,World,2011,0.889911314
Hazelnuts,World,2012,0.895268943
Hazelnuts,World,2013,0.883677566
Hemp,World,2010,1.027812948
Hemp,World,2011,0.955257542
Hemp,World,2012,0.948628461
Hemp,World,2013,0.932589039
Horseradish,World,2010,1.032608084
Horseradish,World,2011,1.032292616
Horseradish,World,2012,1.033491338
Horseradish,World,2013,1.033491487
Huckleberry,World,2010,1.010666114
Huckleberry,World,2011,1.009378762
Huckleberry,World,2012,1.004668136
Huckleberry,World,2013,1.005041274
Jack bean,World,2010,1.009020258
Jack bean,World,2011,1.009857284
Jack bean,World,2012,1.009184075
Jack bean,World,2013,1.008965067
Jackfruit,World,2010,1.020884212
Jackfruit,World,2011,1.025901608
Jackfruit,World,2012,1.020285012
Jackfruit,World,2013,1.011907409
Japanese millet,World,2010,1.009974379
Japanese millet,World,2011,0.946155757
Japanese millet,World,2012,1.004310966
Japanese millet,World,2013,0.998753182
Jerusalem artichoke,World,2010,1.021797372
Jerusalem artichoke,World,2011,1.019167869
Jerusalem artichoke,World,2012,1.010466108
Jerusalem artichoke,World,2013,1.013829489
Jicama,World,2010,1.009020258
Jicama,World,2011,1.009857284
Jicama,World,2012,1.009184075
Jicama,World,2013,1.008965067
Jojoba,World,2010,1.053678107
Jojoba,World,2011,1.055583635
Jojoba,World,2012,1.052039045
Jojoba,World,2013,1.050210596
Jujube,World,2010,0.883649218
Jujube,World,2011,0.874766559
Jujube,World,2012,0.864656483
Jujube,World,2013,0.868760247
Kaniwa,World,2010,0.998745275
Kaniwa,World,2011,0.99914211
Kaniwa,World,2012,0.998021236
Kaniwa,World,2013,0.99676424
Kapok,World,2010,0.652539234
Kapok,World,2011,0.706530036
Kapok,World,2012,0.699732463
Kapok,World,2013,0.736539771
Karite nuts,World,2010,0.573831814
Karite nuts,World,2011,0.604739608
Karite nuts,World,2012,0.617383459
Karite nuts,World,2013,0.680338086
Kiwi fruit,World,2010,0.883649218
Kiwi fruit,World,2011,0.874766559
Kiwi fruit,World,2012,0.864656483
Kiwi fruit,World,2013,0.868760247
Kiwicha,World,2010,0.998745275
Kiwicha,World,2011,0.99914211
Kiwicha,World,2012,0.998021236
Kiwicha,World,2013,0.99676424
Kodo millet,World,2010,0.212214527
Kodo millet,World,2011,0.232603754
Kodo millet,World,2012,0.23024635
Kodo millet,World,2013,0.229930004
Kola nuts,World,2010,0.98470576
Kola nuts,World,2011,0.990602863
Kola nuts,World,2012,0.992943853
Kola nuts,World,2013,0.99938916
Kumquat,World,2010,0.897023357
Kumquat,World,2011,0.949128428
Kumquat,World,2012,0.876219924
Kumquat,World,2013,0.900683848
Lablab,World,2010,0.872438666
Lablab,World,2011,0.878444642
Lablab,World,2012,0.869147342
Lablab,World,2013,0.885158131
Leeks and other alliaceous vegetables,World,2010,1.064173572
Leeks and other alliaceous vegetables,World,2011,1.063813026
Leeks and other alliaceous vegetables,World,2012,1.065475292
Leeks and other alliaceous vegetables,World,2013,1.066666498
Lemons and limes,World,2010,1.236661734
Lemons and limes,World,2011,1.34768551
Lemons and limes,World,2012,1.335356485
Lemons and limes,World,2013,1.308190415
Lentils,World,2010,0.557567559
Lentils,World,2011,0.545452015
Lentils,World,2012,0.560061379
Lentils,World,2013,0.524233779
Lettuce,World,2010,1.103635005
Lettuce,World,2011,1.102122361
Lettuce,World,2012,1.106233833
Lettuce,World,2013,1.107662136
Lima bean,World,2010,0.926274038
Lima bean,World,2011,0.939338695
Lima bean,World,2012,0.919734102
Lima bean,World,2013,0.914342357
Litchi,World,2010,0.883649218
Litchi,World,2011,0.874766559
Litchi,World,2012,0.864656483
Litchi,World,2013,0.868760247
Little millet,World,2010,1.163650941
Little millet,World,2011,1.089598762
Little millet,World,2012,1.156401196
Little millet,World,2013,1.149804568
Longan,World,2010,1.020884212
Longan,World,2011,1.025901608
Longan,World,2012,1.020285012
Longan,World,2013,1.011907409
Loquat,World,2010,0.883649218
Loquat,World,2011,0.874766559
Loquat,World,2012,0.864656483
Loquat,World,2013,0.868760247
Lupins,World,2010,0.951238073
Lupins,World,2011,0.960491174
Lupins,World,2012,0.968470313
Lupins,World,2013,0.968316802
Maca,World,2010,0.991903728
Maca,World,2011,0.990959122
Maca,World,2012,0.990273112
Maca,World,2013,0.991219469
Macadamia nut,World,2010,0.99338615
Macadamia nut,World,2011,0.994642107
Macadamia nut,World,2012,0.994028633
Macadamia nut,World,2013,0.993870929
Mahuwa,World,2010,1.186101981
Mahuwa,World,2011,1.186948196
Mahuwa,World,2012,1.18749556
Mahuwa,World,2013,1.187369259
Maize,World,2010,0.88945871
Maize,World,2011,0.889940694
Maize,World,2012,0.889336494
Maize,World,2013,0.890626063
Mamey sapote,World,2010,0.994164719
Mamey sapote,World,2011,0.994951069
Mamey sapote,World,2012,0.99600395
Mamey sapote,World,2013,0.996135017
Mammee,World,2010,0.998724519
Mammee,World,2011,0.999332574
Mammee,World,2012,1.002497332
Mammee,World,2013,1.002237793
Mandarines,World,2010,1.030348799
Mandarines,World,2011,0.971185226
Mandarines,World,2012,0.932621269
Mandarines,World,2013,0.915173356
Mango,World,2010,1.004641148
Mango,World,2011,1.002510258
Mango,World,2012,0.998848795
Mango,World,2013,0.99951473
Mangosteen,World,2010,0.985044857
Mangosteen,World,2011,0.978769028
Mangosteen,World,2012,0.980796395
Mangosteen,World,2013,0.988884833
Maple sugar,World,2010,0.92547477
Maple sugar,World,2011,0.923627804
Maple sugar,World,2012,0.923988614
Maple sugar,World,2013,0.924282105
Marjoram,World,2010,1.011207793
Marjoram,World,2011,1.011107037
Marjoram,World,2012,1.011553653
Marjoram,World,2013,1.012801051
Mashua,World,2010,0.991903728
Mashua,World,2011,0.990959122
Mashua,World,2012,0.990273112
Mashua,World,2013,0.991219469
Mat bean,World,2010,0.90173221
Mat bean,World,2011,0.917681707
Mat bean,World,2012,0.933555861
Mat bean,World,2013,0.938211964
Mate,World,2010,0.931740448
Mate,World,2011,0.938216975
Mate,World,2012,0.940933158
Mate,World,2013,0.941403507
Mauka,World,2010,0.991903728
Mauka,World,2011,0.990959122
Mauka,World,2012,0.990273112
Mauka,World,2013,0.991219469
Medlar,World,2010,1.005925434
Medlar,World,2011,1.007280334
Medlar,World,2012,1.009742854
Medlar,World,2013,1.006249207
Melons,World,2010,0.941579978
Melons,World,2011,0.929145525
Melons,World,2012,0.905458329
Melons,World,2013,0.918884611
Mombin,World,2010,0.992625305
Mombin,World,2011,0.9940659
Mombin,World,2012,0.998402631
Mombin,World,2013,0.998273069
Mulberry,World,2010,1.008150856
Mulberry,World,2011,1.011468154
Mulberry,World,2012,1.012471697
Mulberry,World,2013,1.011212993
Mung bean,World,2010,1.511801372
Mung bean,World,2011,1.542413301
Mung bean,World,2012,1.589679665
Mung bean,World,2013,1.599838114
Myrtle,World,2010,1.037644381
Myrtle,World,2011,1.046180264
Myrtle,World,2012,1.040886427
Myrtle,World,2013,1.027884872
Naranjilla,World,2010,0.998172235
Naranjilla,World,2011,0.999553367
Naranjilla,World,2012,0.999362659
Naranjilla,World,2013,0.998141732
New Zealand Spinach,World,2010,0.431173266
New Zealand Spinach,World,2011,0.428092379
New Zealand Spinach,World,2012,0.428945266
New Zealand Spinach,World,2013,0.428228423
Noog,World,2010,1.003933304
Noog,World,2011,0.961159721
Noog,World,2012,0.973070883
Noog,World,2013,0.989433548
Nutmeg,World,2010,0.54324589
Nutmeg,World,2011,0.487574226
Nutmeg,World,2012,0.523645789
Nutmeg,World,2013,0.524830565
Oats,World,2010,0.73300203
Oats,World,2011,0.737831233
Oats,World,2012,0.733975085
Oats,World,2013,0.744175659
Oca,World,2010,0.991903728
Oca,World,2011,0.990959122
Oca,World,2012,0.990273112
Oca,World,2013,0.991219469
Oil palm,World,2010,0.929259389
Oil palm,World,2011,0.933090103
Oil palm,World,2012,0.925836153
Oil palm,World,2013,0.929775834
Oiticica,World,2010,0.998824877
Oiticica,World,2011,1.001464415
Oiticica,World,2012,0.996918673
Oiticica,World,2013,0.993504322
Okra,World,2010,1.177052639
Okra,World,2011,1.179417171
Okra,World,2012,1.172241664
Okra,World,2013,1.16905648
Olives,World,2010,0.368857623
Olives,World,2011,0.331296635
Olives,World,2012,0.351124315
Olives,World,2013,0.387292152
Onions,World,2010,0.980422366
Onions,World,2011,0.974766369
Onions,World,2012,0.978813414
Onions,World,2013,0.981855613
Orache,World,2010,0.387799959
Orache,World,2011,0.384567314
Orache,World,2012,0.38883335
Orache,World,2013,0.39033382
Oranges,World,2010,1.030348799
Oranges,World,2011,0.971185226
Oranges,World,2012,0.932621269
Oranges,World,2013,0.915173356
Papayas,World,2010,0.998067044
Papayas,World,2011,0.997790847
Papayas,World,2012,1.002110829
Papayas,World,2013,1.002082588
Parsley,World,2010,1.01840198
Parsley,World,2011,1.018908471
Parsley,World,2012,1.020082654
Parsley,World,2013,1.021617654
Parsnip,World,2010,1.052377364
Parsnip,World,2011,1.052723679
Parsnip,World,2012,1.05469936
Parsnip,World,2013,1.056231696
Passionfruit,World,2010,0.998067044
Passionfruit,World,2011,0.997790847
Passionfruit,World,2012,1.002110829
Passionfruit,World,2013,1.002082588
Pawpaw,World,2010,1.010666114
Pawpaw,World,2011,1.009378762
Pawpaw,World,2012,1.004668136
Pawpaw,World,2013,1.005041274
Peaches and nectarines,World,2010,0.883649218
Peaches and nectarines,World,2011,0.874766559
Peaches and nectarines,World,2012,0.864656483
Peaches and nectarines,World,2013,0.868760247
Pearl millet,World,2010,0.195737862
Pearl millet,World,2011,0.214574551
Pearl millet,World,2012,0.212621848
Pearl millet,World,2013,0.212429786
Pears,World,2010,0.837418929
Pears,World,2011,0.817581954
Pears,World,2012,0.812697042
Pears,World,2013,0.825944577
Peas,World,2010,1.018222931
Peas,World,2011,0.999067443
Peas,World,2012,0.99088794
Peas,World,2013,0.978656377
Pecan,World,2010,0.964266731
Pecan,World,2011,0.959813612
Pecan,World,2012,0.967311766
Pecan,World,2013,0.959403873
Pepper,World,2010,1.060577508
Pepper,World,2011,1.069531676
Pepper,World,2012,1.078711047
Pepper,World,2013,1.105079007
Perilla,World,2010,1.288104589
Perilla,World,2011,1.288581501
Perilla,World,2012,1.287538094
Perilla,World,2013,1.289048933
Persimmons,World,2010,0.883649218
Persimmons,World,2011,0.874766559
Persimmons,World,2012,0.864656483
Persimmons,World,2013,0.868760247
Physic nut,World,2010,1.018600746
Physic nut,World,2011,1.018600746
Physic nut,World,2012,1.017114724
Physic nut,World,2013,1.017023469
Pigeonpeas,World,2010,0.703844368
Pigeonpeas,World,2011,0.684098345
Pigeonpeas,World,2012,0.674927215
Pigeonpeas,World,2013,0.650343289
Pili nut,World,2010,1.022204495
Pili nut,World,2011,1.023754637
Pili nut,World,2012,1.032059861
Pili nut,World,2013,1.031846758
Pine nut,World,2010,0.959019299
Pine nut,World,2011,0.96692706
Pine nut,World,2012,0.959646811
Pine nut,World,2013,0.967365102
Pineapples,World,2010,0.903616206
Pineapples,World,2011,0.901633474
Pineapples,World,2012,0.896382783
Pineapples,World,2013,0.89563514
Pistachios,World,2010,0.964625375
Pistachios,World,2011,0.976498139
Pistachios,World,2012,0.97519425
Pistachios,World,2013,0.971357714
Plantains,World,2010,1.046513316
Plantains,World,2011,1.043225814
Plantains,World,2012,1.042692818
Plantains,World,2013,1.042402548
Plums,World,2010,0.837418929
Plums,World,2011,0.817581954
Plums,World,2012,0.812697042
Plums,World,2013,0.825944577
Pomegranate,World,2010,1.032236706
Pomegranate,World,2011,1.041621612
Pomegranate,World,2012,1.036808291
Pomegranate,World,2013,1.026303484
Pongamia oil,World,2010,1.289169176
Pongamia oil,World,2011,1.290044922
Pongamia oil,World,2012,1.289162675
Pongamia oil,World,2013,1.290749584
Poppies,World,2010,1.00466183
Poppies,World,2011,1.027751407
Poppies,World,2012,1.016054448
Poppies,World,2013,0.953192304
Potatoes,World,2010,0.995309114
Potatoes,World,2011,0.995459854
Potatoes,World,2012,0.995866852
Potatoes,World,2013,0.99453908
Prickly pear,World,2010,0.999391362
Prickly pear,World,2011,0.998529574
Prickly pear,World,2012,0.999581807
Prickly pear,World,2013,0.999809099
Proso millet,World,2010,1.063635374
Proso millet,World,2011,0.983983238
Proso millet,World,2012,1.046134776
Proso millet,World,2013,1.039937598
Pumpkin,World,2010,1.030625674
Pumpkin,World,2011,1.030524912
Pumpkin,World,2012,1.031128582
Pumpkin,World,2013,1.031028882
Purging croton,World,2010,2.011675857
Purging croton,World,2011,1.99797361
Purging croton,World,2012,2.036568543
Purging croton,World,2013,2.061178937
Quinces,World,2010,1.01155691
Quinces,World,2011,1.014354795
Quinces,World,2012,1.015691352
Quinces,World,2013,1.013937971
Quinoa,World,2010,0.997122481
Quinoa,World,2011,0.997178097
Quinoa,World,2012,0.996594921
Quinoa,World,2013,0.993419086
Radish,World,2010,1.01840198
Radish,World,2011,1.018908471
Radish,World,2012,1.020082654
Radish,World,2013,1.021617654
Rambutan,World,2010,0.985044857
Rambutan,World,2011,0.978769028
Rambutan,World,2012,0.980796395
Rambutan,World,2013,0.988884833
Rapeseed and Mustards,World,2010,1.043425723
Rapeseed and Mustards,World,2011,1.042942577
Rapeseed and Mustards,World,2012,1.040099991
Rapeseed and Mustards,World,2013,1.038941545
Raspberries,World,2010,0.857891515
Raspberries,World,2011,0.851770638
Raspberries,World,2012,0.845319715
Raspberries,World,2013,0.841075238
Rhubarb,World,2010,0.431613031
Rhubarb,World,2011,0.428520438
Rhubarb,World,2012,0.429417108
Rhubarb,World,2013,0.428636235
Rice (African),World,2010,1.011801086
Rice (African),World,2011,1.011456894
Rice (African),World,2012,1.011968642
Rice (African),World,2013,1.01158915
Rice (Asian),World,2010,0.284920013
Rice (Asian),World,2011,0.284914457
Rice (Asian),World,2012,0.285077292
Rice (Asian),World,2013,0.291282082
Rice bean,World,2010,0.921720061
Rice bean,World,2011,0.935064701
Rice bean,World,2012,0.956687536
Rice bean,World,2013,0.964742499
Runner bean,World,2010,0.926724527
Runner bean,World,2011,0.941311777
Runner bean,World,2012,0.921334498
Runner bean,World,2013,0.917119316
Rye,World,2010,1.02605692
Rye,World,2011,1.027567046
Rye,World,2012,1.025554683
