crop,country,year,c_area_harvested,c_feed,c_production,c_yield,vap_gross_production_value_2004_2006_i,vap_gross_production_value_2014_2006_us,vap_gross_production_value_us,vap_net_production_value_2004_2006_i
Amaranth,World,2010,4573353,NA,5624483,12298,1471814.729,787.976097,1568.32234,1282480.025
Amaranth,World,2011,3800556,895497,4869357,12812,1274213.306,803.159706,1188.215668,1013282.28
Amaranth,World,2012,3949220,911953,5476533,13867,1433099.263,864.541273,1782.852482,1165038.124
Amaranth,World,2013,4260313,938104,6150540,14437,1609473.395,993.704448,1980.689669,1334071.735
Anise,World,2010,943046,NA,827412,8774,4573286.674,713.277734,1717.742721,4573259.038
Anise,World,2011,1082838,NA,952224,8794,5263145.063,802.040822,2020.413653,5263116.874
Anise,World,2012,1040955,NA,923817,8875,5106135.213,758.05124,1758.201376,5106113.547
Anise,World,2013,999465,NA,906033,9065,5007840.879,742.033978,1714.573771,5007818.082
Apple,World,2010,4886406,NA,71192145,145694,30108154.95,33074.4494,65738.9036,29880574.84
Apple,World,2011,4987857,NA,77072356,154520,32594978.25,35704.38981,48903.58051,32328367.12
Apple,World,2012,5075039,NA,78625948,154927,33252014.31,36129.07014,63553.12871,32956907.18
Apple,World,2013,5160561,NA,82820750,160488,35026054.7,38058.75924,52574.853,34746207.8
Apricot,World,2010,564663,NA,3305516,58540,1824998.256,1927.628615,2922.525413,1824146.41
Apricot,World,2011,536421,NA,3818558,71186,2108252.824,2272.124154,3323.407202,2107398.703
Apricot,World,2012,532322,NA,3865025,72607,2133907.09,2301.656586,3182.899767,2132986.353
Apricot,World,2013,558924,NA,4093243,73234,2259908.097,2440.040111,3231.642382,2258692.711
Areca nuts,World,2010,871949,NA,1081604,12404,1889902.233,863.575801,1520.695727,1889902.233
Areca nuts,World,2011,879009,NA,1096126,12470,1915275.879,878.225417,1646.416713,1915275.879
Areca nuts,World,2012,992815,NA,1340932,13506,2343029.257,1212.598507,2290.796347,2343029.257
Areca nuts,World,2013,902648,NA,1166166,12919,2037657.359,1051.665325,1816.101076,2037657.359
Arracacha,World,2010,1218971,NA,8950085,73423,NA,NA,NA,NA
Arracacha,World,2011,1257843,NA,9400643,74736,NA,NA,NA,NA
Arracacha,World,2012,1273960,NA,9798676,76915,NA,NA,NA,NA
Arracacha,World,2013,1286432,NA,9809301,76252,NA,NA,NA,NA
Arrhenatherum,World,2010,1426554,NA,7487774,52489,NA,NA,NA,NA
Arrhenatherum,World,2011,1454191,NA,8190220,56321,NA,NA,NA,NA
Arrhenatherum,World,2012,1483159,NA,8281961,55840,NA,NA,NA,NA
Arrhenatherum,World,2013,1462915,NA,7934250,54236,NA,NA,NA,NA
Arrowroot,World,2010,1218971,NA,8950085,73423,NA,NA,NA,NA
Arrowroot,World,2011,1257843,NA,9400643,74736,NA,NA,NA,NA
Arrowroot,World,2012,1273960,NA,9798676,76915,NA,NA,NA,NA
Arrowroot,World,2013,1286432,NA,9809301,76252,NA,NA,NA,NA
Artichokes,World,2010,127554,NA,1480371,116058,1066440.275,1055.117076,1194.618425,1066440.275
Artichokes,World,2011,129510,NA,1528753,118041,1101294.075,1082.206648,1265.54825,1101294.075
Artichokes,World,2012,124809,NA,1616180,129493,1164274.705,989.663547,1209.843679,1164274.705
Artichokes,World,2013,128996,NA,1608858,124722,1159000.179,1068.442163,1279.156081,1159000.179
Asparagus,World,2010,1426554,NA,7487774,52489,6815087.756,7011.54628,8761.212497,6815087.756
Asparagus,World,2011,1454191,NA,8190220,56321,7454426.739,7627.476767,10152.55337,7454426.739
Asparagus,World,2012,1483159,NA,8281961,55840,7537926.577,7697.74245,10474.27917,7537926.577
Asparagus,World,2013,1462915,NA,7934250,54236,7221452.871,7425.027542,11488.5421,7221452.871
Atemoya,World,2010,2900373,NA,20215994,69701,8261710.838,6084.249475,10294.62089,8261302.06
Atemoya,World,2011,3164798,NA,20843720,65861,8518244.581,6454.056195,12555.02689,8517901.608
Atemoya,World,2012,3194968,NA,22546163,70568,9213985.344,6948.809865,13363.45022,9213642.37
Atemoya,World,2013,3207702,NA,23243400,72461,9498926.706,7180.385027,13489.64592,9498612.225
Avocado,World,2010,443271,NA,3879484,87519,2688327.122,2168.0588,3810.703209,2672323.424
Avocado,World,2011,457279,NA,4173951,91278,2892380.899,2370.01817,4258.233434,2876022.567
Avocado,World,2012,478170,NA,4456290,93195,3088030.655,2581.69586,4329.081687,3071953.373
Avocado,World,2013,506397,NA,4670163,92223,3236235.953,2573.443791,4595.128165,3214751.641
Azarole,World,2010,4539566,NA,28282688,62303,9871619.6,6079.497811,9823.729645,9871269.921
Azarole,World,2011,4833356,NA,29331448,60685,10237672.53,6380.225854,11227.14675,10237328.91
Azarole,World,2012,5040661,NA,30532406,60572,10656847.96,6213.284996,11228.12823,10656487.27
Azarole,World,2013,5117804,NA,31536972,61622,11007475.6,6395.077944,11305.7705,11007114.91
Babaco,World,2010,4539566,NA,28282688,62303,9871619.6,6079.497811,9823.729645,9871269.921
Babaco,World,2011,4833356,NA,29331448,60685,10237672.53,6380.225854,11227.14675,10237328.91
Babaco,World,2012,5040661,NA,30532406,60572,10656847.96,6213.284996,11228.12823,10656487.27
Babaco,World,2013,5117804,NA,31536972,61622,11007475.6,6395.077944,11305.7705,11007114.91
Badian,World,2010,943046,NA,827412,8774,4573286.674,713.277734,1717.742721,4573259.038
Badian,World,2011,1082838,NA,952224,8794,5263145.063,802.040822,2020.413653,5263116.874
Badian,World,2012,1040955,NA,923817,8875,5106135.213,758.05124,1758.201376,5106113.547
Badian,World,2013,999465,NA,906033,9065,5007840.879,742.033978,1714.573771,5007818.082
Bambara bean,World,2010,200627,NA,151785,7566,29873.56478,22.749217,41.464877,26690.81922
Bambara bean,World,2011,202112,NA,135605,6709,26689.03313,18.980994,39.481036,23874.59832
Bambara bean,World,2012,210565,NA,156016,7409,30706.36631,21.416809,43.937587,27122.5541
Bambara bean,World,2013,223826,NA,157247,7025,30948.56831,23.45812,51.312539,27367.29135
Bamboo shoot,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Bamboo shoot,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Bamboo shoot,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Bamboo shoot,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Bananas,World,2010,5400390,NA,108665134,201217,30603470.24,21295.93902,35314.88334,30019021.63
Bananas,World,2011,5496539,NA,109430205,199089,30818938.18,21236.54214,42854.6374,30334120.23
Bananas,World,2012,5274021,NA,107810272,204418,30362714.74,20945.27495,45267.91446,29919982.96
Bananas,World,2013,5286085,NA,110514408,209067,31124283.19,21919.63713,40894.319,30836209.76
Barley,World,2010,47405964,NA,123303344,26010,14670878.48,16371.55234,23175.22145,3268460.899
Barley,World,2011,48442390,NA,132733302,27400,15792873.79,17149.33606,31449.71339,4420764.875
Barley,World,2012,49844175,NA,132213548,26525,15731032.37,17143.26049,33779.54018,4814488.916
Barley,World,2013,49773553,NA,143421287,28815,17064551.55,18663.97964,35304.83974,4752685.636
Bay leaf,World,2010,927593,NA,2103629,22678,NA,NA,NA,NA
Bay leaf,World,2011,1008818,NA,2427596,24064,NA,NA,NA,NA
Bay leaf,World,2012,978986,NA,2269144,23179,NA,NA,NA,NA
Bay leaf,World,2013,982860,NA,2339135,23799,NA,NA,NA,NA
Beech nut,World,2010,1625481,NA,2850441,17536,NA,NA,NA,NA
Beech nut,World,2011,1651134,NA,3330732,20172,NA,NA,NA,NA
Beech nut,World,2012,1695971,NA,3624339,21370,NA,NA,NA,NA
Beech nut,World,2013,1727446,NA,3728159,21582,NA,NA,NA,NA
Beets,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Beets,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Beets,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Beets,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Black gram,World,2010,32486941,NA,46510911,231884,23835651.47,19749.88248,33788.66193,21302312.54
Black gram,World,2011,32210303,NA,46191613,229717,23504602.44,19222.51469,41868.44617,21279052.06
Black gram,World,2012,30844784,NA,47256489,237545,23964544.99,19624.754,38113.73763,21571142.16
Black gram,World,2013,31027121,NA,47828399,241313,24162824.91,19590.84717,41088.62885,21730034.48
Black salsify,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Black salsify,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Black salsify,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Black salsify,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Blueberry,World,2010,75558,NA,323449,42808,818808.7089,784.21442,786.546623,818808.7089
Blueberry,World,2011,81524,NA,363586,44599,920415.0965,868.8157,1082.677138,920415.0965
Blueberry,World,2012,82696,NA,397793,48103,1007009.279,936.614176,1175.212893,1007009.279
Blueberry,World,2013,86521,NA,427760,49440,1082869.2,1032.167219,1103.425429,1082869.2
Brazil nut,World,2010,11500,NA,106082,92245,95138.62717,37.94296,81.915159,95138.62717
Brazil nut,World,2011,11500,NA,109476,95196,98182.11046,38.942379,100.907722,98182.11046
Brazil nut,World,2012,11300,NA,108405,95934,97221.72339,37.674261,86.126276,97221.72339
Brazil nut,World,2013,11300,NA,108600,96106,97396.6068,37.556144,84.761951,97396.6068
Breadfruit,World,2010,2900373,NA,20215994,69701,8261710.838,6084.249475,10294.62089,8261302.06
Breadfruit,World,2011,3164798,NA,20843720,65861,8518244.581,6454.056195,12555.02689,8517901.608
Breadfruit,World,2012,3194968,NA,22546163,70568,9213985.344,6948.809865,13363.45022,9213642.37
Breadfruit,World,2013,3207702,NA,23243400,72461,9498926.706,7180.385027,13489.64592,9498612.225
Buckwheat,World,2010,1910623,NA,1453880,7609,315595.2388,357.509185,745.515967,91397.66652
Buckwheat,World,2011,2337807,NA,2367160,10126,513841.7593,544.79661,1424.57647,111268.9657
Buckwheat,World,2012,2491909,NA,2262982,9081,491227.7657,549.885821,949.550232,87705.69028
Buckwheat,World,2013,2263608,NA,2263765,10001,491397.6593,517.84429,745.91524,112219.9926
Butter-nut,World,2010,581028,NA,826771,14229,NA,NA,NA,NA
Butter-nut,World,2011,567099,NA,845615,14911,NA,NA,NA,NA
Butter-nut,World,2012,589226,NA,867286,14719,NA,NA,NA,NA
Butter-nut,World,2013,578129,NA,877768,15183,NA,NA,NA,NA
Butternut squash,World,2010,1736070,NA,22763108,131119,NA,NA,NA,NA
Butternut squash,World,2011,1780650,NA,23661986,132884,NA,NA,NA,NA
Butternut squash,World,2012,1821600,NA,23917255,131298,NA,NA,NA,NA
Butternut squash,World,2013,1851136,NA,24522500,132473,NA,NA,NA,NA
Cabbages,World,2010,3457854,NA,86839927,468816,14902965.84,20214.43372,31702.31181,14259867.15
Cabbages,World,2011,3635706,NA,91844781,469942,15718504.21,21104.0931,29115.17325,14697355.94
Cabbages,World,2012,3614349,NA,90383048,468515,15560908.6,20535.88628,29380.73158,14685601.52
Cabbages,World,2013,3622205,NA,92078006,476874,15878157.66,20971.37649,32693.01881,15154779.83
Cabbages and other brassicas,World,2010,3457854,NA,86839927,468816,14902965.84,20214.43372,31702.31181,14259867.15
Cabbages and other brassicas,World,2011,3635706,NA,91844781,469942,15718504.21,21104.0931,29115.17325,14697355.94
Cabbages and other brassicas,World,2012,3614349,NA,90383048,468515,15560908.6,20535.88628,29380.73158,14685601.52
Cabbages and other brassicas,World,2013,3622205,NA,92078006,476874,15878157.66,20971.37649,32693.01881,15154779.83
Caesarweed,World,2010,174067,NA,260086,14942,124831.793,66.835083,111.560907,124831.793
Caesarweed,World,2011,177187,NA,273679,15446,131356.1471,72.206967,134.392861,131356.1471
Caesarweed,World,2012,167191,NA,260262,15567,124916.5737,68.003031,119.172125,124916.5737
Caesarweed,World,2013,178613,NA,253350,14184,121598.7533,65.21577,105.200735,121598.7533
Cainito,World,2010,2900373,NA,20215994,69701,8261710.838,6084.249475,10294.62089,8261302.06
Cainito,World,2011,3164798,NA,20843720,65861,8518244.581,6454.056195,12555.02689,8517901.608
Cainito,World,2012,3194968,NA,22546163,70568,9213985.344,6948.809865,13363.45022,9213642.37
Cainito,World,2013,3207702,NA,23243400,72461,9498926.706,7180.385027,13489.64592,9498612.225
Calabash,World,2010,1736070,NA,22763108,131119,NA,NA,NA,NA
Calabash,World,2011,1780650,NA,23661986,132884,NA,NA,NA,NA
Calabash,World,2012,1821600,NA,23917255,131298,NA,NA,NA,NA
Calabash,World,2013,1851136,NA,24522500,132473,NA,NA,NA,NA
Canary seed,World,2010,272841,NA,211135,7738,57572.35941,46.322566,86.233317,7933.667668
Canary seed,World,2011,224566,NA,201924,8992,55060.65617,46.317413,112.779121,2273.99517
Canary seed,World,2012,248212,NA,222470,8963,60663.1936,50.247374,121.921356,15461.56854
Canary seed,World,2013,213537,NA,195407,9151,53283.59481,43.879347,100.929954,NA
Candlenut,World,2010,1625481,NA,2850441,17536,NA,NA,NA,NA
Candlenut,World,2011,1651134,NA,3330732,20172,NA,NA,NA,NA
Candlenut,World,2012,1695971,NA,3624339,21370,NA,NA,NA,NA
Candlenut,World,2013,1727446,NA,3728159,21582,NA,NA,NA,NA
Canola,World,2010,3457854,NA,86839927,468816,14902965.84,20214.43372,31702.31181,14259867.15
Canola,World,2011,3635706,NA,91844781,469942,15718504.21,21104.0931,29115.17325,14697355.94
Canola,World,2012,3614349,NA,90383048,468515,15560908.6,20535.88628,29380.73158,14685601.52
Canola,World,2013,3622205,NA,92078006,476874,15878157.66,20971.37649,32693.01881,15154779.83
Capers,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Capers,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Capers,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Capers,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Carambola,World,2010,2900373,NA,20215994,69701,8261710.838,6084.249475,10294.62089,8261302.06
Carambola,World,2011,3164798,NA,20843720,65861,8518244.581,6454.056195,12555.02689,8517901.608
Carambola,World,2012,3194968,NA,22546163,70568,9213985.344,6948.809865,13363.45022,9213642.37
Carambola,World,2013,3207702,NA,23243400,72461,9498926.706,7180.385027,13489.64592,9498612.225
Carapa,World,2010,1625481,NA,2850441,17536,NA,NA,NA,NA
Carapa,World,2011,1651134,NA,3330732,20172,NA,NA,NA,NA
Carapa,World,2012,1695971,NA,3624339,21370,NA,NA,NA,NA
Carapa,World,2013,1727446,NA,3728159,21582,NA,NA,NA,NA
Cardamoms,World,2010,295642,NA,66669,2255,NA,NA,NA,NA
Cardamoms,World,2011,304119,NA,73974,2432,NA,NA,NA,NA
Cardamoms,World,2012,320044,NA,91402,2856,NA,NA,NA,NA
Cardamoms,World,2013,335363,NA,96243,2870,NA,NA,NA,NA
Carneros Yucca,World,2010,375939,NA,276134,7345,137717.2947,43.802029,83.921461,137717.2947
Carneros Yucca,World,2011,382836,NA,281306,7348,140296.8312,44.05972,102.302727,140296.8312
Carneros Yucca,World,2012,389075,NA,284142,7303,141711.2265,44.874829,93.506102,141711.2265
Carneros Yucca,World,2013,387491,NA,285396,7365,142336.329,44.862812,89.382532,142336.329
Caroa,World,2010,375939,NA,276134,7345,137717.2947,43.802029,83.921461,137717.2947
Caroa,World,2011,382836,NA,281306,7348,140296.8312,44.05972,102.302727,140296.8312
Caroa,World,2012,389075,NA,284142,7303,141711.2265,44.874829,93.506102,141711.2265
Caroa,World,2013,387491,NA,285396,7365,142336.329,44.862812,89.382532,142336.329
Carobs,World,2010,91921,NA,184159,20034,38733.7836,72.187147,91.774682,10135.49596
Carobs,World,2011,88738,NA,195654,22049,41151.57156,74.717309,81.798409,9434.277417
Carobs,World,2012,85575,NA,170926,19974,35950.49327,65.29114,66.948213,6745.987745
Carobs,World,2013,85175,NA,152863,17947,32151.44713,66.984834,65.464167,7207.934497
Carrots,World,2010,1168725,NA,34956864,299103,8721702.616,9153.096705,10765.01962,8329087.815
Carrots,World,2011,1204414,NA,36565572,303596,9123073.772,9560.503232,12572.87713,8611916.076
Carrots,World,2012,1192622,NA,37291861,312688,9304282.058,9700.892729,12749.25256,8855301.252
Carrots,World,2013,1141554,NA,38033338,333171,9489279.878,9869.391372,14694.02892,9053870.823
Cashews,World,2010,5822507,NA,5958751,36086,5348321.185,2559.520116,3625.838178,5348321.185
Cashews,World,2011,6307249,NA,6343465,36271,5685583.718,2758.236102,4730.590465,5685583.718
Cashews,World,2012,6423682,NA,6325362,36190,5670889.061,2714.671918,4269.234118,5670889.061
Cashews,World,2013,6628341,NA,6377558,35683,5713554.595,2758.643708,4090.093426,5713554.595
Cassava,World,2010,19726464,NA,240783482,226328,25144085.53,21234.69354,38745.8657,23293891.24
Cassava,World,2011,20637545,NA,253511158,233234,26473656.79,23259.11762,44122.13849,24660969.08
Cassava,World,2012,23276580,NA,261524990,217489,27310359.71,24349.78522,44360.20799,25563417.02
Cassava,World,2013,23682582,NA,261591709,214594,27318144.83,23787.20723,45371.26317,25561351.82
Castor bean,World,2010,1532610,NA,1741152,11361,679491.506,582.635829,831.027652,670480.8564
Castor bean,World,2011,2179891,NA,2742188,12579,1070150.018,930.893106,1458.068754,1063224.415
Castor bean,World,2012,1737223,NA,2245950,12928,876491.0361,769.847223,1143.170216,870200.0219
Castor bean,World,2013,1459013,NA,1935477,13266,755327.7783,661.714102,883.604792,749396.7662
Ceara,World,2010,NA,NA,32652,NA,10977.99422,11.428699,22.953075,10977.99422
Ceara,World,2011,NA,NA,38803,NA,13046.03424,13.612495,38.705732,13046.03424
Ceara,World,2012,NA,NA,48204,NA,16206.76325,16.948884,51.78589,16206.76325
Ceara,World,2013,NA,NA,51957,NA,17468.56688,18.277483,58.259854,17468.56688
Celery,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Celery,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Celery,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Celery,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Cherimoya,World,2010,2900373,NA,20215994,69701,8261710.838,6084.249475,10294.62089,8261302.06
Cherimoya,World,2011,3164798,NA,20843720,65861,8518244.581,6454.056195,12555.02689,8517901.608
Cherimoya,World,2012,3194968,NA,22546163,70568,9213985.344,6948.809865,13363.45022,9213642.37
Cherimoya,World,2013,3207702,NA,23243400,72461,9498926.706,7180.385027,13489.64592,9498612.225
Cherries,World,2010,613035,NA,3129581,102639,3231452.254,3615.611659,4675.290808,3231452.254
Cherries,World,2011,630601,NA,3407290,108603,3504355.51,3920.365962,5633.275653,3504355.51
Cherries,World,2012,630497,NA,3350620,105486,3492314.848,3857.821849,5812.60318,3492314.848
Cherries,World,2013,623311,NA,3663630,121922,3741151.437,4064.614793,6239.20478,3741151.437
Chervil,World,2010,18400753,NA,259721091,141147,NA,NA,NA,NA
Chervil,World,2011,18372783,NA,260792753,141945,NA,NA,NA,NA
Chervil,World,2012,19028297,NA,271900678,142893,NA,NA,NA,NA
Chervil,World,2013,19757918,NA,277946312,140676,NA,NA,NA,NA
Chestnuts,World,2010,549098,NA,2002054,36461,1556959.646,2043.08258,3014.541562,1556959.646
Chestnuts,World,2011,548493,NA,2041295,37216,1587476.554,2064.05184,4103.5481,1587476.554
Chestnuts,World,2012,557954,NA,2057873,36882,1600368.679,2081.744398,4893.062572,1600368.679
Chestnuts,World,2013,571114,NA,2092637,36641,1627404.276,2104.737755,4876.729987,1627404.276
Chickpeas,World,2010,11859138,NA,10866939,9163,5260315.711,4330.575268,7196.746474,4207887.91
Chickpeas,World,2011,13092801,NA,11619669,8875,5624686.898,4576.245373,8407.987766,4488319.392
Chickpeas,World,2012,12322434,NA,11521015,9350,5576931.545,4556.060812,8298.095447,4443513.975
Chickpeas,World,2013,12599380,NA,13288172,10547,6432352.07,5132.063286,8244.912377,5136146.26
Chicle,World,2010,NA,NA,32652,NA,10977.99422,11.428699,22.953075,10977.99422
Chicle,World,2011,NA,NA,38803,NA,13046.03424,13.612495,38.705732,13046.03424
Chicle,World,2012,NA,NA,48204,NA,16206.76325,16.948884,51.78589,16206.76325
Chicle,World,2013,NA,NA,51957,NA,17468.56688,18.277483,58.259854,17468.56688
Chicory,World,2010,1166655,NA,25331467,521096,NA,NA,NA,NA
Chicory,World,2011,1170074,NA,25707071,513070,NA,NA,NA,NA
Chicory,World,2012,1179659,NA,26235477,488727,NA,NA,NA,NA
Chicory,World,2013,1161435,NA,25108869,499092,NA,NA,NA,NA
Chillies and peppers,World,2010,3528625,NA,32763720,177278,17353738.97,20114.41576,29790.13237,17353738.97
Chillies and peppers,World,2011,3560014,NA,33429988,178286,17728341.72,20332.72769,32519.39185,17728341.72
Chillies and peppers,World,2012,3649905,NA,34278830,178983,18245911.54,21189.21558,31434.91842,18245911.54
Chillies and peppers,World,2013,3608628,NA,34839222,183418,18638499.98,21488.37095,34179.90452,18638499.98
Chinotto,World,2010,1346960,NA,12465575,92546,5635113.014,5247.317905,5336.082128,5635113.014
Chinotto,World,2011,1318993,NA,11349975,86050,5130801.485,4729.617458,5470.655986,5130801.485
Chinotto,World,2012,1373407,NA,12870381,93711,5818107.289,5343.436771,6441.807622,5818107.289
Chinotto,World,2013,1383198,NA,15813981,114329,7148773.208,6685.710047,8206.261198,7148773.208
Chontadura,World,2010,1625481,NA,2850441,17536,NA,NA,NA,NA
Chontadura,World,2011,1651134,NA,3330732,20172,NA,NA,NA,NA
Chontadura,World,2012,1695971,NA,3624339,21370,NA,NA,NA,NA
Chontadura,World,2013,1727446,NA,3728159,21582,NA,NA,NA,NA
Chufa,World,2010,1218971,NA,8950085,73423,NA,NA,NA,NA
Chufa,World,2011,1257843,NA,9400643,74736,NA,NA,NA,NA
Chufa,World,2012,1273960,NA,9798676,76915,NA,NA,NA,NA
Chufa,World,2013,1286432,NA,9809301,76252,NA,NA,NA,NA
Cinnamon,World,2010,229182,NA,190992,8334,265877.9579,295.732941,582.92357,265877.9579
Cinnamon,World,2011,242347,NA,199003,8211,277029.6077,303.618354,705.454977,277029.6077
Cinnamon,World,2012,248420,NA,204310,8224,284418.3639,309.953195,710.768002,284418.3639
Cinnamon,World,2013,258363,NA,209103,8093,291089.6738,313.955254,728.231902,291089.6738
Citron,World,2010,1346960,NA,12465575,92546,5635113.014,5247.317905,5336.082128,5635113.014
Citron,World,2011,1318993,NA,11349975,86050,5130801.485,4729.617458,5470.655986,5130801.485
Citron,World,2012,1373407,NA,12870381,93711,5818107.289,5343.436771,6441.807622,5818107.289
Citron,World,2013,1383198,NA,15813981,114329,7148773.208,6685.710047,8206.261198,7148773.208
Citronella,World,2010,NA,NA,NA,NA,NA,NA,NA,NA
Citronella,World,2011,NA,NA,NA,NA,NA,NA,NA,NA
Citronella,World,2012,NA,NA,NA,NA,NA,NA,NA,NA
Citronella,World,2013,NA,NA,NA,NA,NA,NA,NA,NA
Cloves,World,2010,389162,NA,127569,3278,282765.8308,226.096384,116.520132,282761.3977
Cloves,World,2011,402544,NA,102591,2549,227401.2243,176.234665,144.692471,227396.7912
Cloves,World,2012,569443,NA,130942,2299,290242.7795,236.120493,162.259605,290238.3464
Cloves,World,2013,584261,NA,142933,2446,316821.234,256.396129,172.393291,316816.8008
Cocoa,World,2010,9587240,NA,4329173,4516,4495794.409,3851.525872,7896.933836,4495794.409
Cocoa,World,2011,10217133,NA,4614955,4517,4792575.53,4047.219105,8785.907347,4792575.53
Cocoa,World,2012,10207258,NA,4613604,4520,4791172.429,4048.310156,7457.483979,4791172.429
Cocoa,World,2013,10108387,NA,4485377,4437,4658010.061,3933.177119,7199.8961,4658010.061
Coconuts,World,2010,11756224,NA,61215644,51125,6645838.03,5641.247257,10161.49898,6620642.577
Coconuts,World,2011,11911286,NA,59530454,49066,6462307.831,5542.557882,12192.1445,6440379.397
Coconuts,World,2012,12028147,NA,63008546,51443,6841806.239,5821.743775,11303.47197,6818965.988
Coconuts,World,2013,12024283,NA,63275510,51620,6863199.702,5871.526233,11206.38803,6841110.47
Coffee,World,2010,10532027,NA,8478007,8050,9108431.418,6773.606383,16200.65178,9108431.418
Coffee,World,2011,9935004,NA,8387743,8443,9011455.192,6563.87229,22111.24721,9011455.192
Coffee,World,2012,10364007,NA,8823713,8514,9479844.295,6857.907085,19605.29525,9479844.295
Coffee,World,2013,10584470,NA,8893329,8402,9554636.557,6911.24531,15980.02118,9554636.557
Common bean,World,2010,32486941,NA,46510911,231884,23835651.47,19749.88248,33788.66193,21302312.54
Common bean,World,2011,32210303,NA,46191613,229717,23504602.44,19222.51469,41868.44617,21279052.06
Common bean,World,2012,30844784,NA,47256489,237545,23964544.99,19624.754,38113.73763,21571142.16
