crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Chestnuts,World,2010,0.291304348,0.060869565,0.039130435,0.060869565
Chestnuts,World,2011,0.286956522,0.069565217,0.047826087,0.073913043
Chestnuts,World,2012,0.295652174,0.082608696,0.043478261,0.07826087
Chestnuts,World,2013,0.352173913,0.1,0.043478261,0.095652174
Chickpeas,World,2010,0.052173913,0.17826087,0.169565217,0.343478261
Chickpeas,World,2011,0.056521739,0.165217391,0.173913043,0.326086957
Chickpeas,World,2012,0.060869565,0.173913043,0.169565217,0.352173913
Chickpeas,World,2013,0.07826087,0.182608696,0.169565217,0.330434783
Chicle,World,2010,NA,NA,NA,NA
Chicle,World,2011,NA,NA,NA,NA
Chicle,World,2012,NA,NA,NA,NA
Chicle,World,2013,NA,NA,NA,NA
Chicory,World,2010,NA,NA,0.013043478,NA
Chicory,World,2011,NA,NA,0.008695652,NA
Chicory,World,2012,NA,NA,0.008695652,NA
Chicory,World,2013,NA,NA,0.017391304,NA
Chillies and peppers,World,2010,0.169565217,0.086956522,0.095652174,0.147826087
Chillies and peppers,World,2011,0.204347826,0.095652174,0.095652174,0.147826087
Chillies and peppers,World,2012,0.186956522,0.104347826,0.104347826,0.182608696
Chillies and peppers,World,2013,0.186956522,0.082608696,0.091304348,0.165217391
Chinotto,World,2010,NA,0.026086957,0.191304348,0.02173913
Chinotto,World,2011,NA,0.030434783,0.160869565,0.02173913
Chinotto,World,2012,NA,0.039130435,0.17826087,0.030434783
Chinotto,World,2013,NA,0.034782609,0.191304348,0.034782609
Chontadura,World,2010,0.017391304,NA,NA,0.004347826
Chontadura,World,2011,0.017391304,NA,NA,0.004347826
Chontadura,World,2012,0.017391304,NA,NA,0.004347826
Chontadura,World,2013,0.02173913,NA,NA,0.004347826
Chufa,World,2010,0.004347826,0.056521739,0.108695652,0.056521739
Chufa,World,2011,0.008695652,0.052173913,0.104347826,0.052173913
Chufa,World,2012,0.004347826,0.052173913,0.1,0.047826087
Chufa,World,2013,0.008695652,0.052173913,0.113043478,0.047826087
Cinnamon,World,2010,NA,NA,NA,NA
Cinnamon,World,2011,NA,NA,NA,NA
Cinnamon,World,2012,NA,NA,NA,NA
Cinnamon,World,2013,NA,NA,NA,NA
Citron,World,2010,NA,0.026086957,0.186956522,0.017391304
Citron,World,2011,NA,0.026086957,0.160869565,0.017391304
Citron,World,2012,NA,0.039130435,0.169565217,0.026086957
Citron,World,2013,NA,0.034782609,0.191304348,0.030434783
Citronella,World,2010,NA,NA,NA,NA
Citronella,World,2011,NA,NA,NA,NA
Citronella,World,2012,NA,NA,NA,NA
Citronella,World,2013,NA,NA,NA,NA
Cloves,World,2010,0.004347826,0.004347826,NA,NA
Cloves,World,2011,0.004347826,0.004347826,NA,0.004347826
Cloves,World,2012,0.008695652,0.004347826,NA,0.004347826
Cloves,World,2013,0.017391304,0.008695652,0.008695652,0.004347826
Cocoa,World,2010,0.534782609,0.360869565,0.334782609,0.365217391
Cocoa,World,2011,0.547826087,0.360869565,0.347826087,0.352173913
Cocoa,World,2012,0.530434783,0.356521739,0.356521739,0.356521739
Cocoa,World,2013,0.543478261,0.373913043,0.356521739,0.37826087
Coconuts,World,2010,0.547826087,0.356521739,0.408695652,0.126086957
Coconuts,World,2011,0.539130435,0.347826087,0.395652174,0.126086957
Coconuts,World,2012,0.556521739,0.347826087,0.408695652,0.117391304
Coconuts,World,2013,0.547826087,0.334782609,0.369565217,0.126086957
Coffee,World,2010,NA,0.17826087,0.460869565,0.373913043
Coffee,World,2011,NA,0.195652174,0.460869565,0.365217391
Coffee,World,2012,NA,0.182608696,0.460869565,0.373913043
Coffee,World,2013,NA,0.226086957,0.452173913,0.365217391
Common bean,World,2010,0.260869565,0.47826087,0.465217391,0.57826087
Common bean,World,2011,0.247826087,0.469565217,0.460869565,0.582608696
Common bean,World,2012,0.252173913,0.473913043,0.447826087,0.573913043
Common bean,World,2013,0.239130435,0.47826087,0.443478261,0.573913043
Coriander,World,2010,0.013043478,NA,NA,NA
Coriander,World,2011,0.008695652,NA,NA,NA
Coriander,World,2012,0.013043478,NA,NA,NA
Coriander,World,2013,0.004347826,NA,NA,NA
Cotton,World,2010,0.260869565,0.108695652,0.065217391,NA
Cotton,World,2011,0.260869565,0.134782609,0.065217391,NA
Cotton,World,2012,0.265217391,0.134782609,0.069565217,NA
Cotton,World,2013,0.256521739,0.143478261,0.069565217,NA
Cowpeas,World,2010,0.013043478,0.126086957,0.095652174,0.3
Cowpeas,World,2011,0.030434783,0.12173913,0.1,0.295652174
Cowpeas,World,2012,0.034782609,0.12173913,0.12173913,0.291304348
Cowpeas,World,2013,0.060869565,0.134782609,0.134782609,0.3
Cranberries,World,2010,NA,NA,NA,NA
Cranberries,World,2011,NA,NA,NA,NA
Cranberries,World,2012,NA,NA,NA,NA
Cranberries,World,2013,NA,NA,NA,NA
Cress,World,2010,0.013043478,0.108695652,0.67826087,0.313043478
Cress,World,2011,0.017391304,0.113043478,0.665217391,0.313043478
Cress,World,2012,0.008695652,0.104347826,0.660869565,0.32173913
Cress,World,2013,0.008695652,0.130434783,0.665217391,0.347826087
Cucumbers and gherkins,World,2010,NA,NA,0.27826087,NA
Cucumbers and gherkins,World,2011,NA,NA,0.282608696,NA
Cucumbers and gherkins,World,2012,NA,NA,0.256521739,0.008695652
Cucumbers and gherkins,World,2013,NA,NA,0.27826087,0.008695652
Cumin,World,2010,0.013043478,NA,NA,NA
Cumin,World,2011,0.008695652,NA,NA,NA
Cumin,World,2012,0.013043478,NA,NA,NA
Cumin,World,2013,0.004347826,NA,NA,NA
Currants,World,2010,NA,NA,NA,NA
Currants,World,2011,NA,NA,NA,NA
Currants,World,2012,NA,NA,NA,NA
Currants,World,2013,NA,NA,NA,NA
Cushaw,World,2010,NA,NA,0.008695652,NA
Cushaw,World,2011,NA,NA,NA,NA
Cushaw,World,2012,NA,NA,0.008695652,NA
Cushaw,World,2013,NA,NA,0.008695652,NA
Custard apple,World,2010,0.008695652,NA,0.052173913,NA
Custard apple,World,2011,0.008695652,0.004347826,0.060869565,NA
Custard apple,World,2012,0.008695652,0.004347826,0.07826087,NA
Custard apple,World,2013,0.008695652,NA,0.086956522,NA
Dates,World,2010,0.017391304,0.086956522,0.086956522,0.047826087
Dates,World,2011,0.026086957,0.091304348,0.086956522,0.052173913
Dates,World,2012,0.02173913,0.091304348,0.082608696,0.052173913
Dates,World,2013,0.030434783,0.091304348,0.091304348,0.047826087
Devil's cotton,World,2010,NA,NA,NA,NA
Devil's cotton,World,2011,NA,NA,NA,NA
Devil's cotton,World,2012,NA,NA,NA,NA
Devil's cotton,World,2013,NA,NA,NA,NA
