crop,country,year,genus_count_gini_origin,species_count_gini_origin
Blueberry,World,2019,0.111157287,0.038379531
Brachiaria,World,2019,0.232614503,0.146729047
Brazil nut,World,2019,0.4,0.4
Breadfruit,World,2019,0.220655806,0.172298587
Buckwheat,World,2019,0.130116414,0.128188243
Butter-nut,World,2019,1,1
Butternut squash,World,2019,0.176295236,0.102482076
Cabbages,World,2019,0.154601161,0.128826577
Cabbages and other brassicas,World,2019,0.154601161,0.148572249
Caesarweed,World,2019,0.364801865,0.348878394
Cainito,World,2019,0.459259259,0.303921569
Calabash,World,2019,0.153398295,0.157593583
Calopogonium,World,2019,0.204164196,0.198058567
Canary seed,World,2019,0.208614281,0.159240759
Candlenut,World,2019,0.325757576,0.183333333
Canola,World,2019,0.154601161,0.066758824
Capers,World,2019,0.106256142,0.044494348
Carambola,World,2019,0.272727273,0.225206612
Carapa,World,2019,1,1
Caraway,World,2019,0.316468849,0.285633665
Cardamoms,World,2019,0.244123932,0.089135021
Carneros Yucca,World,2019,0.129017233,0.052631579
Caroa,World,2019,0.5,1
Carobs,World,2019,0.24702381,0.234909457
Carrots,World,2019,0.264943385,0.258966619
Cashews,World,2019,0.099890558,0.100309796
Cassava,World,2019,0.17683216,0.182856107
Castor bean,World,2019,0.1147935,0.112726829
Ceara,World,2019,0.17683216,0.034559643
Celery,World,2019,0.244420703,0.231426785
Centrosema,World,2019,0.135898895,0.157186544
Ceylon-spinach,World,2019,0.512307692,0.136
Chayote,World,2019,0.140030441,0.12476345
Cherimoya,World,2019,0.133736421,0.071910112
Cherries,World,2019,0.184869386,0.09735438
Chervil,World,2019,0.336280488,0.220399113
Chestnuts,World,2019,0.145058708,0.098891491
Chickpeas,World,2019,0.126397365,0.125323372
Chicle,World,2019,0.218160377,0.18221393
Chicory,World,2019,0.170352904,0.161960659
Chillies and peppers,World,2019,0.177380347,0.180525898
Chinotto,World,2019,0.133109994,0.055501461
Chontadura,World,2019,0.485714286,1
Chufa,World,2019,0.231528098,0.129674599
Cinnamon,World,2019,0.274294671,0.188311688
Citron,World,2019,0.133109994,0.062889291
Citronella,World,2019,0.219512195,0.134676564
Clovers,World,2019,0.200562051,0.189269917
Cloves,World,2019,0.400537634,1
Cocoa,World,2019,0.143312559,0.143910047
Coconuts,World,2019,0.306722689,0.306722689
Coffee,World,2019,0.116455855,0.106039746
Common bean,World,2019,0.168068359,0.161462283
Coriander,World,2019,0.23268252,0.212585217
Coronilla,World,2019,0.348219075,0.228809226
Cotton,World,2019,0.106950886,0.096879515
Cowpeas,World,2019,0.14963871,0.12759306
Crambe,World,2019,0.208538211,0.136702128
Cranberries,World,2019,0.111157287,0.030476361
Cress,World,2019,0.251945051,0.23059867
Cucumbers and gherkins,World,2019,0.191664296,0.164549134
Cumin,World,2019,0.16717973,0.165526841
Currants,World,2019,0.160536142,0.114801347
Cushaw,World,2019,0.176295236,0.027569607
Custard apple,World,2019,0.133736421,0.130081301
Dactylis,World,2019,0.192858135,0.191416862
Dates,World,2019,0.153121116,0.130833333
Desmodium,World,2019,0.157122264,0.099026217
Devil's cotton,World,2019,0.298245614,0.222222222
Dill,World,2019,0.278349156,0.28308794
Durian,World,2019,0.128328136,0.18319858
Eggplant,World,2019,0.122525759,0.071862161
Elderberry,World,2019,0.161112093,0.062991326
Esparto,World,2019,0.38496063,0.042105263
Ethiopian rape,World,2019,0.154601161,0.032696059
Faba beans,World,2019,0.234989965,0.203170144
Feijoa,World,2019,0.186104218,0.186104218
Fennel,World,2019,0.242407553,0.210283946
Fenugreek,World,2019,0.237698909,0.160051844
Festuca,World,2019,0.193259428,0.182510966
Fig leaf gourd,World,2019,0.176295236,0.049519757
Figs,World,2019,0.171400166,0.100809305
Finger millet,World,2019,0.085129965,0.080354251
Fique,World,2019,0.444444444,1
Flax,World,2019,0.178018823,0.181187992
Fonio,World,2019,0.182508808,0.054496173
Foxtail millet,World,2019,0.092706176,0.05946581
Galactia,World,2019,0.288814782,0.185229239
Garlic,World,2019,0.210593262,0.168202278
Giant cabuya,World,2019,0.444444444,1
Ginger,World,2019,0.172321429,0.069370567
Gooseberries,World,2019,0.160536142,0.064729827
Grapefruits,World,2019,0.131772052,0.050829671
Grapes,World,2019,0.144548875,0.151330713
Grasspea,World,2019,0.192740288,0.135308389
Groundnuts,World,2019,0.147010006,0.149014458
Guavas,World,2019,0.180169628,0.150882353
Guayule,World,2019,0.233925049,0.201721356
Gutta-percha,World,2019,0.5,0.5
Hazelnuts,World,2019,0.185490925,0.159495497
Hedysarum,World,2019,0.204426595,0.08979021
Hemp,World,2019,0.201893906,0.198958428
Hops,World,2019,0.196192352,0.195376585
Horseradish,World,2019,0.276786894,0.269776876
Huckleberry,World,2019,0.419811321,0.333333333
Indigofera,World,2019,0.267052266,0.245192122
Jack bean,World,2019,0.256244218,0.192615311
Jackfruit,World,2019,0.220655806,0.065049226
Japanese millet,World,2019,0.075119732,0.022133581
Jerusalem artichoke,World,2019,0.115019495,0.058127215
Jicama,World,2019,0.282019114,0.229298404
Jojoba,World,2019,0.099079305,0.098951782
Jujube,World,2019,0.384180791,0.118177388
Jute,World,2019,0.09637469,0.083260029
Kaniwa,World,2019,0.076012918,0.026426282
Kapok,World,2019,0.388461538,0.268181818
Karite nuts,World,2019,1,1
Kenaf,World,2019,0.151307415,0.103613901
Kiwi fruit,World,2019,0.11674037,0.079723502
Kiwicha,World,2019,0.086781473,0.035627078
Kodo millet,World,2019,0.085278425,0.022297067
Kola nuts,World,2019,0.385714286,0.166666667
Kumquat,World,2019,0.277142857,0.30952381
Lablab,World,2019,0.131058001,0.120065597
Lavender,World,2019,0.251096491,0.245
Leeks and other alliaceous vegetables,World,2019,0.210593262,0.074712582
Lemons and limes,World,2019,0.133109994,0.100255983
Lentils,World,2019,0.185757037,0.181404088
Lespedeza,World,2019,0.141463415,0.105501618
Lettuce,World,2019,0.169756261,0.140528764
Leucaena,World,2019,0.12934783,0.13826168
Licorice,World,2019,0.302521503,0.233528941
Lima bean,World,2019,0.168068359,0.08266419
Litchi,World,2019,0.336988304,0.330879647
Little millet,World,2019,0.103670092,0.009181864
Lolium,World,2019,0.167680464,0.166180098
Longan,World,2019,0.362711864,0.362711864
Loquat,World,2019,0.218407777,0.214663643
Lotus,World,2019,0.190204414,0.171784695
Lupins,World,2019,0.155073229,0.155986646
Maca,World,2019,0.251945051,0.013384575
Macadamia nut,World,2019,0.345054945,0.333333333
Macroptilium,World,2019,0.173153134,0.110895281
Mahuwa,World,2019,0.466666667,0.333333333
Maize,World,2019,0.152927031,0.154084632
Malabar spinach,World,2019,0.321938326,0.317688889
Mamey sapote,World,2019,0.278111695,0.165999199
Mammee,World,2019,0.495652174,0.422222222
Mandarines,World,2019,0.131772052,0.095894714
Mango,World,2019,0.192387654,0.187118842
Mangosteen,World,2019,0.197797357,0.052971576
Maple sugar,World,2019,0.215605659,0.025303644
Marjoram,World,2019,0.292410532,0.166666667
Mashua,World,2019,0.090968468,0.054368451
Mat bean,World,2019,0.14963871,0.010160259
Mate,World,2019,0.164908213,0.022222222
Mauka,World,2019,0.298281092,0.073291925
Medlar,World,2019,0.306318681,0.306018519
Melilotus,World,2019,0.231850945,0.177588851
Melons,World,2019,0.191664296,0.138570649
Mombin,World,2019,0.192920354,0.171649485
Mulberry,World,2019,0.150837702,0.188442828
Mung bean,World,2019,0.14963871,0.065024124
Myrtle,World,2019,0.386569873,0.386569873
Naranjilla,World,2019,0.122525759,0.010854513
Neonotonia,World,2019,0.194304396,0.1936268
New Zealand flax,World,2019,0.143434343,0.191111111
New Zealand spinach,World,2019,0.277269529,0.190916737
Noog,World,2019,0.105412844,0.102491273
Nutmeg,World,2019,0.625,0.425
Oats,World,2019,0.183041282,0.166108095
Oca,World,2019,0.064005191,0.051645507
Oil palm,World,2019,0.100463679,0.099680803
Oiticica,World,2019,0.537037037,0.166666667
Okra,World,2019,0.141683692,0.143255293
Olives,World,2019,0.135855615,0.128718254
Onions,World,2019,0.210593262,0.158895911
Onobrychis,World,2019,0.245829292,0.18088971
Orache,World,2019,0.165469594,0.145130551
Oranges,World,2019,0.131772052,0.096309229
Oregano,World,2019,0.292410532,0.23463061
Ornithopus,World,2019,0.169194232,0.204295875
Papayas,World,2019,0.112898072,0.106660206
Parsley,World,2019,0.245670627,0.229804061
Parsnip,World,2019,0.246031042,0.229722065
Passionfruit,World,2019,0.119745699,0.086727927
Pawpaw,World,2019,0.128070175,0.12826087
Peaches and nectarines,World,2019,0.184869386,0.093122698
Pearl millet,World,2019,0.137336993,0.115976381
Pears,World,2019,0.141403232,0.111897139
Peas,World,2019,0.16133189,0.160315563
Pecan,World,2019,0.078125,0.074761569
Pepino,World,2019,0.122525759,0.019719251
Pepper,World,2019,0.057367749,0.13368984
Peppermint,World,2019,0.24206109,0.122655123
Perilla,World,2019,0.127622015,0.123382273
Persimmons,World,2019,0.17512218,0.071935546
Phalaris,World,2019,0.208614281,0.172709533
Phleum,World,2019,0.163620655,0.137404382
Physic nut,World,2019,0.06727288,0.061179986
Pigeonpeas,World,2019,0.06465608,0.058737726
Pili nut,World,2019,0.417004049,0.092307692
Pine nut,World,2019,0.069797748,0.055555556
Pineapples,World,2019,0.10508665,0.100597873
Pistachios,World,2019,0.309327846,0.197398737
Plantains,World,2019,0.17570593,0.067120519
Plums,World,2019,0.184869386,0.161745721
Poa,World,2019,0.226142906,0.174967961
Pomegranate,World,2019,0.132941176,0.127786014
Pongamia oil,World,2019,0.094494548,0.168421053
Poppies,World,2019,0.184766341,0.150348326
Potatoes,World,2019,0.122525759,0.078400491
Prickly pear,World,2019,0.065302004,0.09325321
Proso millet,World,2019,0.103670092,0.070292635
Prosopis,World,2019,0.161036551,0.1
Pueraria,World,2019,0.187907935,0.161969286
Pumpkin,World,2019,0.176295236,0.147754497
Purging croton,World,2019,0.318831169,0.043650794
Pyrethrum,World,2019,0.227159314,0.043549044
Quinces,World,2019,0.246727168,0.247400416
Quinoa,World,2019,0.076012918,0.046925219
Radish,World,2019,0.230917071,0.214019643
Rambutan,World,2019,0.162855691,0.194568452
Ramie,World,2019,0.276595745,0.081904762
Rapeseed and mustards,World,2019,0.154601161,0.132567181
Raspberries,World,2019,0.141240566,0.074496812
Rhubarb,World,2019,0.255333333,0.102066421
Rhynchosia,World,2019,0.317063945,0.259269853
Rice (African),World,2019,0.118658184,0.05113048
Rice (Asian),World,2019,0.118658184,0.105725641
Rice bean,World,2019,0.14963871,0.0312087
Roselle,World,2019,0.151307415,0.078553865
Rosemary,World,2019,0.275834446,0.27537248
"Rubber, natural",World,2019,0.157119476,0.485411141
Runner bean,World,2019,0.168068359,0.088947604
Rye,World,2019,0.209701914,0.203491135
Safflower,World,2019,0.090184081,0.083859016
Saffron,World,2019,0.098362573,0.050438596
Sago palm,World,2019,0.5,1
Salsify,World,2019,0.477761836,0.309977827
Salsola,World,2019,0.451466667,0.091666667
Sapodilla,World,2019,0.218160377,0.18221393
Savory,World,2019,0.296894249,0.23868528
Service tree,World,2019,0.221257339,0.029431217
Sesame,World,2019,0.107258519,0.102830465
Sesbania,World,2019,0.182954488,0.14523599
Shala tree,World,2019,1,0.5
Sisal,World,2019,0.077300297,0.083333333
Slippery cabbage,World,2019,0.141683692,0.058267754
Snake gourd,World,2019,0.103768922,0.146666667
Snake plant,World,2019,0.376666667,0.2
Sorghum,World,2019,0.120180468,0.11560094
Sorrel,World,2019,0.2896765,0.098293679
Soursop,World,2019,0.133736421,0.150229763
Soybeans,World,2019,0.095553219,0.09527925
Spider plant,World,2019,0.080740118,0.247455992
Spinach,World,2019,0.238223653,0.215374785
Strawberries,World,2019,0.109426462,0.091020979
Strawberry tree,World,2019,0.394285714,0.344
Stylosanthes,World,2019,0.097239646,0.069227147
Sugar apple,World,2019,0.133736421,0.109055228
Sugar beets,World,2019,0.217155942,0.217154091
Sugarcane,World,2019,0.146152328,0.098941743
Sunflowers,World,2019,0.115019495,0.106939905
Sunn hemp,World,2019,0.217266754,0.054662005
Sweetpotatoes,World,2019,0.156112819,0.140490872
Sword bean,World,2019,0.256244218,0.11973775
Tallowtree,World,2019,0.46875,0.171875
Tamarind,World,2019,0.272893773,0.272893773
Taro,World,2019,0.304651163,0.303894342
Tarragon,World,2019,0.246010975,0.144927536
Tea,World,2019,0.137153721,0.12543911
Teff,World,2019,0.05955391,0.014623955
Tepary bean,World,2019,0.168068359,0.027269343
Thyme,World,2019,0.289341564,0.172088353
Tobacco,World,2019,0.128322002,0.126671319
Tomatillo,World,2019,0.06929473,0.039518038
Tomatoes,World,2019,0.122525759,0.086510651
Tree tomato,World,2019,0.122525759,0.011278324
Tripsacum,World,2019,0.214700193,0.06122449
Triticale,World,2019,0.094783127,1
Tung nuts,World,2019,0.333333333,0.119047619
Turmeric,World,2019,0.202893437,0.237179487
Turnips,World,2019,0.154601161,0.102093832
Ulluco,World,2019,0.308863844,0.308863844
Vanilla,World,2019,0.099327857,0.078642028
Velvet bean,World,2019,0.211736973,0.134476031
Velvet leaf,World,2019,0.334609053,0.272222222
Vetch,World,2019,0.234989965,0.185921714
Walnuts,World,2019,0.188398487,0.162015163
Water dropwort,World,2019,0.44235589,0.157894737
Watercress,World,2019,0.328299173,0.266666667
Watermelons,World,2019,0.197152329,0.187572782
Wax gourd,World,2019,0.160282233,0.149224806
West Indian Gherkin,World,2019,0.191664296,0.041601799
Wheat,World,2019,0.173727755,0.150079531
Wildrice,World,2019,0.4,1
Winged bean,World,2019,0.193959276,0.153388278
Yacon,World,2019,0.106501283,0.101640052
Yams,World,2019,0.120270201,0.085933364
"Yautia, cocoyam",World,2019,0.253434668,0.158219362
Year bean,World,2019,0.168068359,0.025541153
Zornia,World,2019,0.148971329,0.048481419
Zucchini,World,2019,0.176295236,0.153773418
