crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Ginger,World,2019,0.151661096,0.154262541,0.157607457,0.158974431
Gooseberries,World,2019,0.207107524,0.284179884,0.283479446,0.278917741
Grapefruits,World,2019,0.028058887,0.054295858,0.071013019,0.058932313
Grapes,World,2019,0.110113669,0.155296192,0.157116517,0.131531301
Grasspea,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Groundnuts,World,2019,0.163572138,0.166390053,0.168669749,0.174565077
Guavas,World,2019,0.195149815,0.267772269,0.267112273,0.262813945
Guayule,World,2019,NA,NA,NA,NA
Gutta-percha,World,2019,NA,NA,NA,NA
Hazelnuts,World,2019,0.175698892,0.180717239,0.178666126,0.176018412
Hemp,World,2019,0.052383787,0.053969664,0.059349024,0.054743775
Hops,World,2019,NA,NA,NA,NA
Horseradish,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Huckleberry,World,2019,0.206601149,0.283485067,0.282786343,0.27823579
Jack bean,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Jackfruit,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Japanese millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Jelutong,World,2019,NA,NA,NA,NA
Jerusalem artichoke,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Jicama,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Jojoba,World,2019,0.053436403,0.055076851,0.060498988,0.055832019
Jujube,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Jute,World,2019,NA,NA,NA,NA
Kaniwa,World,2019,0.097302145,0.104646392,0.108623725,0.106142402
Kapok,World,2019,0.053436403,0.055076851,0.060498988,0.055832019
Karite nuts,World,2019,0.053436403,0.055076851,0.060452433,0.055832019
Kenaf,World,2019,NA,NA,NA,NA
Kiwi fruit,World,2019,0.20071228,0.275404733,0.274725924,0.270305079
Kiwicha,World,2019,0.097302145,0.104646392,0.108623725,0.106142402
Kodo millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Kola nuts,World,2019,0.179593695,0.184723286,0.182626705,0.179920298
Kumquat,World,2019,0.030890288,0.048177891,0.078363417,0.04791773
Lablab,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Leeks and other alliaceous vegetables,World,2019,0.2550939,0.26401262,0.258327302,0.260307403
Lemons and limes,World,2019,0.134751846,0.144899824,0.160487141,0.158912491
Lentils,World,2019,0.14522778,0.147712664,0.148643325,0.148591423
Lettuce,World,2019,0.251517818,0.260311509,0.254705891,0.256658234
Lima bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Litchi,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Little millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Longan,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Loquat,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Lupins,World,2019,0.15139996,0.153990453,0.154976487,0.154922408
Maca,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Macadamia nut,World,2019,0.170110452,0.17497687,0.173017988,0.170603758
Mahuwa,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Maize,World,2019,0.163186015,0.155612392,0.151549906,0.138363597
Mamey sapote,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Mammee,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Mandarines,World,2019,0.186236151,0.194454524,0.187749374,0.190266706
Mango,World,2019,0.195149815,0.267772269,0.267112273,0.262813945
Mangosteen,World,2019,0.195149815,0.267772269,0.267112273,0.262813945
Maple sugar,World,2019,0.00723576,0.310559589,0.308654313,0.017747047
Marjoram,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Mashua,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Mat bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Mate,World,2019,NA,0.115730283,0.159785166,0.154287911
Mauka,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Medlar,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Melons,World,2019,0.196055383,0.269014832,0.268351773,0.264033499
