crop,country,year,genus_count_gbif_research_supply,species_count_gbif_research_supply
Tarragon,World,2019,77,3
Tea,World,2019,53,6
Teff,World,2019,143,2
Tepary bean,World,2019,5800,51
Thyme,World,2019,53,5
Tobacco,World,2019,526,474
Tomatillo,World,2019,93,18
Tomatoes,World,2019,8000,740
Tree tomato,World,2019,8000,10
Tripsacum,World,2019,0,0
Triticale,World,2019,4,0
Tung nuts,World,2019,7,1
Turmeric,World,2019,68,7
Turnips,World,2019,1499,208
Ulluco,World,2019,215,214
Vanilla,World,2019,14,7
Velvet bean,World,2019,56,29
Velvet leaf,World,2019,38,0
Vetch,World,2019,2842,726
Walnuts,World,2019,151,93
Water dropwort,World,2019,6,0
Watercress,World,2019,5,4
Watermelons,World,2019,624,595
Wax gourd,World,2019,19,11
West Indian Gherkin,World,2019,1056,28
Wheat,World,2019,10341,4549
Wildrice,World,2019,1,0
Winged bean,World,2019,637,503
Yacon,World,2019,2,1
Yams,World,2019,3391,1526
"Yautia, cocoyam",World,2019,174,96
Year bean,World,2019,5800,0
Zornia,World,2019,97,1
Zucchini,World,2019,1386,369
