crop,country,year,gross_production_value_global
Proso millet,World,2010,0.499116053
Proso millet,World,2011,0.414298406
Proso millet,World,2012,0.458534855
Proso millet,World,2013,0.492166047
Pumpkin,World,2010,0.991609886
Pumpkin,World,2011,0.99257084
Pumpkin,World,2012,0.989927697
Pumpkin,World,2013,0.988663643
Purging croton,World,2010,0.300881429
Purging croton,World,2011,0.225504713
Purging croton,World,2012,0.190990081
Purging croton,World,2013,0.170926725
Pyrethrum,World,2010,1
Pyrethrum,World,2011,1
Pyrethrum,World,2012,1
Pyrethrum,World,2013,1
Quinces,World,2010,0.638710394
Quinces,World,2011,0.689536597
Quinces,World,2012,0.670305624
Quinces,World,2013,0.656230562
Quinoa,World,2010,0.5
Quinoa,World,2011,0.5
Quinoa,World,2012,0.5
Quinoa,World,2013,0.5
Radish,World,2010,0.965845815
Radish,World,2011,0.972861399
Radish,World,2012,0.975465813
Radish,World,2013,0.97378625
Rambutan,World,2010,0.737280213
Rambutan,World,2011,0.779879966
Rambutan,World,2012,0.74476891
Rambutan,World,2013,0.774624067
Ramie,World,2010,0.989760176
Ramie,World,2011,0.991481251
Ramie,World,2012,0.99080954
Ramie,World,2013,0.978989557
Rapeseed and Mustards,World,2010,0.927685237
Rapeseed and Mustards,World,2011,0.924124329
Rapeseed and Mustards,World,2012,0.930529548
Rapeseed and Mustards,World,2013,0.954859617
Raspberries,World,2010,0.048952871
Raspberries,World,2011,0.052963831
Raspberries,World,2012,0.121536192
Raspberries,World,2013,0.112916117
Rhubarb,World,2010,0.336466906
Rhubarb,World,2011,0.29889119
Rhubarb,World,2012,0.28526113
Rhubarb,World,2013,0.278599325
Rice (African),World,2010,0.987230091
Rice (African),World,2011,0.988181978
Rice (African),World,2012,0.987937556
Rice (African),World,2013,0.986433292
Rice (Asian),World,2010,0.09278841
Rice (Asian),World,2011,0.077453458
Rice (Asian),World,2012,0.076305154
Rice (Asian),World,2013,0.084073746
Rice bean,World,2010,0.902841319
Rice bean,World,2011,0.931131174
Rice bean,World,2012,0.931879594
Rice bean,World,2013,0.935890875
Roselle,World,2010,0.997205501
Roselle,World,2011,0.996752803
Roselle,World,2012,0.997528832
Roselle,World,2013,0.996956857
"Rubber, natural",World,2010,0.993478178
"Rubber, natural",World,2011,0.993443553
"Rubber, natural",World,2012,0.993041246
"Rubber, natural",World,2013,0.992723016
Runner bean,World,2010,0.975804033
Runner bean,World,2011,0.983451302
Runner bean,World,2012,0.973735134
Runner bean,World,2013,0.979278583
Rye,World,2010,0.969785876
Rye,World,2011,0.972168733
Rye,World,2012,0.976793014
Rye,World,2013,0.985570082
Safflower,World,2010,0.796891443
Safflower,World,2011,0.831357884
Safflower,World,2012,0.837495589
Safflower,World,2013,0.669624895
Saffron,World,2010,0.686184015
Saffron,World,2011,0.713997518
Saffron,World,2012,0.680019976
Saffron,World,2013,0.661297521
Sago palm,World,2010,0.952978129
Sago palm,World,2011,0.945328414
Sago palm,World,2012,0.959070984
Sago palm,World,2013,0.954853264
Salsify,World,2010,0.97165149
Salsify,World,2011,0.978898008
Salsify,World,2012,0.980457538
Salsify,World,2013,0.979129855
Sapodilla,World,2010,0.977508979
Sapodilla,World,2011,0.979424968
Sapodilla,World,2012,0.980001242
Sapodilla,World,2013,0.98053738
Savory,World,2010,0.965845815
Savory,World,2011,0.972861399
Savory,World,2012,0.975465813
Savory,World,2013,0.97378625
Service tree,World,2010,0.972515168
Service tree,World,2011,0.972319636
Service tree,World,2012,0.974973785
Service tree,World,2013,0.971970007
Sesame,World,2010,0.719677663
Sesame,World,2011,0.644480862
Sesame,World,2012,0.745082745
Sesame,World,2013,0.636946153
Shala tree,World,2010,0.961684159
Shala tree,World,2011,0.913482484
Shala tree,World,2012,0.926305278
Shala tree,World,2013,0.935279387
Sisal,World,2010,0.888556139
Sisal,World,2011,0.951633508
Sisal,World,2012,0.847223114
Sisal,World,2013,0.982201476
Snake plant,World,2010,1
Snake plant,World,2011,1
Snake plant,World,2012,1
Snake plant,World,2013,1
Sorghum,World,2010,0.509017772
Sorghum,World,2011,0.528359795
Sorghum,World,2012,0.565572488
Sorghum,World,2013,0.544544738
Sorrel,World,2010,0.931198917
Sorrel,World,2011,0.938910476
Sorrel,World,2012,0.943789314
Sorrel,World,2013,0.940260358
Soursop,World,2010,0.977508979
Soursop,World,2011,0.979424968
Soursop,World,2012,0.980001242
Soursop,World,2013,0.98053738
Soybeans,World,2010,0.799760275
Soybeans,World,2011,0.811469006
Soybeans,World,2012,0.830852317
Soybeans,World,2013,0.874787302
Spinach,World,2010,0.981103712
Spinach,World,2011,0.989497112
Spinach,World,2012,0.994405024
Spinach,World,2013,0.990710053
Strawberries,World,2010,0.854630492
Strawberries,World,2011,0.92040816
Strawberries,World,2012,0.858623656
Strawberries,World,2013,0.872204184
Strawberry tree,World,2010,0.957946029
Strawberry tree,World,2011,0.961243567
Strawberry tree,World,2012,0.961371702
Strawberry tree,World,2013,0.961402693
Sugar apple,World,2010,0.977508979
Sugar apple,World,2011,0.979424968
Sugar apple,World,2012,0.980001242
Sugar apple,World,2013,0.98053738
Sugar beets,World,2010,0.369501104
Sugar beets,World,2011,0.352883561
Sugar beets,World,2012,0.379226136
Sugar beets,World,2013,0.351504007
Sugarcane,World,2010,0.88203319
Sugarcane,World,2011,0.856565413
Sugarcane,World,2012,0.882226373
Sugarcane,World,2013,0.85549641
Sunflowers,World,2010,0.966606269
Sunflowers,World,2011,0.980436094
Sunflowers,World,2012,0.975359881
Sunflowers,World,2013,0.985834728
Sunn hemp,World,2010,0.428630387
Sunn hemp,World,2011,0.458700056
Sunn hemp,World,2012,0.444932352
Sunn hemp,World,2013,0.483999304
Sweetpotatoes,World,2010,0.995309077
Sweetpotatoes,World,2011,0.994058379
Sweetpotatoes,World,2012,0.994612804
Sweetpotatoes,World,2013,0.994051642
Sword bean,World,2010,0.927747066
Sword bean,World,2011,0.912327854
Sword bean,World,2012,0.926833773
Sword bean,World,2013,0.92600604
Tamarind,World,2010,0.898495179
Tamarind,World,2011,0.920647218
Tamarind,World,2012,0.955247699
Tamarind,World,2013,0.955246941
Taro,World,2010,0.973488721
Taro,World,2011,0.975946234
Taro,World,2012,0.962621112
Taro,World,2013,0.966629037
Tarragon,World,2010,0.167582107
Tarragon,World,2011,0.152965773
Tarragon,World,2012,0.144449641
Tarragon,World,2013,0.141715759
Tea,World,2010,0.103275108
Tea,World,2011,0.087383569
Tea,World,2012,0.084530343
Tea,World,2013,0.071945234
Teff,World,2010,0.950062732
Teff,World,2011,0.938708359
Teff,World,2012,0.947642665
Teff,World,2013,0.902708042
Tepary bean,World,2010,0.975804033
Tepary bean,World,2011,0.983451302
Tepary bean,World,2012,0.973735134
Tepary bean,World,2013,0.979278583
Thyme,World,2010,0.843439333
Thyme,World,2011,0.858162183
Thyme,World,2012,0.841204591
Thyme,World,2013,0.83169693
Tobacco,World,2010,0.993883549
Tobacco,World,2011,0.992446668
Tobacco,World,2012,0.994537235
Tobacco,World,2013,0.994427381
Tomatoes,World,2010,0.979513027
Tomatoes,World,2011,0.98239631
Tomatoes,World,2012,0.981530523
Tomatoes,World,2013,0.981886179
Triticale,World,2010,0.980466473
Triticale,World,2011,0.982654904
Triticale,World,2012,0.983749108
Triticale,World,2013,0.979273671
Tung nuts,World,2010,0.055042771
Tung nuts,World,2011,0.064652168
Tung nuts,World,2012,0.028875644
Tung nuts,World,2013,0.01993783
Turmeric,World,2010,0.585655285
Turmeric,World,2011,0.560568042
Turmeric,World,2012,0.618572525
Turmeric,World,2013,0.654290698
Turnips,World,2010,0.821845676
Turnips,World,2011,0.815362818
Turnips,World,2012,0.818429548
Turnips,World,2013,0.849492495
Ulluco,World,2010,0.95482776
Ulluco,World,2011,0.946567059
Ulluco,World,2012,0.943460334
Ulluco,World,2013,0.951231381
Vanilla,World,2010,0.967238504
Vanilla,World,2011,0.95334258
Vanilla,World,2012,0.948178784
Vanilla,World,2013,0.906096739
Velvet bean,World,2010,0.356493162
Velvet bean,World,2011,0.370202871
Velvet bean,World,2012,0.356634852
Velvet bean,World,2013,0.396031642
Velvet leaf,World,2010,0.738789736
Velvet leaf,World,2011,0.71655494
Velvet leaf,World,2012,0.700866131
Velvet leaf,World,2013,0.685794598
Vetch,World,2010,0.254796766
Vetch,World,2011,0.450043691
Vetch,World,2012,0.494116337
Vetch,World,2013,0.359846849
Walnuts,World,2010,0.822493361
Walnuts,World,2011,0.854147279
Walnuts,World,2012,0.853614227
Walnuts,World,2013,0.798085485
Watercress,World,2010,0.923410982
Watercress,World,2011,0.932636735
Watercress,World,2012,0.937418669
Watercress,World,2013,0.932970109
Watermelons,World,2010,0.998445341
Watermelons,World,2011,0.998451177
Watermelons,World,2012,0.998540845
Watermelons,World,2013,0.997756306
Wheat,World,2010,0.809085161
Wheat,World,2011,0.803267147
Wheat,World,2012,0.832373756
Wheat,World,2013,0.809366661
Wildrice,World,2010,1
Wildrice,World,2011,1
Wildrice,World,2012,1
Wildrice,World,2013,1
Winged bean,World,2010,0.907403886
Winged bean,World,2011,0.902439736
Winged bean,World,2012,0.918440284
Winged bean,World,2013,0.917046557
Yams,World,2010,0.075780238
Yams,World,2011,0.075244789
Yams,World,2012,0.103105431
Yams,World,2013,0.085060085
"Yautia, cocoyam",World,2010,0.033199165
"Yautia, cocoyam",World,2011,0.029641593
"Yautia, cocoyam",World,2012,0.037558913
"Yautia, cocoyam",World,2013,0.020771649
Year bean,World,2010,0.975804033
Year bean,World,2011,0.983451302
Year bean,World,2012,0.973735134
Year bean,World,2013,0.979278583
Zucchini,World,2010,0.988858358
Zucchini,World,2011,0.989327193
Zucchini,World,2012,0.985442324
Zucchini,World,2013,0.987805254
