crop,country,year,crop_count_recipients_distributions
Cabbages and other brassicas,World,2016,10941
Cabbages and other brassicas,World,2017,12173
Caesarweed,World,2014,1
Caesarweed,World,2016,1
Caesarweed,World,2017,5
Cainito,World,2014,1
Cainito,World,2015,1
Cainito,World,2016,2
Cainito,World,2017,4
Calabash,World,2014,80
Calabash,World,2015,147
Calabash,World,2016,657
Calabash,World,2017,631
Calopogonium,World,2017,4
Canary seed,World,2014,91
Canary seed,World,2015,89
Canary seed,World,2016,130
Canary seed,World,2017,299
Candlenut,World,2017,1
Canola,World,2014,5644
Canola,World,2015,6703
Canola,World,2016,5189
Canola,World,2017,9185
Capers,World,2017,1
Carambola,World,2014,5
Carambola,World,2015,3
Carambola,World,2016,8
Carambola,World,2017,68
Caraway,World,2014,10
Caraway,World,2015,14
Caraway,World,2016,10
Caraway,World,2017,26
Carneros Yucca,World,2014,27
Carneros Yucca,World,2015,5
Carneros Yucca,World,2016,37
Carneros Yucca,World,2017,22
Carrots,World,2014,3012
Carrots,World,2015,1723
Carrots,World,2016,2859
Carrots,World,2017,5142
Cashews,World,2014,1
Cashews,World,2015,5
Cashews,World,2016,3
Cashews,World,2017,1
Cassava,World,2014,1216
Cassava,World,2015,2778
Cassava,World,2016,1472
Cassava,World,2017,84
Castor bean,World,2014,97
Castor bean,World,2015,215
Castor bean,World,2016,260
Castor bean,World,2017,190
Ceara,World,2017,8
Celery,World,2014,252
Celery,World,2015,59
Celery,World,2016,93
Celery,World,2017,179
Centrosema,World,2014,1
Centrosema,World,2015,1
Centrosema,World,2016,1
Centrosema,World,2017,40
Ceylon-spinach,World,2015,1
Ceylon-spinach,World,2016,2
Cherimoya,World,2014,29
Cherimoya,World,2015,1
Cherimoya,World,2016,40
Cherimoya,World,2017,172
Cherries,World,2014,2042
Cherries,World,2015,1269
Cherries,World,2016,743
Cherries,World,2017,1534
Chervil,World,2014,1
Chervil,World,2015,1
Chestnuts,World,2016,5
Chestnuts,World,2017,12
Chickpeas,World,2014,24156
Chickpeas,World,2015,87504
Chickpeas,World,2016,17732
Chickpeas,World,2017,24345
Chicle,World,2014,9
Chicle,World,2015,1
Chicle,World,2016,21
Chicle,World,2017,75
Chicory,World,2014,97
Chicory,World,2015,346
Chicory,World,2016,92
Chicory,World,2017,434
Chillies and peppers,World,2014,4251
Chillies and peppers,World,2015,4627
Chillies and peppers,World,2016,7952
Chillies and peppers,World,2017,4541
Chinotto,World,2014,232
Chinotto,World,2015,240
Chinotto,World,2016,190
Chinotto,World,2017,206
Chufa,World,2014,8
Chufa,World,2015,8
Chufa,World,2016,9
Chufa,World,2017,11
Cinnamon,World,2014,4
Cinnamon,World,2015,6
Cinnamon,World,2016,1
Cinnamon,World,2017,16
Citron,World,2014,232
Citron,World,2015,240
Citron,World,2016,190
Citron,World,2017,206
Citronella,World,2014,25
Citronella,World,2015,7
Citronella,World,2016,20
Citronella,World,2017,24
Clovers,World,2014,1767
Clovers,World,2015,1906
Clovers,World,2016,760
Clovers,World,2017,2171
Cloves,World,2014,2
Cloves,World,2016,6
Cloves,World,2017,17
Cocoa,World,2014,183
Cocoa,World,2015,301
Cocoa,World,2016,298
Cocoa,World,2017,158
Coconuts,World,2014,7
Coconuts,World,2015,5
Coconuts,World,2016,5
Coconuts,World,2017,126
Coffee,World,2014,359
Coffee,World,2015,260
Coffee,World,2016,299
Coffee,World,2017,23
Common bean,World,2014,14831
Common bean,World,2015,11179
Common bean,World,2016,18646
Common bean,World,2017,8857
Coriander,World,2014,61
Coriander,World,2015,349
Coriander,World,2016,68
Coriander,World,2017,564
Coronilla,World,2014,7
Coronilla,World,2015,72
Coronilla,World,2016,7
Coronilla,World,2017,13
Cotton,World,2014,108
Cotton,World,2016,163
Cowpeas,World,2014,5914
Cowpeas,World,2015,8319
Cowpeas,World,2016,6390
Cowpeas,World,2017,13608
Crambe,World,2014,195
Crambe,World,2015,216
Crambe,World,2016,377
Crambe,World,2017,21
Cranberries,World,2014,1220
Cranberries,World,2015,1067
Cranberries,World,2016,1032
Cranberries,World,2017,1419
Cress,World,2014,21
Cress,World,2015,28
Cress,World,2016,12
Cress,World,2017,99
Cucumbers and gherkins,World,2014,7172
Cucumbers and gherkins,World,2015,2711
Cucumbers and gherkins,World,2016,5701
Cucumbers and gherkins,World,2017,4517
Cumin,World,2014,9
Cumin,World,2015,20
Cumin,World,2016,21
Cumin,World,2017,27
Currants,World,2014,873
Currants,World,2015,476
Currants,World,2016,523
Currants,World,2017,506
Cushaw,World,2014,4346
Cushaw,World,2015,2072
Cushaw,World,2016,2619
Cushaw,World,2017,3037
Custard apple,World,2014,29
Custard apple,World,2015,1
Custard apple,World,2016,40
Custard apple,World,2017,172
Dactylis,World,2014,665
Dactylis,World,2015,620
Dactylis,World,2016,796
Dactylis,World,2017,225
Dates,World,2014,12
Dates,World,2015,152
Dates,World,2016,132
Dates,World,2017,15
Desmodium,World,2014,29
Desmodium,World,2015,10
Desmodium,World,2016,37
Desmodium,World,2017,66
Dill,World,2014,54
Dill,World,2015,16
Dill,World,2016,9
Dill,World,2017,117
Durian,World,2014,1
Durian,World,2016,1
Durian,World,2017,3
Eggplant,World,2014,7924
Eggplant,World,2015,10972
Eggplant,World,2016,13251
Eggplant,World,2017,12243
Elderberry,World,2014,220
Elderberry,World,2015,69
Elderberry,World,2016,164
Elderberry,World,2017,222
Esparto,World,2014,31
Esparto,World,2015,6
Esparto,World,2016,4
Esparto,World,2017,158
Ethiopian rape,World,2014,5644
Ethiopian rape,World,2015,6703
Ethiopian rape,World,2016,5189
Ethiopian rape,World,2017,9185
Faba beans,World,2014,1559
Faba beans,World,2015,23792
Faba beans,World,2016,6713
Faba beans,World,2017,3991
Fennel,World,2014,36
Fennel,World,2015,52
Fennel,World,2016,5
Fennel,World,2017,45
Fenugreek,World,2014,126
Fenugreek,World,2015,182
Fenugreek,World,2016,364
Fenugreek,World,2017,751
Festuca,World,2014,3250
Festuca,World,2015,641
Festuca,World,2016,1412
Festuca,World,2017,2086
Fig leaf gourd,World,2014,4346
Fig leaf gourd,World,2015,2072
Fig leaf gourd,World,2016,2619
Fig leaf gourd,World,2017,3037
Figs,World,2014,3707
Figs,World,2015,5155
Figs,World,2016,790
Figs,World,2017,708
Finger millet,World,2014,827
Finger millet,World,2015,2282
Finger millet,World,2016,1430
Finger millet,World,2017,1270
Flax,World,2014,1776
Flax,World,2015,1410
Flax,World,2016,2140
Flax,World,2017,1177
Fonio,World,2014,46
Fonio,World,2015,59
Fonio,World,2016,18
Fonio,World,2017,105
Foxtail millet,World,2014,537
Foxtail millet,World,2015,629
Foxtail millet,World,2016,1330
Foxtail millet,World,2017,1389
Galactia,World,2015,1
Galactia,World,2017,1
Garlic,World,2014,1444
Garlic,World,2015,1620
Garlic,World,2016,2702
Garlic,World,2017,2322
Ginger,World,2014,1
Ginger,World,2015,1
Ginger,World,2016,12
Ginger,World,2017,17
Gooseberries,World,2014,873
Gooseberries,World,2015,476
Gooseberries,World,2016,533
Gooseberries,World,2017,506
Grapefruits,World,2014,304
Grapefruits,World,2015,266
Grapefruits,World,2016,222
Grapefruits,World,2017,222
Grapes,World,2014,2000
Grapes,World,2015,3191
Grapes,World,2016,1359
Grapes,World,2017,1286
Grasspea,World,2014,1190
Grasspea,World,2015,3835
Grasspea,World,2016,2415
Grasspea,World,2017,1341
Groundnuts,World,2014,4152
Groundnuts,World,2015,6211
Groundnuts,World,2016,4522
Groundnuts,World,2017,13068
Guavas,World,2014,29
Guavas,World,2015,13
Guavas,World,2016,34
Guavas,World,2017,48
Guayule,World,2014,209
Guayule,World,2015,391
Guayule,World,2016,133
Guayule,World,2017,217
Gutta-percha,World,2016,1
Hazelnuts,World,2014,174
Hazelnuts,World,2015,197
Hazelnuts,World,2016,206
Hazelnuts,World,2017,67
Hedysarum,World,2014,26
Hedysarum,World,2015,5
Hedysarum,World,2016,12
Hedysarum,World,2017,40
Hops,World,2014,1015
Hops,World,2015,821
Hops,World,2016,1203
Hops,World,2017,1168
Huckleberry,World,2014,8
Huckleberry,World,2015,8
Huckleberry,World,2016,19
Huckleberry,World,2017,11
Indigofera,World,2014,39
Indigofera,World,2015,25
Indigofera,World,2016,81
Indigofera,World,2017,53
Jack bean,World,2014,15
Jack bean,World,2015,85
Jack bean,World,2016,4
Jack bean,World,2017,30
Jackfruit,World,2014,34
Jackfruit,World,2015,6
Jackfruit,World,2016,12
Jackfruit,World,2017,38
Japanese millet,World,2014,251
Japanese millet,World,2015,268
Japanese millet,World,2016,10
Japanese millet,World,2017,320
Jerusalem artichoke,World,2014,2539
Jerusalem artichoke,World,2015,4810
Jerusalem artichoke,World,2016,5237
Jerusalem artichoke,World,2017,12897
Jicama,World,2014,12
Jicama,World,2015,9
Jicama,World,2016,6
Jicama,World,2017,4
Jojoba,World,2014,37
Jojoba,World,2015,73
Jojoba,World,2016,6
Jujube,World,2015,2
Jujube,World,2016,1
Jujube,World,2017,16
Jute,World,2014,14
Jute,World,2015,17
Jute,World,2016,14
Jute,World,2017,28
Kaniwa,World,2014,1942
Kaniwa,World,2015,2465
Kaniwa,World,2016,2082
Kaniwa,World,2017,3221
Kapok,World,2017,6
Kenaf,World,2014,134
Kenaf,World,2015,256
Kenaf,World,2016,102
Kenaf,World,2017,466
Kiwi fruit,World,2014,432
Kiwi fruit,World,2015,684
Kiwi fruit,World,2016,184
Kiwi fruit,World,2017,190
Kiwicha,World,2014,1300
Kiwicha,World,2015,1086
Kiwicha,World,2016,4543
Kiwicha,World,2017,7318
Kodo millet,World,2014,161
Kodo millet,World,2015,746
Kodo millet,World,2016,86
Kodo millet,World,2017,355
Kumquat,World,2014,14
Kumquat,World,2015,9
Kumquat,World,2016,6
Kumquat,World,2017,5
Lablab,World,2014,75
Lablab,World,2015,204
Lablab,World,2016,134
Lablab,World,2017,62
Lavender,World,2014,21
Lavender,World,2015,13
Lavender,World,2016,27
Lavender,World,2017,38
Leeks and other alliaceous vegetables,World,2014,1444
Leeks and other alliaceous vegetables,World,2015,1620
Leeks and other alliaceous vegetables,World,2016,2718
Leeks and other alliaceous vegetables,World,2017,2339
Lemons and limes,World,2014,232
Lemons and limes,World,2015,240
Lemons and limes,World,2016,190
Lemons and limes,World,2017,206
Lentils,World,2014,4192
Lentils,World,2015,48841
Lentils,World,2016,11990
Lentils,World,2017,9676
Lespedeza,World,2014,10
Lespedeza,World,2015,140
Lespedeza,World,2016,126
Lespedeza,World,2017,10
Lettuce,World,2014,3828
Lettuce,World,2015,3450
Lettuce,World,2016,1958
Lettuce,World,2017,2155
Leucaena,World,2014,6
Leucaena,World,2015,3
Leucaena,World,2016,11
Leucaena,World,2017,57
Licorice,World,2014,10
Licorice,World,2015,46
Licorice,World,2016,58
Licorice,World,2017,77
Lima bean,World,2014,5476
Lima bean,World,2015,5551
Lima bean,World,2016,7225
Lima bean,World,2017,6600
Litchi,World,2014,3
Litchi,World,2015,3
Litchi,World,2016,6
Litchi,World,2017,39
Little millet,World,2014,2033
Little millet,World,2015,493
Little millet,World,2016,1522
Little millet,World,2017,1424
Lolium,World,2014,856
Lolium,World,2015,1826
Lolium,World,2016,1691
Lolium,World,2017,1090
Longan,World,2014,40
Longan,World,2017,19
Loquat,World,2016,1
Loquat,World,2017,2
Lotus,World,2014,275
Lotus,World,2015,149
Lotus,World,2016,1327
Lotus,World,2017,774
Lupins,World,2014,1177
Lupins,World,2015,1402
Lupins,World,2016,1779
Lupins,World,2017,1369
Maca,World,2014,21
Maca,World,2015,28
Maca,World,2016,12
Maca,World,2017,99
Macadamia nut,World,2014,8
Macadamia nut,World,2015,10
Macadamia nut,World,2016,6
Macadamia nut,World,2017,44
Macroptilium,World,2014,2
Macroptilium,World,2017,15
Maize,World,2014,45450
Maize,World,2015,48670
Maize,World,2016,87586
Maize,World,2017,14884
Malabar spinach,World,2014,8
Malabar spinach,World,2015,12
Malabar spinach,World,2016,2
Mamey sapote,World,2014,9
Mamey sapote,World,2015,5
Mamey sapote,World,2016,18
Mamey sapote,World,2017,47
Mammee,World,2014,1
Mammee,World,2015,3
Mammee,World,2016,2
Mammee,World,2017,1
Mandarines,World,2014,304
Mandarines,World,2015,266
Mandarines,World,2016,222
Mandarines,World,2017,222
Mango,World,2014,56
Mango,World,2015,73
Mango,World,2016,351
Mango,World,2017,573
Mangosteen,World,2014,32
Mangosteen,World,2015,34
Mangosteen,World,2016,16
Mangosteen,World,2017,23
Maple sugar,World,2014,3
Maple sugar,World,2015,17
Maple sugar,World,2016,23
Maple sugar,World,2017,57
Marjoram,World,2014,22
Marjoram,World,2015,33
Marjoram,World,2016,42
Marjoram,World,2017,82
Mat bean,World,2014,3151
Mat bean,World,2015,2908
Mat bean,World,2016,1847
Mat bean,World,2017,9808
Mate,World,2015,2
Mate,World,2016,8
Mate,World,2017,70
Mauka,World,2015,1
Mauka,World,2016,2
Medlar,World,2014,46
Medlar,World,2015,85
Medlar,World,2016,67
Medlar,World,2017,47
Melilotus,World,2014,992
Melilotus,World,2015,133
Melilotus,World,2016,201
Melilotus,World,2017,76
Melons,World,2014,6686
Melons,World,2015,2648
Melons,World,2016,5701
Melons,World,2017,4392
Mombin,World,2017,3
Mulberry,World,2014,313
Mulberry,World,2015,409
Mulberry,World,2016,54
Mulberry,World,2017,103
Mung bean,World,2014,3163
Mung bean,World,2015,2981
Mung bean,World,2016,1919
Mung bean,World,2017,9829
Naranjilla,World,2014,7563
Naranjilla,World,2015,10405
Naranjilla,World,2016,12978
Naranjilla,World,2017,11532
Neonotonia,World,2015,1
Neonotonia,World,2017,1
New Zealand spinach,World,2015,1
Noog,World,2014,5
Noog,World,2015,12
Noog,World,2016,8
Oats,World,2014,5294
Oats,World,2015,3568
Oats,World,2016,5609
Oats,World,2017,5888
Oca,World,2016,2
Oil palm,World,2014,2
Oil palm,World,2015,2
Oiticica,World,2014,1
Oiticica,World,2016,3
Okra,World,2014,546
Okra,World,2015,793
Okra,World,2016,737
Okra,World,2017,1003
Olives,World,2014,301
Olives,World,2015,485
Olives,World,2016,82
Olives,World,2017,378
Onions,World,2014,1694
Onions,World,2015,1821
Onions,World,2016,2718
Onions,World,2017,2581
Onobrychis,World,2014,325
Onobrychis,World,2015,113
Onobrychis,World,2016,594
Onobrychis,World,2017,531
Orache,World,2014,1096
Orache,World,2015,90
Orache,World,2016,74
Orache,World,2017,158
Oranges,World,2014,304
Oranges,World,2015,266
Oranges,World,2016,222
Oranges,World,2017,222
Oregano,World,2014,22
Oregano,World,2015,33
Oregano,World,2016,42
Oregano,World,2017,82
Ornithopus,World,2014,20
Ornithopus,World,2015,1
Ornithopus,World,2016,21
Papayas,World,2014,30
Papayas,World,2015,2
Papayas,World,2016,16
Papayas,World,2017,33
Parsley,World,2014,65
Parsley,World,2015,24
Parsley,World,2016,18
Parsley,World,2017,28
Parsnip,World,2014,84
Parsnip,World,2015,13
Parsnip,World,2017,8
Passionfruit,World,2014,4
Passionfruit,World,2015,1
Pawpaw,World,2014,19
Pawpaw,World,2015,12
Pawpaw,World,2016,12
Pawpaw,World,2017,5
Peaches and nectarines,World,2014,2044
Peaches and nectarines,World,2015,1269
Peaches and nectarines,World,2016,743
Peaches and nectarines,World,2017,1534
Pearl millet,World,2014,1672
Pearl millet,World,2015,8371
Pearl millet,World,2016,9062
Pearl millet,World,2017,4837
Pears,World,2014,1872
Pears,World,2015,1986
Pears,World,2016,827
Pears,World,2017,1064
Peas,World,2014,3356
Peas,World,2015,4414
Peas,World,2016,5897
Peas,World,2017,2847
Pecan,World,2014,14
Pecan,World,2015,2
Pecan,World,2016,18
Pecan,World,2017,7
Pepino,World,2014,7563
Pepino,World,2015,10405
Pepino,World,2016,12965
Pepino,World,2017,11532
Pepper,World,2014,601
Pepper,World,2015,1576
Pepper,World,2016,210
Pepper,World,2017,357
Peppermint,World,2014,569
Peppermint,World,2015,375
Peppermint,World,2016,466
Peppermint,World,2017,690
Perilla,World,2014,64
Perilla,World,2015,66
Perilla,World,2016,14
Perilla,World,2017,32
Persimmons,World,2014,224
Persimmons,World,2015,358
Persimmons,World,2016,113
Persimmons,World,2017,131
Phalaris,World,2014,103
Phalaris,World,2015,94
Phalaris,World,2016,132
Phalaris,World,2017,299
Phleum,World,2014,172
Phleum,World,2015,25
Phleum,World,2016,49
Phleum,World,2017,55
Physic nut,World,2015,1
Pigeonpeas,World,2014,2857
Pigeonpeas,World,2015,2306
Pigeonpeas,World,2016,1688
Pigeonpeas,World,2017,3078
Pili nut,World,2014,6
Pili nut,World,2017,2
Pine nut,World,2014,471
Pine nut,World,2015,297
Pine nut,World,2016,7
Pine nut,World,2017,26
Pineapples,World,2014,17
Pineapples,World,2015,260
Pineapples,World,2016,116
Pineapples,World,2017,171
Pistachios,World,2014,51
Pistachios,World,2015,70
Pistachios,World,2016,27
Pistachios,World,2017,23
Plantains,World,2014,149
Plantains,World,2015,92
Plantains,World,2016,183
Plantains,World,2017,522
Plums,World,2014,2042
Plums,World,2015,1269
Plums,World,2016,743
Plums,World,2017,1534
Poa,World,2014,377
Poa,World,2015,255
Poa,World,2016,670
Poa,World,2017,213
Pomegranate,World,2014,1429
Pomegranate,World,2015,1140
Pomegranate,World,2016,511
Pomegranate,World,2017,509
Pongamia oil,World,2017,1
Poppies,World,2014,79
Poppies,World,2015,56
Poppies,World,2016,624
Poppies,World,2017,124
Potatoes,World,2014,10657
Potatoes,World,2015,12952
Potatoes,World,2016,15416
Potatoes,World,2017,14907
Prickly pear,World,2014,74
Prickly pear,World,2015,48
Prickly pear,World,2016,28
Prickly pear,World,2017,5
Proso millet,World,2014,2022
Proso millet,World,2015,647
Proso millet,World,2016,1742
Proso millet,World,2017,1601
Prosopis,World,2014,2
Prosopis,World,2015,1
Prosopis,World,2016,5
Prosopis,World,2017,12
Pueraria,World,2014,27
Pueraria,World,2015,12
Pueraria,World,2016,6
Pueraria,World,2017,4
Pumpkin,World,2014,4346
Pumpkin,World,2015,2077
Pumpkin,World,2016,2622
Pumpkin,World,2017,3037
Purging croton,World,2014,1
Purging croton,World,2015,1
Purging croton,World,2017,2
Pyrethrum,World,2014,10
Pyrethrum,World,2015,16
Pyrethrum,World,2016,5
Pyrethrum,World,2017,34
Quinces,World,2014,156
Quinces,World,2015,131
Quinces,World,2016,260
Quinces,World,2017,112
Quinoa,World,2014,1942
Quinoa,World,2015,2465
Quinoa,World,2016,2082
Quinoa,World,2017,3221
Radish,World,2014,733
Radish,World,2015,136
Radish,World,2016,751
Radish,World,2017,765
Rambutan,World,2014,10
Rambutan,World,2015,174
Rambutan,World,2016,3
Rambutan,World,2017,13
Ramie,World,2015,1
Ramie,World,2017,1
Rapeseed and Mustards,World,2014,5644
Rapeseed and Mustards,World,2015,6703
Rapeseed and Mustards,World,2016,5189
Rapeseed and Mustards,World,2017,9185
Raspberries,World,2014,1084
Raspberries,World,2015,1145
Raspberries,World,2016,763
Raspberries,World,2017,935
Rhubarb,World,2014,117
Rhubarb,World,2015,295
Rhubarb,World,2016,253
Rhubarb,World,2017,241
Rhynchosia,World,2014,1
Rhynchosia,World,2017,5
Rice (Asian),World,2014,91090
Rice (Asian),World,2015,77110
Rice (Asian),World,2016,49961
Rice (Asian),World,2017,39554
Rice bean,World,2014,3162
Rice bean,World,2015,2913
Rice bean,World,2016,1847
Rice bean,World,2017,9820
Roselle,World,2014,133
Roselle,World,2015,248
Roselle,World,2016,91
Roselle,World,2017,466
"Rubber, natural",World,2016,1
"Rubber, natural",World,2017,2
Runner bean,World,2014,5467
Runner bean,World,2015,5419
Runner bean,World,2016,7209
Runner bean,World,2017,6584
Rye,World,2014,3406
Rye,World,2015,930
Rye,World,2016,804
Rye,World,2017,3201
Safflower,World,2014,546
Safflower,World,2015,296
Safflower,World,2016,3539
Safflower,World,2017,1693
Sago palm,World,2016,3
Salsify,World,2014,3
Salsify,World,2015,3
Salsify,World,2016,5
Salsify,World,2017,9
Salsola,World,2014,6
Sapodilla,World,2014,9
Sapodilla,World,2015,1
Sapodilla,World,2016,21
Sapodilla,World,2017,75
Savory,World,2014,23
Savory,World,2015,26
Savory,World,2016,5
Savory,World,2017,27
Service tree,World,2014,18
Service tree,World,2015,7
Service tree,World,2016,25
Service tree,World,2017,39
Sesame,World,2014,738
Sesame,World,2015,475
Sesame,World,2016,1480
Sesame,World,2017,1052
Sesbania,World,2014,5
Sesbania,World,2015,5
Sesbania,World,2016,68
Sesbania,World,2017,21
Sisal,World,2014,19
Sisal,World,2015,20
Sisal,World,2016,24
Sisal,World,2017,13
Slippery cabbage,World,2014,358
Slippery cabbage,World,2015,739
Slippery cabbage,World,2016,709
Slippery cabbage,World,2017,822
Sorghum,World,2014,22194
Sorghum,World,2015,21842
Sorghum,World,2016,27785
Sorghum,World,2017,22038
Sorrel,World,2014,7
Sorrel,World,2015,7
Sorrel,World,2016,5
Sorrel,World,2017,46
Soursop,World,2014,29
Soursop,World,2015,1
Soursop,World,2016,40
Soursop,World,2017,172
Soybeans,World,2014,29850
Soybeans,World,2015,26425
Soybeans,World,2016,24777
Soybeans,World,2017,22199
Spider plant,World,2014,79
Spider plant,World,2015,35
Spider plant,World,2016,11
Spinach,World,2014,2659
Spinach,World,2015,1819
Spinach,World,2016,2034
Spinach,World,2017,3743
Strawberries,World,2014,1627
Strawberries,World,2015,2051
Strawberries,World,2016,2889
Strawberries,World,2017,3178
Strawberry tree,World,2014,7
Strawberry tree,World,2015,3
Strawberry tree,World,2016,4
Strawberry tree,World,2017,2
Stylosanthes,World,2014,5
Stylosanthes,World,2015,8
Stylosanthes,World,2016,3
Stylosanthes,World,2017,112
Sugar apple,World,2014,29
Sugar apple,World,2015,1
Sugar apple,World,2016,40
Sugar apple,World,2017,172
Sugar beets,World,2014,1597
Sugar beets,World,2015,920
Sugar beets,World,2016,2239
Sugar beets,World,2017,739
Sugarcane,World,2014,232
Sugarcane,World,2015,27
Sugarcane,World,2016,127
Sugarcane,World,2017,730
Sunflowers,World,2014,2920
Sunflowers,World,2015,5056
Sunflowers,World,2016,5792
Sunflowers,World,2017,12926
Sunn hemp,World,2014,97
Sunn hemp,World,2015,34
Sunn hemp,World,2016,27
Sunn hemp,World,2017,293
Sweetpotatoes,World,2014,628
Sweetpotatoes,World,2015,1115
Sweetpotatoes,World,2016,1198
Sweetpotatoes,World,2017,412
Sword bean,World,2014,7
Sword bean,World,2015,62
Sword bean,World,2016,5
Sword bean,World,2017,28
Tamarind,World,2014,2
Tamarind,World,2015,8
Tamarind,World,2017,9
Tarragon,World,2014,32
Tarragon,World,2015,121
Tarragon,World,2016,116
Tarragon,World,2017,456
Tea,World,2016,13
Tea,World,2017,6
Teff,World,2014,1223
