"use","taxon"
"1","Cerasus vulgaris Caproniana Group"
"1","Cerasus vulgaris Mill."
"1","Ceratonia siliqua L."
"1","Cercidium floridum Benth."
"1","Cercidium microphyllum (Torr.) Rose & Johnst."
"1","Cercis siliquastrum L."
"1","Chaenomeles cathayensis (Hemsl.) Schneider"
"1","Chaenomeles japonica (Thunb.) Lindl. ex Spach, , p.p., quoad syn. Thunb."
"1","Chaenomeles speciosa (Sweet) Nakai"
"1","Chaenomeles thibetica Yü"
"1","Chaenomeles ×superba (Frahm) Rehder"
"1","Chrysobalanus icaco L."
"1","Cicer arietinum subsp. arietinum"
"1","Cladosiphon okamuranus Tokida"
"1","Coccoloba laurifolia Jacq."
"1","Coccoloba uvifera (L.) L."
"1","Coprinus comatus (Müll.) Pers."
"1","Coprinus fomentarius Fr."
"1","Cordeauxia edulis Hemsl."
"1","Corylus avellana var. avellana"
"1","Corylus heterophylla Fisch. ex Trautv."
"1","Corylus maxima Mill."
"1","Crataegus aestivalis (Walt.) Torrey & Gray, , p.p.,  excl. C. opaca Hook. & Arnott (1835)."
"1","Crataegus altaica (Loud.) Lange, , p.p., excl. var. villosa"
"1","Crataegus ambigua subsp. ambigua"
"1","Crataegus azarolus var. azarolus"
"1","Crataegus azarolus var. chlorocarpa (Moris) Christensen"
"1","Crataegus azarolus var. pontica (C. Koch) Christensen"
"1","Crataegus cuneata Siebold & Zucc."
"1","Crataegus douglasii Lindl."
"1","Crataegus dzhairensis Vass."
"1","Crataegus hupehensis Sargent"
"1","Crataegus mexicana Moçiño & Sessé ex DC."
"1","Crataegus mollis (Torr. & Gray) Scheele"
"1","Crataegus opaca Hook. & Arnott"
"1","Crataegus orientalis subsp. orientalis"
"1","Crataegus orientalis subsp. presliana Christensen"
"1","Crataegus pentagyna Waldst. & Kit. ex Willd."
"1","Crataegus pinnatifida var. major Br."
"1","Crataegus rufula Sargent"
"1","Cyamopsis tetragonoloba (L.) Taub."
"1","Cyathea angiensis (Gepp) Domin"
"1","Cycas circinalis L."
"1","Cycas revoluta Thunb."
"1","Cycas szechuanensis C.Y. Cheng & L.K. Fu"
"1","Cydonia oblonga Mill."
"1","Cynometra cauliflora L."
"1","Deeringia amaranthoides (Lam.) Merr."
"1","Detarium senegalense J.F. Gmel."
"1","Dictyota acutiloba Kütz."
"1","Dictyota J.V. Lamour."
"1","Dioon edule Lindl."
"1","Docynia indica (Wall.) Decne."
"1","Entada phaseoloides (Stickm.) Merrill"
"1","Eriobotrya japonica (Thunb.) Lindl."
"1","Erythrina falcata Benth."
"1","Eucheuma denticulatum (Burm.) Collins & Harv."
"1","Eucheuma J. Agardh"
"1","Eucheuma muricatum (S.G. Gmel.) Weber-van Bosse"
"1","Euryale ferox Salisb."
"1","Exartesia filicina (Wulfen) Chevallier"
"1","Fagopyrum esculentum subsp. esculentum"
"1","Faidherbia albida (Delile) A. Chev."
"1","Ficus carica L."
"1","Filipendula multijuga Maxim."
"1","Flammulina velutipes (Curt.: Fr.) Sing."
"1","Fragaria chiloensis (L.) Mill."
"1","Fragaria moschata Weston"
"1","Fragaria virginiana Mill."
"1","Fragaria ×ananassa Duchesne"
"1","Fuchsia boliviana Carr."
"1","Fuchsia corymbiflora Ruiz & Pav."
"1","Ginkgo biloba L."
"1","Glycine max (L.) Merr."
"1","Gnetum buchholzianum Engl."
"1","Gnetum gnemoides Brogn."
"1","Gnetum gnemon var. gnemon"
"1","Gracilaria Grev."
"1","Grifola frondosa (Dicks.: Fr.) S.F. Gray"
"1","Heracleum antasiaticum Manden."
"1","Heracleum crenatifolium Boiss."
"1","Heracleum dissectum Ledeb."
"1","Heracleum lanatum Michx."
"1","Heracleum pastinacifolium K. Koch"
"1","Heracleum persicum Desf. ex Fisch., C.A. Mey. & Avé-Lall."
"1","Heracleum trachyloma Fisch. & C.A. Mey."
"1","Hericium coralloides (Scop.: Fr.) S.F. Gray"
"1","Hericium erinaceum (Bull.: Fr.) Pers."
"1","Holboellia latifolia Wall."
"1","Hylocereus guatemalensis (Eichl.) Britt. & Rose"
"1","Hylocereus napoleonis (Grah.) Britt. & Rose"
"1","Hylocereus ocamponis (Salm-Dyck) Britt. & Rose"
"1","Hylocereus undatus (Haw.) Britt. & Rose"
"1","Hypholoma capnoides (Fr.) Kummer"
"1","Hypholoma sublateritium (Fr.) Quél."
"1","Hypsizygus marmoreus (Beck) Bigelow"
"1","Hypsizygus tessulatus (Bull.: Fr.) Sing."
"1","Inga cinnamomea Spruce ex Benth."
"1","Inga jinicuil G. Don"
"1","Inga punctata Willd., , p.p., excl. syn."
"1","Inocarpus edulis J.R. Forster & G. Forster"
"1","Juglans ailantifolia Carr."
"1","Juglans cathayensis Dode"
"1","Juglans cinerea L."
"1","Juglans nigra L."
"1","Juglans regia subsp. regia"
"1","Kappaphycus alvarezzii Doty"
"1","Kappaphycus Doty"
"1","Kuehneromyces mutabilis (Schaeff.: Fr.) Sing. & Sm."
"1","Laminaria J.V. Lamour."
"1","Lathyrus clymenum L."
"1","Lathyrus sativus L."
"1","Laurocerasus macrophylla (Siebold & Zucc.) Schneider"
"1","Laurocerasus officinalis Roem."
"1","Lentinula edodes (Berk.) Pegler"
"1","Lepista nebularis (Batsch: Fr.) Harmaja"
"1","Lepista nuda (Bull.: Fr.) W.G. Sm."
"1","Leucaena esculenta (Moç. & Sessé) Benth."
"1","Leucaena leucocephala (Lam.) De Wit"
"1","Licania tomentosa (Benth.) Fritsch"
