"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","gp_index_crops","gp_index_crops_lives_products","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Albardine","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,0.000338718182667446,NA,NA,0.000292214339380696,0.000315466261024071
"Albardine","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,0.000343782577615201,NA,NA,0.000267032955897396,0.000305407766756299
"Albardine","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,0.000343015813678673,NA,NA,0.000255228747182095,0.000299122280430384
"Alfalfa","","World","2010",NA,NA,1391220,386515,1307714,326427,NA,NA,NA,NA,NA,NA,0.00331245216213193,NA,NA,0.00331245216213193
"Alfalfa","","World","2011",NA,NA,1493263,391822,1359116,339904,NA,NA,NA,NA,NA,NA,0.00345662420038824,NA,NA,0.00345662420038824
"Alfalfa","","World","2012",NA,NA,1752045,512463,1693467,470072,NA,NA,NA,NA,NA,NA,0.00438173075894537,NA,NA,0.00438173075894537
"Alfalfa","","World","2013",NA,NA,1327136,395460,1248773,350993,NA,NA,NA,NA,NA,NA,0.00329964849565682,NA,NA,0.00329964849565682
"Allspice","","World","2010",3528625,32763720,3150865,5445416,3162387,5167389,1.18,3,0.14,0.15,29790.132371,0.0110567130499409,0.0263257358409706,0.00825826114167296,0.0852771515229526,0.0327294653888843
"Allspice","","World","2011",3560014,33429988,3239532,5891003,3325048,5703570,1.23,4,0.15,0.16,32519.391853,0.0112536193139865,0.0285438125864494,0.00916055631040672,0.0930899808343844,0.0355119922613068
"Allspice","","World","2012",3649905,34278830,3474033,5845819,3569815,5764959,1.21,4,0.15,0.15,31434.918417,0.0115390248481768,0.0289118081712205,0.00889614423018221,0.0899855468646099,0.0348331310285474
"Allspice","","World","2013",3608628,34839222,3490853,6323382,3584091,6190515,NA,NA,NA,NA,34179.904516,0.0116577930768057,0.0308056192351909,NA,0.0978433954844211,0.0467689359321392
"Almonds","","World","2010",1719675,2570069,524394,2468098,559444,2628845,6.02,15,0.4,1.15,7499.215269,0.00186587278787702,0.0113416042927177,0.0466369629096689,0.021466754724191,0.0203277986786137
"Almonds","","World","2011",1732339,3021249,575939,2854492,627818,3066105,6.34,16,0.42,1.24,10256.29204,0.00199326535829162,0.013138760065645,0.049903782740143,0.0293592143281241,0.0235987556230509
"Almonds","","World","2012",1767465,2825751,623293,3343982,657281,3564454,6.39,16,0.42,1.23,11556.097624,0.00196617892574252,0.0152445733081946,0.0496984763070408,0.0330800621378737,0.0249973226697129
"Almonds","","World","2013",1823264,2840508,620935,4245830,687715,4669085,NA,NA,NA,NA,14858.618026,0.00200868391041216,0.0194492571005259,NA,0.0425339188959125,0.0213306199689502
"Amaranth","","World","2010",4573353,5624483,NA,NA,NA,NA,2.12,6,0.18,0.02,1568.32234,0.00464431735793569,NA,0.00782814777168925,0.00448886954168745,0.0056537782237708
"Amaranth","","World","2011",3800556,4869357,NA,NA,NA,NA,2.17,7,0.18,0.02,1188.215668,0.00391083305532022,NA,0.00832657047062444,0.00340076906312973,0.00521272419635813
"Amaranth","","World","2012",3949220,5476533,NA,NA,NA,NA,2.06,6,0.17,0.02,1782.852482,0.00417338230335136,NA,0.00762113807111816,0.00510298754426557,0.00563250263957836
"Amaranth","","World","2013",4260313,6150540,NA,NA,NA,NA,NA,NA,NA,NA,1980.689669,0.00456593915203531,NA,NA,0.00566931998120636,0.00511762956662084
"Anise","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.000870089682931532,0.00246408282545099,0.0111796447796779,0.00491660312293955,0.00485760510275
"Anise","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.000999672204884153,0.00291537784696398,0.0132486805383233,0.00578303460182376,0.00573669129799879
"Anise","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.000963211188090911,0.00289072595530004,0.0130501145016268,0.00503242082652173,0.00548411811788486
"Anise","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,0.000929815260899658,0.00367538316035378,NA,0.00490753162731602,0.00317091001618982
"Apple","","World","2010",4886406,71192145,8302899,6668145,8594174,6479142,25.05,10,0.06,0.05,65738.903597,0.0221003714920841,0.0387964013976306,0.0278806882040064,0.188184777344824,0.0692405596096362
"Apple","","World","2011",4987857,77072356,8095873,7182225,8262926,7149600,25.71,11,0.06,0.06,48903.580506,0.0237166499093852,0.0409046380498125,0.0291416991517691,0.139991666143684,0.0584386633136628
"Apple","","World","2012",5075039,78625948,8386623,7504849,8280054,7182023,26.99,11,0.07,0.06,63553.128713,0.024185476364597,0.0418296588199897,0.0303788358450449,0.18192773722294,0.0695804270631428
"Apple","","World","2013",5160561,82820750,8613231,8476782,8584796,8028152,NA,NA,NA,NA,52574.852995,0.0253475929145339,0.0459589482777177,NA,0.150501119532592,0.0739358869082812
"Apricot","","World","2010",564663,3305516,362959,836224,373531,815358,65.96,28,0.34,0.33,2922.525413,0.00125972119850469,0.00393131566933094,0.0819438251015883,0.00836543662229803,0.0238750746479305
"Apricot","","World","2011",536421,3818558,396574,888738,389398,856684,68.08,29,0.35,0.34,3323.407202,0.00137506299180745,0.00415913959306518,0.0845939586923702,0.00951300833989202,0.0249102924042837
"Apricot","","World","2012",532322,3865025,483762,860904,473510,834068,70.36,30,0.36,0.35,3182.899767,0.00138444291410377,0.00417121301287808,0.0873791909051461,0.00911078912479648,0.0255114089892311
"Apricot","","World","2013",558924,4093243,502358,971152,505747,943760,NA,NA,NA,NA,3231.642382,0.00146286140000922,0.00466275626657457,NA,0.00925032064743088,0.00512531277133822
"Areca nuts","","World","2010",871949,1081604,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1520.695727,0.000887708483087841,0.00608352972943461,0.0466369629096689,0.00435253270728066,0.014490183457368
"Areca nuts","","World","2011",879009,1096126,430906,1846159,307097,1490357,6.34,16,0.42,1.24,1646.416713,0.000896413725319443,0.00740770142910418,0.049903782740143,0.00471242395652279,0.0157300804627723
"Areca nuts","","World","2012",992815,1340932,458584,2030043,349900,1618078,6.39,16,0.42,1.23,2290.796347,0.0010395576798487,0.008098695823974,0.0496984763070408,0.00655703716585959,0.0163484417441808
"Areca nuts","","World","2013",902648,1166166,392896,2007377,310183,1603948,NA,NA,NA,NA,1816.101076,0.00093119227993358,0.00795115187236017,NA,0.00519816559218674,0.00469350324816017
"Arracacha","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.00319674043846777,0.000731631753978461,0.00855024500836928,0.00592231844209781,0.00460023391072833
"Arracacha","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.00334211108794091,0.000812640201192061,0.00868534363036334,0.00701978358278842,0.00496496962557118
"Arracacha","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.00345792022743899,0.000854297188992981,0.0088542169078559,0.00832583114139966,0.00537306636642188
"Arracacha","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,0.00346934712974971,0.000889782324173882,NA,0.00775037515211373,0.00403650153534577
"Arrowroot","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.00319674043846777,0.000731631753978461,0.00855024500836928,0.00592231844209781,0.00460023391072833
"Arrowroot","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.00334211108794091,0.000812640201192061,0.00868534363036334,0.00701978358278842,0.00496496962557118
"Arrowroot","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.00345792022743899,0.000854297188992981,0.0088542169078559,0.00832583114139966,0.00537306636642188
"Arrowroot","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,0.00346934712974971,0.000889782324173882,NA,0.00775037515211373,0.00403650153534577
"Artichokes","","World","2010",127554,1480371,36992,58205,38262,58197,283.67,71,3.79,0.59,1194.618425,0.000477271417938954,0.000293066692428862,0.345763225678197,0.00341909771523976,0.0874881653759512
"Artichokes","","World","2011",129510,1528753,32436,51880,34195,61784,286.58,71,3.82,0.6,1265.54825,0.000491346213701172,0.00028229484539922,0.348936899770159,0.00362214276078033,0.08833317089751
"Artichokes","","World","2012",124809,1616180,50349,71484,38487,57970,296.09,73,3.93,0.61,1209.843679,0.000511078814517945,0.000328395598078088,0.359846582517087,0.00346268181250486,0.0910371846855469
"Artichokes","","World","2013",128996,1608858,61161,87935,45688,73240,NA,NA,NA,NA,1279.156081,0.00051205199212952,0.000406481318877837,NA,0.00366109679267176,0.00152654336789304
"Asparagus","","World","2010",1426554,7487774,322330,1121898,310837,904646,283.67,71,3.79,0.59,8761.212497,0.00295595529512307,0.00462479789043824,0.345763225678197,0.0250793716259151,0.0946058376224184
"Asparagus","","World","2011",1454191,8190220,330404,1189328,320764,949384,286.58,71,3.82,0.6,10152.553366,0.00315977644913105,0.00486833661988287,0.348936899770159,0.0290622500569357,0.0965068157240272
"Asparagus","","World","2012",1483159,8281961,350344,1165339,353746,1039414,296.09,73,3.93,0.61,10474.279166,0.00320394955463013,0.00505054086899293,0.359846582517087,0.029983228357849,0.0995210753246397
"Asparagus","","World","2013",1462915,7934250,336163,1423283,330537,1148581,NA,NA,NA,NA,11488.542099,0.00309851452982474,0.00577627205974403,NA,0.0328866764267128,0.0139204876720939
"Atemoya","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.00732272017813924,0.00296398743452612,0.0819438251015883,0.0294689352034348,0.0304248669794221
"Atemoya","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.00767080423766747,0.0033635009670766,0.0845939586923702,0.0359396157529376,0.032891969912513
"Atemoya","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.00813930262286523,0.00431173939717596,0.0873791909051461,0.0382538235160735,0.0345210141103152
"Atemoya","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,0.00833143809531704,0.00485669709996857,NA,0.0386150737019537,0.0172677362990798
"Avocado","","World","2010",443271,3879484,902790,1697254,829565,1466360,65.96,28,0.34,0.33,3810.703209,0.0013266019421662,0.00773433345820268,0.0819438251015883,0.0109079510164467,0.025478177879601
"Avocado","","World","2011",457279,4173951,950232,2214307,851891,1971227,68.08,29,0.35,0.34,4258.233434,0.0014137211436842,0.00990453346058179,0.0845939586923702,0.0121890594206463,0.0270253181793206
"Avocado","","World","2012",478170,4456290,1127815,2172802,1052904,1971669,70.36,30,0.36,0.35,4329.081687,0.00150241612354134,0.0100799143034575,0.0873791909051461,0.0123918709566519,0.0278383480721992
"Avocado","","World","2013",506397,4670163,1283314,2776159,1216993,2479194,NA,NA,NA,NA,4595.128165,0.00157818780787865,0.0125981705487197,NA,0.01315346058755,0.00910993964804946
"Azarole","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.0105783297029747,0.010013887153669,0.0819438251015883,0.0281209531144258,0.0326642487681644
"Azarole","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.011057440919837,0.0127667675308709,0.0845939586923702,0.0321384012105297,0.035139142088402
"Azarole","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.0115167023693689,0.0131657976684062,0.0873791909051461,0.0321412108078353,0.0360507254376891
"Azarole","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,0.01183422719948,0.0140655710451907,NA,0.0323634710327429,0.0194210897591379
"Babaco","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.0105783297029747,0.010013887153669,0.0819438251015883,0.0281209531144258,0.0326642487681644
"Babaco","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.011057440919837,0.0127667675308709,0.0845939586923702,0.0321384012105297,0.035139142088402
"Babaco","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.0115167023693689,0.0131657976684062,0.0873791909051461,0.0321412108078353,0.0360507254376891
"Babaco","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,0.01183422719948,0.0140655710451907,NA,0.0323634710327429,0.0194210897591379
"Badian","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.000870089682931532,0.00246408282545099,0.0111796447796779,0.00491660312293955,0.00485760510275
"Badian","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.000999672204884153,0.00291537784696398,0.0132486805383233,0.00578303460182376,0.00573669129799879
"Badian","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.000963211188090911,0.00289072595530004,0.0130501145016268,0.00503242082652173,0.00548411811788486
"Badian","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,0.000929815260899658,0.00367538316035378,NA,0.00490753162731602,0.00317091001618982
"Bambara bean","","World","2010",200627,151785,0,0,0,0,NA,NA,NA,NA,41.464877,0.000178535788139591,0,NA,0.000118058770494962,9.88648528781842e-05
"Bambara bean","","World","2011",202112,135605,0,0,0,0,NA,NA,NA,NA,39.481036,0.000175309609513085,0,NA,0.000112379790091581,9.58964665348887e-05
"Bambara bean","","World","2012",210565,156016,2642,6761,1541,1403,NA,NA,NA,NA,43.937587,0.000186527472936569,1.93898138400818e-05,NA,0.000125137196454121,0.000110351494410257
"Bambara bean","","World","2013",223826,157247,750,963,1727,2036,NA,NA,NA,NA,51.312539,0.000196030620291987,7.99876895616156e-06,NA,0.000146248872180088,0.000116759420476079
"Bamboo shoot","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.0810241339472912,0.0158480385917066,0.345763225678197,0.222324788175722,0.166240046598229
"Bamboo shoot","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.0812865389830482,0.016591688396281,0.348936899770159,0.255971554882383,0.175696670507968
"Bamboo shoot","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.0846608439174669,0.0153591693432372,0.359846582517087,0.264460412890408,0.18108175216705
"Bamboo shoot","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,0.0867554459507617,0.0172039502151519,NA,0.273154901621517,0.125704765929144
"Bananas","","World","2010",5400390,108665134,17933961,11713905,17490865,8098393,33.93,21,0.28,0.07,35314.883339,0.0323087318044414,0.0649779382322675,0.0443316091859226,0.101092407120973,0.0606776715859012
"Bananas","","World","2011",5496539,109430205,18720741,13080942,18719902,8853166,34.06,21,0.28,0.07,42854.6374,0.0325764437718543,0.070708491299411,0.0444413768162928,0.122675848313454,0.0676005400502531
"Bananas","","World","2012",5274021,107810272,18313664,12477861,19099109,8629565,33.53,21,0.27,0.07,45267.914459,0.0319964927791198,0.0689994129268827,0.0438375149136142,0.129584140422545,0.0686043902605404
"Bananas","","World","2013",5286085,110514408,19664242,13922500,20098072,9688828,NA,NA,NA,NA,40894.318998,0.0327158276529268,0.0757710854642499,NA,0.11706420413968,0.0751837057522854
"Barley","","World","2010",47405964,123303344,36389270,16380850,38169910,15801921,2.6,7,0.19,0.03,23175.221453,0.0652344422989342,0.117532026249108,0.00909352048703204,0.0663411836336741,0.0645502931671871
"Barley","","World","2011",48442390,132733302,36370039,19174218,38004029,18996167,2.71,7,0.2,0.03,31449.713389,0.0684312420625948,0.129881068041479,0.00934274850697628,0.0900278992285628,0.0744207394599032
"Barley","","World","2012",49844175,132213548,40425588,20747422,42502967,20669168,2.72,7,0.2,0.03,33779.540179,0.0692649250743055,0.142451110875782,0.00935119217085091,0.096697305034614,0.079441133288888
"Barley","","World","2013",49773553,143421287,43112619,22507109,45098961,22024522,NA,NA,NA,NA,35304.839744,0.0721628300219846,0.152485475471841,NA,0.101063656137813,0.108570653877213
"Bay leaf","","World","2010",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,0.00119494174517894,0.00565823142425062,0.0111796447796779,0.00614472476361492,0.0060443856781806
"Bay leaf","","World","2011",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,0.00133634596080459,0.00637051442619013,0.0132486805383233,0.00711159838862856,0.00701678482848664
"Bay leaf","","World","2012",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,0.00127403481466994,0.00626050451819944,0.0130501145016268,0.00675910261468299,0.00683593911229479
"Bay leaf","","World","2013",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,0.00129511882070855,0.00725681670532974,NA,0.00666914074473256,0.00507369209025695
"Beech nut","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.00187438682328941,0.00249695741876053,0.0040570020809653,0.00284073716985972,0.00281727087321874
"Beech nut","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00201842459690456,0.00285754034664624,0.00424712445378714,0.00429160959382657,0.00335367474779113
"Beech nut","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.00212665803530142,0.00273275007463636,0.00424712445378714,0.00469848827911538,0.00345125521071007
"Beech nut","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,0.00217574239500907,0.00364967289108859,NA,0.00478160088146121,0.00353567205585296
"Beets","","World","2010",18400753,259721091,2758557,471225,2768708,387974,283.67,71,3.79,0.59,77665.050267,0.0810241339472912,0.00553769911943571,0.345763225678197,0.222324788175722,0.163662461730161
"Beets","","World","2011",18372783,260792753,2759775,621646,2686773,509204,286.58,71,3.82,0.6,89418.891726,0.0812865389830482,0.00604524922517209,0.348936899770159,0.255971554882383,0.173060060715191
"Beets","","World","2012",19028297,271900678,3333541,779056,3197464,635486,296.09,73,3.93,0.61,92384.308643,0.0846608439174669,0.00736998768513246,0.359846582517087,0.264460412890408,0.179084456752524
"Beets","","World","2013",19757918,277946312,2918281,782017,3069126,700498,NA,NA,NA,NA,95421.558641,0.0867554459507617,0.00714567267596307,NA,0.273154901621517,0.122352006749414
"Black gram","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.0347166213748787,0.021095181040091,0.0441498029427629,0.0967234171355996,0.0491712556233331
"Black gram","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.0344411765906948,0.0245774204023329,0.0431333450351257,0.119852758827373,0.0555011752138817
"Black gram","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.0337759235166113,0.0252723860285356,0.0415110754270087,0.109104459821827,0.0524159611984956
"Black gram","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,0.0340525094811474,0.0248792070994088,NA,0.117620439169971,0.0588507185835091
"Black salsify","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.0810241339472912,0.0158480385917066,0.345763225678197,0.222324788175722,0.166240046598229
"Black salsify","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.0812865389830482,0.016591688396281,0.348936899770159,0.255971554882383,0.175696670507968
"Black salsify","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.0846608439174669,0.0153591693432372,0.359846582517087,0.264460412890408,0.18108175216705
"Black salsify","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,0.0867554459507617,0.0172039502151519,NA,0.273154901621517,0.125704765929144
"Blueberry","","World","2010",75558,323449,113186,557310,83527,370846,65.96,28,0.34,0.33,786.546623,0.000137095618316076,0.00204791670442232,0.0819438251015883,0.00225094373176506,0.0215949452890229
"Blueberry","","World","2011",81524,363586,127362,639798,91293,450108,68.08,29,0.35,0.34,1082.677138,0.000151778389876429,0.00239873320573373,0.0845939586923702,0.0030986524904449,0.0225607806946063
"Blueberry","","World","2012",82696,397793,136696,638926,109298,567786,70.36,30,0.36,0.35,1175.212893,0.000161583530960834,0.00266940459563001,0.0873791909051461,0.00336354707587643,0.0233934315269033
"Blueberry","","World","2013",86521,427760,156914,791053,118937,616126,NA,NA,NA,NA,1103.425429,0.000172110322793215,0.00309812501698137,NA,0.00315804693687112,0.0021427607588819
"Brazil nut","","World","2010",11500,106082,35332,176799,30352,153144,6.02,15,0.4,1.15,81.915159,3.56024547517058e-05,0.000728465707728152,0.0466369629096689,0.00023385250537051,0.0119087208943798
"Brazil nut","","World","2011",11500,109476,29903,232448,32377,242347,6.34,16,0.42,1.24,100.907722,3.64948209621544e-05,0.00102979829231191,0.049903782740143,0.000288220971939646,0.0128145742063392
"Brazil nut","","World","2012",11300,108405,27670,207855,30158,213017,6.39,16,0.42,1.23,86.126276,3.60747853161134e-05,0.000914339136376152,0.0496984763070408,0.000245907327767741,0.0127236993891252
"Brazil nut","","World","2013",11300,108600,32211,215440,32514,214328,NA,NA,NA,NA,84.761951,3.61260556198958e-05,0.000937026395998679,NA,0.000242001785469319,0.000405051412362632
"Breadfruit","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.00732272017813924,0.00296398743452612,0.0819438251015883,0.0294689352034348,0.0304248669794221
"Breadfruit","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.00767080423766747,0.0033635009670766,0.0845939586923702,0.0359396157529376,0.032891969912513
"Breadfruit","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.00813930262286523,0.00431173939717596,0.0873791909051461,0.0382538235160735,0.0345210141103152
"Breadfruit","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,0.00833143809531704,0.00485669709996857,NA,0.0386150737019537,0.0172677362990798
"Buckwheat","","World","2010",1910623,1453880,180653,117415,124723,80254,2.12,6,0.18,0.02,745.515967,0.00170457661832204,0.000615664631587605,0.00782814777168925,0.00213348860740687,0.00307046940725144
"Buckwheat","","World","2011",2337807,2367160,170671,152951,123868,108846,2.17,7,0.18,0.02,1424.57647,0.00224040437494402,0.000740984766374354,0.00832657047062444,0.00407737992190594,0.00384633488346219
"Buckwheat","","World","2012",2491909,2262982,164108,111861,119979,67111,2.06,6,0.17,0.02,949.550232,0.0023196854073427,0.000561700193231629,0.00762113807111816,0.00271756091589998,0.00330502114689812
"Buckwheat","","World","2013",2263608,2263765,159523,99922,145584,70537,NA,NA,NA,NA,745.91524,0.00216185748717513,0.000559434145681102,NA,0.00213463157377494,0.00161864106887706
"Butter-nut","","World","2010",581028,826771,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1912.534388,0.000619326202774287,0.00608352972943461,0.0466369629096689,0.00547421739728662,0.0147035090597911
"Butter-nut","","World","2011",567099,845615,430906,1846159,307097,1490357,6.34,16,0.42,1.24,2195.251104,0.000614638866632394,0.00740770142910418,0.049903782740143,0.00628352756371239,0.016052412649898
"Butter-nut","","World","2012",589226,867286,458584,2030043,349900,1618078,6.39,16,0.42,1.23,1971.314058,0.000635653387768627,0.008098695823974,0.0496984763070408,0.00564248118155522,0.0160188266750847
"Butter-nut","","World","2013",578129,877768,392896,2007377,310183,1603948,NA,NA,NA,NA,2008.074412,0.000630727833839299,0.00795115187236017,NA,0.00574771205942666,0.00477653058854204
