"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","gp_index_crops","gp_index_crops_lives_products","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Arracacha","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.000799185109616943,0.000182907938494615,0.00213756125209232,0.0029611592210489,0.00608081352125278
"Arracacha","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.000835527771985227,0.000203160050298015,0.00217133590759083,0.00350989179139421,0.00671991552126828
"Arracacha","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.000864480056859747,0.000213574297248245,0.00221355422696398,0.00416291557069983,0.0074545241517718
"Arracacha","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,0.000867336782437427,0.00022244558104347,NA,0.00387518757605686,0.00496496993953776
"Arrowroot","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.000799185109616943,0.000182907938494615,0.00213756125209232,0.0029611592210489,0.00608081352125278
"Arrowroot","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.000835527771985227,0.000203160050298015,0.00217133590759083,0.00350989179139421,0.00671991552126828
"Arrowroot","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.000864480056859747,0.000213574297248245,0.00221355422696398,0.00416291557069983,0.0074545241517718
"Arrowroot","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,0.000867336782437427,0.00022244558104347,NA,0.00387518757605686,0.00496496993953776
"Artichokes","","World","2010",127554,1480371,36992,58205,38262,58197,283.67,71,3.79,0.59,1194.618425,0.000119317854484738,7.32666731072154e-05,0.0864408064195493,0.00170954885761988,0.0883429398047611
"Artichokes","","World","2011",129510,1528753,32436,51880,34195,61784,286.58,71,3.82,0.6,1265.54825,0.000122836553425293,7.05737113498051e-05,0.0872342249425398,0.00181107138039017,0.0892387065877051
"Artichokes","","World","2012",124809,1616180,50349,71484,38487,57970,296.09,73,3.93,0.61,1209.843679,0.000127769703629486,8.20988995195219e-05,0.0899616456292717,0.00173134090625243,0.0919028551386731
"Artichokes","","World","2013",128996,1608858,61161,87935,45688,73240,NA,NA,NA,NA,1279.156081,0.00012801299803238,0.000101620329719459,NA,0.00183054839633588,0.00206018172408772
"Asparagus","","World","2010",1426554,7487774,322330,1121898,310837,904646,283.67,71,3.79,0.59,8761.212497,0.000738988823780769,0.00115619947260956,0.0864408064195493,0.0125396858129576,0.100875680528897
"Asparagus","","World","2011",1454191,8190220,330404,1189328,320764,949384,286.58,71,3.82,0.6,10152.553366,0.000789944112282762,0.00121708415497072,0.0872342249425398,0.0145311250284679,0.103772378238261
"Asparagus","","World","2012",1483159,8281961,350344,1165339,353746,1039414,296.09,73,3.93,0.61,10474.279166,0.000800987388657533,0.00126263521724823,0.0899616456292717,0.0149916141789245,0.107016882414102
"Asparagus","","World","2013",1462915,7934250,336163,1423283,330537,1148581,NA,NA,NA,NA,11488.542099,0.000774628632456185,0.00144406801493601,NA,0.0164433382133564,0.0186620348607486
"Atemoya","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.00183068004453481,0.000740996858631531,0.0204859562753971,0.0147344676017174,0.0377921007802808
"Atemoya","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.00191770105941687,0.00084087524176915,0.0211484896730925,0.0179698078764688,0.0418768738507474
"Atemoya","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.00203482565571631,0.00107793484929399,0.0218447977262865,0.0191269117580367,0.0440844699893336
"Atemoya","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,0.00208285952382926,0.00121417427499214,NA,0.0193075368509769,0.0226045706497983
"Avocado","","World","2010",443271,3879484,902790,1697254,829565,1466360,65.96,28,0.34,0.33,3810.703209,0.00033165048554155,0.00193358336455067,0.0204859562753971,0.00545397550822334,0.0282051656337126
"Avocado","","World","2011",457279,4173951,950232,2214307,851891,1971227,68.08,29,0.35,0.34,4258.233434,0.00035343028592105,0.00247613336514545,0.0211484896730925,0.00609452971032315,0.0300725830344822
"Avocado","","World","2012",478170,4456290,1127815,2172802,1052904,1971669,70.36,30,0.36,0.35,4329.081687,0.000375604030885334,0.00251997857586436,0.0218447977262865,0.00619593547832593,0.0309363158113621
"Avocado","","World","2013",506397,4670163,1283314,2776159,1216993,2479194,NA,NA,NA,NA,4595.128165,0.000394546951969662,0.00314954263717993,NA,0.00657673029377499,0.0101208198829246
"Azarole","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.00264458242574367,0.00250347178841725,0.0204859562753971,0.0140604765572129,0.0396944870467709
"Azarole","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.00276436022995926,0.00319169188271772,0.0211484896730925,0.0160692006052648,0.0431737423910344
"Azarole","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.00287917559234223,0.00329144941710156,0.0218447977262865,0.0160706054039176,0.044086028139648
"Azarole","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,0.00295855679987,0.00351639276129767,NA,0.0161817355163715,0.0226566850775391
"Babaco","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.00264458242574367,0.00250347178841725,0.0204859562753971,0.0140604765572129,0.0396944870467709
"Babaco","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.00276436022995926,0.00319169188271772,0.0211484896730925,0.0160692006052648,0.0431737423910344
"Babaco","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.00287917559234223,0.00329144941710156,0.0218447977262865,0.0160706054039176,0.044086028139648
"Babaco","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,0.00295855679987,0.00351639276129767,NA,0.0161817355163715,0.0226566850775391
"Badian","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.000217522420732883,0.000616020706362748,0.00279491119491948,0.00245830156146978,0.00608675588348489
"Badian","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.000249918051221038,0.000728844461740995,0.00331217013458081,0.00289151730091188,0.00718244994845472
"Badian","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.000240802797022728,0.000722681488825009,0.0032625286254067,0.00251621041326086,0.0067422233245153
"Badian","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,0.000232453815224914,0.000918845790088444,NA,0.00245376581365801,0.00360506541897137
"Bambara bean","","World","2010",200627,151785,0,0,0,0,NA,NA,NA,NA,41.464877,4.46339470348977e-05,0,NA,5.9029385247481e-05,0.000103663332282379
"Bambara bean","","World","2011",202112,135605,0,0,0,0,NA,NA,NA,NA,39.481036,4.38274023782713e-05,0,NA,5.61898950457904e-05,0.000100017297424062
"Bambara bean","","World","2012",210565,156016,2642,6761,1541,1403,NA,NA,NA,NA,43.937587,4.66318682341421e-05,4.84745346002045e-06,NA,6.25685982270606e-05,0.000114047919921223
"Bambara bean","","World","2013",223826,157247,750,963,1727,2036,NA,NA,NA,NA,51.312539,4.90076550729968e-05,1.99969223904039e-06,NA,7.31244360900438e-05,0.000124131783402081
"Bamboo shoot","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.0202560334868228,0.00396200964792665,0.0864408064195493,0.111162394087861,0.22182124364216
"Bamboo shoot","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.0203216347457621,0.00414792209907024,0.0872342249425398,0.127985777441192,0.239689559228564
"Bamboo shoot","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.0211652109793667,0.00383979233580931,0.0899616456292717,0.132230206445204,0.247196855389652
"Bamboo shoot","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,0.0216888614876904,0.00430098755378797,NA,0.136577450810758,0.162567299852237
"Bananas","","World","2010",5400390,108665134,17933961,11713905,17490865,8098393,33.93,21,0.28,0.07,35314.883339,0.00807718295111034,0.0162444845580669,0.0110829022964807,0.0505462035604867,0.0859507733661446
"Bananas","","World","2011",5496539,109430205,18720741,13080942,18719902,8853166,34.06,21,0.28,0.07,42854.6374,0.00814411094296358,0.0176771228248528,0.0111103442040732,0.0613379241567272,0.0982695021286167
"Bananas","","World","2012",5274021,107810272,18313664,12477861,19099109,8629565,33.53,21,0.27,0.07,45267.914459,0.00799912319477996,0.0172498532317207,0.0109593787284035,0.0647920702112724,0.101000425366177
"Bananas","","World","2013",5286085,110514408,19664242,13922500,20098072,9688828,NA,NA,NA,NA,40894.318998,0.0081789569132317,0.0189427713660625,NA,0.0585321020698398,0.085653830349134
"Barley","","World","2010",47405964,123303344,36389270,16380850,38169910,15801921,2.6,7,0.19,0.03,23175.221453,0.0163086105747335,0.0293830065622771,0.00227338012175801,0.0331705918168371,0.0811355890756057
"Barley","","World","2011",48442390,132733302,36370039,19174218,38004029,18996167,2.71,7,0.2,0.03,31449.713389,0.0171078105156487,0.0324702670103697,0.00233568712674407,0.0450139496142814,0.0969277142670439
"Barley","","World","2012",49844175,132213548,40425588,20747422,42502967,20669168,2.72,7,0.2,0.03,33779.540179,0.0173162312685764,0.0356127777189454,0.00233779804271273,0.048348652517307,0.103615459547542
"Barley","","World","2013",49773553,143421287,43112619,22507109,45098961,22024522,NA,NA,NA,NA,35304.839744,0.0180407075054961,0.0381213688679601,NA,0.0505318280689063,0.106693904442363
"Bay leaf","","World","2010",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,0.000298735436294734,0.00141455785606265,0.00279491119491948,0.00307236238180746,0.00758056686908433
"Bay leaf","","World","2011",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,0.000334086490201148,0.00159262860654753,0.00331217013458081,0.00355579919431428,0.00879468442564377
"Bay leaf","","World","2012",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,0.000318508703667484,0.00156512612954986,0.0032625286254067,0.0033795513073415,0.00852571476596554
"Bay leaf","","World","2013",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,0.000323779705177138,0.00181420417633244,NA,0.00333457037236628,0.00547255425387585
"Beech nut","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.000468596705822351,0.000624239354690132,0.00101425052024133,0.00142036858492986,0.00352745516568367
"Beech nut","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00050460614922614,0.00071438508666156,0.00106178111344679,0.00214580479691329,0.00442657714624777
"Beech nut","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.000531664508825354,0.000683187518659089,0.00106178111344679,0.00234924413955769,0.00462587728048892
"Beech nut","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,0.000543935598752269,0.000912418222772148,NA,0.00239080044073061,0.00384715426225502
"Beets","","World","2010",18400753,259721091,2758557,471225,2768708,387974,283.67,71,3.79,0.59,77665.050267,0.0202560334868228,0.00138442477985893,0.0864408064195493,0.111162394087861,0.219243658774092
"Beets","","World","2011",18372783,260792753,2759775,621646,2686773,509204,286.58,71,3.82,0.6,89418.891726,0.0203216347457621,0.00151131230629302,0.0872342249425398,0.127985777441192,0.237052949435787
"Beets","","World","2012",19028297,271900678,3333541,779056,3197464,635486,296.09,73,3.93,0.61,92384.308643,0.0211652109793667,0.00184249692128312,0.0899616456292717,0.132230206445204,0.245199559975126
"Beets","","World","2013",19757918,277946312,2918281,782017,3069126,700498,NA,NA,NA,NA,95421.558641,0.0216888614876904,0.00178641816899077,NA,0.136577450810758,0.16005273046744
"Black gram","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.00867915534371968,0.00527379526002276,0.0110374507356907,0.0483617085677998,0.073352109907233
"Black gram","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.00861029414767369,0.00614435510058324,0.0107833362587814,0.0599263794136867,0.085464364920725
"Black gram","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.00844398087915284,0.00631809650713391,0.0103777688567522,0.0545522299109133,0.0796920761539522
"Black gram","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,0.00851312737028684,0.00621980177485219,NA,0.0588102195849856,0.0735431487301246
"Black salsify","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.0202560334868228,0.00396200964792665,0.0864408064195493,0.111162394087861,0.22182124364216
"Black salsify","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.0203216347457621,0.00414792209907024,0.0872342249425398,0.127985777441192,0.239689559228564
"Black salsify","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.0211652109793667,0.00383979233580931,0.0899616456292717,0.132230206445204,0.247196855389652
"Black salsify","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,0.0216888614876904,0.00430098755378797,NA,0.136577450810758,0.162567299852237
"Blueberry","","World","2010",75558,323449,113186,557310,83527,370846,65.96,28,0.34,0.33,786.546623,3.42739045790191e-05,0.00051197917610558,0.0204859562753971,0.00112547186588253,0.0221576812219642
"Blueberry","","World","2011",81524,363586,127362,639798,91293,450108,68.08,29,0.35,0.34,1082.677138,3.79445974691072e-05,0.000599683301433433,0.0211484896730925,0.00154932624522245,0.0233354438172175
"Blueberry","","World","2012",82696,397793,136696,638926,109298,567786,70.36,30,0.36,0.35,1175.212893,4.03958827402086e-05,0.000667351148907503,0.0218447977262865,0.00168177353793821,0.0242343182958724
"Blueberry","","World","2013",86521,427760,156914,791053,118937,616126,NA,NA,NA,NA,1103.425429,4.30275806983038e-05,0.000774531254245341,NA,0.00157902346843556,0.00239658230337921
"Brazil nut","","World","2010",11500,106082,35332,176799,30352,153144,6.02,15,0.4,1.15,81.915159,8.90061368792644e-06,0.000182116426932038,0.0116592407274172,0.000116926252685255,0.0119671840207225
"Brazil nut","","World","2011",11500,109476,29903,232448,32377,242347,6.34,16,0.42,1.24,100.907722,9.12370524053859e-06,0.000257449573077976,0.0124759456850357,0.000144110485969823,0.0128866294493241
"Brazil nut","","World","2012",11300,108405,27670,207855,30158,213017,6.39,16,0.42,1.23,86.126276,9.01869632902835e-06,0.000228584784094038,0.0124246190767602,0.00012295366388387,0.0127851762210671
"Brazil nut","","World","2013",11300,108600,32211,215440,32514,214328,NA,NA,NA,NA,84.761951,9.03151390497395e-06,0.00023425659899967,NA,0.00012100089273466,0.000364289005639303
"Breadfruit","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.00183068004453481,0.000740996858631531,0.0204859562753971,0.0147344676017174,0.0377921007802808
"Breadfruit","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.00191770105941687,0.00084087524176915,0.0211484896730925,0.0179698078764688,0.0418768738507474
"Breadfruit","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.00203482565571631,0.00107793484929399,0.0218447977262865,0.0191269117580367,0.0440844699893336
"Breadfruit","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,0.00208285952382926,0.00121417427499214,NA,0.0193075368509769,0.0226045706497983
"Buckwheat","","World","2010",1910623,1453880,180653,117415,124723,80254,2.12,6,0.18,0.02,745.515967,0.000426144154580509,0.000153916157896901,0.00195703694292231,0.00106674430370343,0.00360384155910316
"Buckwheat","","World","2011",2337807,2367160,170671,152951,123868,108846,2.17,7,0.18,0.02,1424.57647,0.000560101093736006,0.000185246191593588,0.00208164261765611,0.00203868996095297,0.00486567986393867
"Buckwheat","","World","2012",2491909,2262982,164108,111861,119979,67111,2.06,6,0.17,0.02,949.550232,0.000579921351835676,0.000140425048307907,0.00190528451777954,0.00135878045794999,0.00398441137587311
"Buckwheat","","World","2013",2263608,2263765,159523,99922,145584,70537,NA,NA,NA,NA,745.91524,0.000540464371793784,0.000139858536420276,NA,0.00106731578688747,0.00174763869510153
"Butter-nut","","World","2010",581028,826771,433559,1534219,262461,1178755,6.02,15,0.4,1.15,1912.534388,0.000154831550693572,0.00152088243235865,0.0116592407274172,0.00273710869864331,0.0160720634091128
"Butter-nut","","World","2011",567099,845615,430906,1846159,307097,1490357,6.34,16,0.42,1.24,2195.251104,0.000153659716658099,0.00185192535727605,0.0124759456850357,0.0031417637818562,0.0176232945408261
"Butter-nut","","World","2012",589226,867286,458584,2030043,349900,1618078,6.39,16,0.42,1.23,1971.314058,0.000158913346942157,0.0020246739559935,0.0124246190767602,0.00282124059077761,0.0174294469704735
"Butter-nut","","World","2013",578129,877768,392896,2007377,310183,1603948,NA,NA,NA,NA,2008.074412,0.000157681958459825,0.00198778796809004,NA,0.00287385602971333,0.0050193259562632
