"crop_name","country_iso2","country_name","year","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","compose_index"
"Cherimoya","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Cherimoya","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Cherimoya","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Cherimoya","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Cherries","","World","2010",613035,3129581,350514,1280738,354376,1303627,65.96,28,0.34,0.33,4675.290808,0.0333689992832634
"Cherries","","World","2011",630601,3407290,413663,1617897,419365,1595241,68.08,29,0.35,0.34,5633.275653,0.0351029969511401
"Cherries","","World","2012",630497,3350620,440648,1851212,452124,1766940,70.36,30,0.36,0.35,5812.60318,0.0364788091254289
"Cherries","","World","2013",623311,3663630,442023,1745968,431987,1668436,NA,NA,NA,NA,6239.20478,NA
"Chervil","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Chervil","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Chervil","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Chervil","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
"Chestnuts","","World","2010",549098,2002054,99798,234698,101680,258860,6.02,15,0.4,1.15,3014.541562,0.0183315894924718
"Chestnuts","","World","2011",548493,2041295,97130,261366,96738,266131,6.34,16,0.42,1.24,4103.5481,0.0198279343566371
"Chestnuts","","World","2012",557954,2057873,103408,317373,105971,331860,6.39,16,0.42,1.23,4893.062572,0.020056826949057
"Chestnuts","","World","2013",571114,2092637,124397,361137,125094,383442,NA,NA,NA,NA,4876.729987,NA
"Chickpeas","","World","2010",11859138,10866939,1031403,751887,1188103,822489,NA,NA,NA,NA,7196.746474,NA
"Chickpeas","","World","2011",13092801,11619669,1116913,978824,1159115,963827,NA,NA,NA,NA,8407.987766,NA
"Chickpeas","","World","2012",12322434,11521015,1454960,1328122,1904095,1540164,NA,NA,NA,NA,8298.095447,NA
"Chickpeas","","World","2013",12599380,13288172,1614124,1282766,1629915,1152295,NA,NA,NA,NA,8244.912377,NA
"Chicle","","World","2010",NA,32652,NA,NA,NA,NA,NA,NA,NA,NA,22.953075,NA
"Chicle","","World","2011",NA,38803,NA,NA,NA,NA,NA,NA,NA,NA,38.705732,NA
"Chicle","","World","2012",NA,48204,NA,NA,NA,NA,NA,NA,NA,NA,51.78589,NA
"Chicle","","World","2013",NA,51957,NA,NA,NA,NA,NA,NA,NA,NA,58.259854,NA
"Chicory","","World","2010",1166655,25331467,1793623,2374063,1774506,2280488,283.67,71,3.79,0.59,15599.237458,0.135546287929723
"Chicory","","World","2011",1170074,25707071,1882694,2335458,1821552,2148219,286.58,71,3.82,0.6,13845.85012,0.136164325559143
"Chicory","","World","2012",1179659,26235477,1930007,2498750,1967602,2346971,296.09,73,3.93,0.61,14266.635608,0.14058977581648
"Chicory","","World","2013",1161435,25108869,2028689,2709601,2068512,2484425,NA,NA,NA,NA,14972.333839,NA
"Chillies and peppers","","World","2010",3528625,32763720,3150865,5445416,3162387,5167389,1.18,3,0.14,0.15,29790.132371,0.0223387786866735
"Chillies and peppers","","World","2011",3560014,33429988,3239532,5891003,3325048,5703570,1.23,4,0.15,0.16,32519.391853,0.0242195177317984
"Chillies and peppers","","World","2012",3649905,34278830,3474033,5845819,3569815,5764959,1.21,4,0.15,0.15,31434.918417,0.0240268551060522
"Chillies and peppers","","World","2013",3608628,34839222,3490853,6323382,3584091,6190515,NA,NA,NA,NA,34179.904516,NA
"Chinotto","","World","2010",1346960,12465575,1176664,1051608,1245167,964880,4.73,1,0.02,0.01,5336.082128,0.00609296768696925
"Chinotto","","World","2011",1318993,11349975,1172308,1105820,1215392,973326,4.07,1,0.02,0.01,5470.655986,0.00590610948836797
"Chinotto","","World","2012",1373407,12870381,1186400,1118192,1175953,922962,4.55,1,0.02,0.01,6441.807622,0.00634902478935178
"Chinotto","","World","2013",1383198,15813981,1286199,1180268,1238782,966861,NA,NA,NA,NA,8206.261198,NA
"Chontadura","","World","2010",1625481,2850441,455710,558018,421025,363968,0.34,1,0.07,0.09,992.579453,0.00298230443775835
"Chontadura","","World","2011",1651134,3330732,481585,594953,660991,413367,0.38,1,0.08,0.09,1499.413426,0.00334064708994266
"Chontadura","","World","2012",1695971,3624339,382163,545902,561933,463546,0.38,1,0.08,0.09,1641.548556,0.00335193658758293
"Chontadura","","World","2013",1727446,3728159,416629,749535,683806,650727,NA,NA,NA,NA,1670.582322,NA
"Chufa","","World","2010",1218971,8950085,150870,157835,137478,101979,5.12,6,0.08,0.01,2069.069745,0.00449484603349312
"Chufa","","World","2011",1257843,9400643,161930,178870,157844,110144,5.28,6,0.08,0.01,2452.447779,0.00469963100771744
"Chufa","","World","2012",1273960,9798676,141226,154375,188810,148987,5.48,6,0.08,0.01,2908.690011,0.00491597527124302
"Chufa","","World","2013",1286432,9809301,148880,180834,161957,146925,NA,NA,NA,NA,2707.665689,NA
"Cinnamon","","World","2010",229182,190992,125631,240685,123952,234677,1.8,6,0.19,0.16,582.92357,0.00467566119643635
"Cinnamon","","World","2011",242347,199003,141780,318724,133350,322690,2.09,7,0.23,0.19,705.454977,0.00559405678343371
"Cinnamon","","World","2012",248420,204310,118887,298284,116878,312345,2.04,7,0.22,0.19,710.768002,0.00549153732991159
"Cinnamon","","World","2013",258363,209103,142594,356506,149687,365902,NA,NA,NA,NA,728.231902,NA
"Citron","","World","2010",1346960,12465575,1176664,1051608,1245167,964880,4.73,1,0.02,0.01,5336.082128,0.00609296768696925
"Citron","","World","2011",1318993,11349975,1172308,1105820,1215392,973326,4.07,1,0.02,0.01,5470.655986,0.00590610948836797
"Citron","","World","2012",1373407,12870381,1186400,1118192,1175953,922962,4.55,1,0.02,0.01,6441.807622,0.00634902478935178
"Citron","","World","2013",1383198,15813981,1286199,1180268,1238782,966861,NA,NA,NA,NA,8206.261198,NA
"Citronella","","World","2010",NA,NA,483,18374,142,12727,NA,NA,NA,NA,NA,NA
"Citronella","","World","2011",NA,NA,355,15612,73,11348,NA,NA,NA,NA,NA,NA
"Citronella","","World","2012",NA,NA,1292,63061,1367,48458,NA,NA,NA,NA,NA,NA
"Citronella","","World","2013",NA,NA,1341,69891,432,28126,NA,NA,NA,NA,NA,NA
"Clovers","","World","2010",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Clovers","","World","2011",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Clovers","","World","2012",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Clovers","","World","2013",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Cloves","","World","2010",389162,127569,33550,129026,43609,165345,0.01,0,0,0,116.520132,0.000327858791430342
"Cloves","","World","2011",402544,102591,66208,712707,55268,388062,0.02,0,0,0,144.692471,0.000948728830566185
"Cloves","","World","2012",569443,130942,53570,489057,50351,424423,0.02,0,0,0,162.259605,0.00083725617144374
"Cloves","","World","2013",584261,142933,41734,338660,42613,358601,NA,NA,NA,NA,172.393291,NA
"Cocoa","","World","2010",9587240,4329173,9377235,38415211,9223676,37203437,1.67,5,0.12,0.39,7896.933836,0.0707082932801101
"Cocoa","","World","2011",10217133,4614955,10349125,44053847,10405120,42613949,1.82,5,0.13,0.43,8785.907347,0.0803707745391772
"Cocoa","","World","2012",10207258,4613604,10332509,40608277,10190948,39594390,1.8,5,0.13,0.42,7457.483979,0.07499747214903
"Cocoa","","World","2013",10108387,4485377,10748892,42211732,10306244,41025486,NA,NA,NA,NA,7199.8961,NA
"Coconuts","","World","2010",11756224,61215644,4564145,3293580,4304431,3072054,9.46,21,0.12,2.05,10161.498983,0.0395670164012036
"Coconuts","","World","2011",11911286,59530454,3794585,5008023,3591651,4466069,9,18,0.12,1.79,12192.144496,0.039028409353292
"Coconuts","","World","2012",12028147,63008546,3957761,3967724,4024639,3720473,9.3,19,0.12,1.88,11303.471965,0.0388522778783187
"Coconuts","","World","2013",12024283,63275510,4130204,3312559,4340287,3199051,NA,NA,NA,NA,11206.388026,NA
"Coffee","","World","2010",10532027,8478007,14842477,53151020,15593294,53525164,3.12,1,0.17,NA,16200.651777,NA
"Coffee","","World","2011",9935004,8387743,15353569,79504270,16053975,78421242,3.14,1,0.17,NA,22111.247211,NA
"Coffee","","World","2012",10364007,8823713,15794582,73483272,16975974,73005842,3.21,1,0.18,NA,19605.29525,NA
"Coffee","","World","2013",10584470,8893329,15985985,64337072,16702975,63741831,NA,NA,NA,NA,15980.021184,NA
"Common bean","","World","2010",32486941,46510911,3595456,3694939,4178460,3905076,7.22,24,1.56,0.11,33788.661932,0.0388305996197066
"Common bean","","World","2011",32210303,46191613,3851850,4108479,4856496,4842092,7.05,24,1.52,0.1,41868.44617,0.0417798339780543
"Common bean","","World","2012",30844784,47256489,4011952,4304353,4787454,4953739,6.78,23,1.46,0.1,38113.737625,0.0403445593342933
"Common bean","","World","2013",31027121,47828399,4071808,4484651,4556765,4657864,NA,NA,NA,NA,41088.628853,NA
"Coriander","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.00556651753721076
"Coriander","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.00658532841388555
"Coriander","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.00642929136640099
"Coriander","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,NA
"Cotton","","World","2010",31801055,136128650,10021107,16413487,10102527,15792134,1.44,13,0,1.42,110578.541843,0.0839588568707574
"Cotton","","World","2011",34497013,154703951,10356474,25230891,10882873,22822089,1.52,13,0,1.5,195126.198329,0.120132773617318
"Cotton","","World","2012",34691800,155383718,12761012,23940252,13051861,22046074,1.62,14,0,1.59,157227.050451,0.110917969743337
"Cotton","","World","2013",32219639,143302326,12259559,21041649,12927334,20798476,NA,NA,NA,NA,134605.096788,NA
"Cowpeas","","World","2010",11602534,6835457,NA,NA,NA,NA,NA,NA,NA,NA,2082.586232,NA
"Cowpeas","","World","2011",10524289,4745890,NA,NA,NA,NA,NA,NA,NA,NA,1504.800004,NA
"Cowpeas","","World","2012",11386779,8357941,NA,NA,NA,NA,NA,NA,NA,NA,2853.208436,NA
"Cowpeas","","World","2013",12255391,8281648,NA,NA,NA,NA,NA,NA,NA,NA,2824.665697,NA
"Cranberries","","World","2010",30762,466019,82185,310043,106747,446914,65.96,28,0.34,0.33,375.159074,0.030544071588342
"Cranberries","","World","2011",30726,534928,96994,412632,125503,520392,68.08,29,0.35,0.34,443.990389,0.031669467073351
"Cranberries","","World","2012",37208,594539,122117,491523,144170,555990,70.36,30,0.36,0.35,834.787482,0.0328837517236302
"Cranberries","","World","2013",40260,628363,135258,562044,160215,626700,NA,NA,NA,NA,720.149373,NA
"Cress","","World","2010",18400753,259721091,2399248,2480279,3251236,3268037,283.67,71,3.79,0.59,77665.050267,0.166438010286356
"Cress","","World","2011",18372783,260792753,2608363,2709243,3375853,3295271,286.58,71,3.82,0.6,89418.891726,0.170968998683113
"Cress","","World","2012",19028297,271900678,2451482,2586994,3002047,3004214,296.09,73,3.93,0.61,92384.308643,0.175873191651513
"Cress","","World","2013",19757918,277946312,2625756,3170254,2883011,3301102,NA,NA,NA,NA,95421.558641,NA
"Cucumbers and gherkins","","World","2010",2020216,62415690,2388444,2223302,2320935,2049820,283.67,71,3.79,0.59,24700.688661,0.139786788989752
"Cucumbers and gherkins","","World","2011",2090097,67772544,2325189,2080137,2428729,2028932,286.58,71,3.82,0.6,35421.628214,0.143886110241551
"Cucumbers and gherkins","","World","2012",2115757,70694189,2392303,2249573,2327897,2141337,296.09,73,3.93,0.61,37171.988026,0.148654847344117
"Cucumbers and gherkins","","World","2013",2110656,73195785,2454036,2557353,2431875,2384087,NA,NA,NA,NA,37419.018544,NA
"Cumin","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.00556651753721076
"Cumin","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.00658532841388555
"Cumin","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.00642929136640099
"Cumin","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,NA
"Currants","","World","2010",123585,637282,18291,34127,15453,34222,65.96,28,0.34,0.33,914.947482,0.0301417738278065
"Currants","","World","2011",114353,638118,21468,48934,15217,43054,68.08,29,0.35,0.34,1277.288634,0.0312170541078346
"Currants","","World","2012",115158,643101,20374,41380,17347,37042,70.36,30,0.36,0.35,1235.90376,0.0322094812322981
"Currants","","World","2013",116166,685109,22780,47752,12689,32946,NA,NA,NA,NA,1231.997558,NA
"Cushaw","","World","2010",1736070,22763108,892312,967026,568796,600190,283.67,71,3.79,0.59,8028.022937,0.130663255012495
"Cushaw","","World","2011",1780650,23661986,938910,884763,599923,526115,286.58,71,3.82,0.6,8561.915827,0.131906170259893
"Cushaw","","World","2012",1821600,23917255,1158646,1180261,804707,785720,296.09,73,3.93,0.61,8900.281181,0.136502178677288
"Cushaw","","World","2013",1851136,24522500,1210850,1292064,1179516,1256161,NA,NA,NA,NA,9673.60717,NA
"Custard apple","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Custard apple","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Custard apple","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Custard apple","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Dates","","World","2010",1282856,7525890,612273,733721,666697,775964,2.36,4,0.04,0.01,8308.524715,0.00584412393355383
"Dates","","World","2011",1126732,7262843,722310,834384,710384,902189,2.45,4,0.04,0.01,11251.138389,0.00681558277827781
"Dates","","World","2012",1121587,7430261,689734,787449,764529,875561,2.5,4,0.04,0.01,11660.882946,0.00689516183889435
"Dates","","World","2013",1160096,7517294,799678,946399,825271,993102,NA,NA,NA,NA,12282.658151,NA
"Devil's cotton","","World","2010",174067,260086,NA,NA,NA,NA,NA,NA,NA,NA,111.560907,NA
"Devil's cotton","","World","2011",177187,273679,NA,NA,NA,NA,NA,NA,NA,NA,134.392861,NA
"Devil's cotton","","World","2012",167191,260262,NA,NA,NA,NA,NA,NA,NA,NA,119.172125,NA
"Devil's cotton","","World","2013",178613,253350,NA,NA,NA,NA,NA,NA,NA,NA,105.200735,NA
"Dill","","World","2010",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,0.00689873755178973
"Dill","","World","2011",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,0.00802373365166285
"Dill","","World","2012",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,0.00786814984757525
"Dill","","World","2013",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,NA
"Durian","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Durian","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Durian","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Durian","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Eggplant","","World","2010",1717642,44073890,426419,453228,457648,449062,283.67,71,3.79,0.59,17749.21088,0.133574410932733
"Eggplant","","World","2011",1752393,45005712,389268,472090,439219,467951,286.58,71,3.82,0.6,17947.429146,0.134843741838457
"Eggplant","","World","2012",1803765,46951760,412974,476483,439962,455736,296.09,73,3.93,0.61,27492.119521,0.141393967458426
"Eggplant","","World","2013",1854094,48880838,417575,541049,419608,501695,NA,NA,NA,NA,21385.141227,NA
"Elderberry","","World","2010",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,0.0379189510492186
"Elderberry","","World","2011",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,0.0403360170857426
"Elderberry","","World","2012",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,0.0415776881673439
"Elderberry","","World","2013",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,NA
"Esparto","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Esparto","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Esparto","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Esparto","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Ethiopian rape","","World","2010",3457854,86839927,2884680,2153507,2848071,2170860,283.67,71,3.79,0.59,31702.311809,0.143254651254205
"Ethiopian rape","","World","2011",3635706,91844781,3222171,2353169,3145789,2393629,286.58,71,3.82,0.6,29115.173245,0.144474085566883
"Ethiopian rape","","World","2012",3614349,90383048,3338404,2362900,3060892,2219668,296.09,73,3.93,0.61,29380.731584,0.148316355911006
"Ethiopian rape","","World","2013",3622205,92078006,3490137,2777169,3207991,2575998,NA,NA,NA,NA,32693.018812,NA
"Faba beans","","World","2010",2502016,4326035,773829,325851,754330,285642,NA,NA,NA,NA,2159.788385,NA
"Faba beans","","World","2011",2438865,4564194,588129,466849,798800,394435,NA,NA,NA,NA,2613.386491,NA
"Faba beans","","World","2012",2415929,4436826,518281,464137,802900,420692,NA,NA,NA,NA,2165.992284,NA
"Faba beans","","World","2013",2354330,4439668,563258,481688,737683,424057,NA,NA,NA,NA,2563.488686,NA
"Feijoa","","World","2010",2900373,20215994,762573,644135,580010,353614,65.96,28,0.34,0.33,10294.620887,0.0348859659731065
"Feijoa","","World","2011",3164798,20843720,811232,755461,646342,399423,68.08,29,0.35,0.34,12555.026886,0.0366464602605509
"Feijoa","","World","2012",3194968,22546163,925943,995019,820875,525894,70.36,30,0.36,0.35,13363.450215,0.038299649997372
"Feijoa","","World","2013",3207702,23243400,976575,1180320,841345,584348,NA,NA,NA,NA,13489.645919,NA
"Fennel","","World","2010",943046,827412,287213,493850,264610,510640,1.8,6,0.19,0.16,1717.742721,0.00556651753721076
"Fennel","","World","2011",1082838,952224,307764,607009,295131,598896,2.09,7,0.23,0.19,2020.413653,0.00658532841388555
"Fennel","","World","2012",1040955,923817,333008,607900,317335,571680,2.04,7,0.22,0.19,1758.201376,0.00642929136640099
"Fennel","","World","2013",999465,906033,406832,764959,394543,742271,NA,NA,NA,NA,1714.573771,NA
"Fenugreek","","World","2010",927593,2103629,325132,1186048,379108,1301953,1.8,6,0.19,0.16,2146.763054,0.00689873755178973
"Fenugreek","","World","2011",1008818,2427596,365788,1356446,414880,1450140,2.09,7,0.23,0.19,2484.52149,0.00802373365166285
"Fenugreek","","World","2012",978986,2269144,374363,1245973,455369,1486093,2.04,7,0.22,0.19,2361.383969,0.00786814984757525
"Fenugreek","","World","2013",982860,2339135,380536,1326976,493790,1858878,NA,NA,NA,NA,2329.957545,NA
"Fig leaf gourd","","World","2010",1736070,22763108,892312,967026,568796,600190,283.67,71,3.79,0.59,8028.022937,0.130663255012495
"Fig leaf gourd","","World","2011",1780650,23661986,938910,884763,599923,526115,286.58,71,3.82,0.6,8561.915827,0.131906170259893
"Fig leaf gourd","","World","2012",1821600,23917255,1158646,1180261,804707,785720,296.09,73,3.93,0.61,8900.281181,0.136502178677288
"Fig leaf gourd","","World","2013",1851136,24522500,1210850,1292064,1179516,1256161,NA,NA,NA,NA,9673.60717,NA
"Figs","","World","2010",308369,1064832,108156,376117,110208,349754,65.96,28,0.34,0.33,913.485449,0.0307268484007779
"Figs","","World","2011",309371,1065309,111025,398872,108935,356482,68.08,29,0.35,0.34,950.657532,0.0317225735543292
"Figs","","World","2012",307504,1056036,112551,379662,114168,372566,70.36,30,0.36,0.35,944.332016,0.0327333806686318
"Figs","","World","2013",315155,1130940,137888,483117,132678,433776,NA,NA,NA,NA,954.759339,NA
"Finger millet","","World","2010",36016793,32805831,404750,151767,382999,125300,9.58,29,0.76,0.3,10175.829125,0.0239231531527155
"Finger millet","","World","2011",33977510,27058875,335675,151255,384395,145625,9.18,27,0.73,0.28,9076.185389,0.0222991765137298
"Finger millet","","World","2012",31252411,26649147,343168,146524,368144,129610,9.02,27,0.71,0.28,9792.355746,0.0219420127023725
"Finger millet","","World","2013",31216989,26413944,348129,170993,280492,117230,NA,NA,NA,NA,8938.717089,NA
"Fique","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Fique","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Fique","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Fique","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Flax","","World","2010",2242743,2416714,2384228,1919234,2390474,1832241,0.34,1,0.07,0.09,1485.233756,0.00627259331552011
"Flax","","World","2011",2431480,2621398,2168816,2387930,2073033,2042217,0.38,1,0.08,0.09,1550.296411,0.00676595048978371
"Flax","","World","2012",2679828,2740443,2376975,2168921,2476514,2201971,0.38,1,0.08,0.09,2159.45147,0.00707858623383314
"Flax","","World","2013",2453411,2951672,2365322,2445911,2496087,2382672,NA,NA,NA,NA,2289.644735,NA
"Fonio","","World","2010",552411,559794,0,0,0,0,2.12,6,0.18,0.02,307.086782,0.00302269713687988
"Fonio","","World","2011",603388,581570,0,0,0,0,2.17,7,0.18,0.02,273.520888,0.00320266346463754
"Fonio","","World","2012",712193,575552,3617,5862,1020,1772,2.06,6,0.17,0.02,276.902728,0.00296722949066523
"Fonio","","World","2013",717540,610165,1809,2925,730,2978,NA,NA,NA,NA,317.979632,NA
"Foxtail millet","","World","2010",36016793,32805831,404750,151767,382999,125300,9.58,29,0.76,0.3,10175.829125,0.0239231531527155
"Foxtail millet","","World","2011",33977510,27058875,335675,151255,384395,145625,9.18,27,0.73,0.28,9076.185389,0.0222991765137298
"Foxtail millet","","World","2012",31252411,26649147,343168,146524,368144,129610,9.02,27,0.71,0.28,9792.355746,0.0219420127023725
"Foxtail millet","","World","2013",31216989,26413944,348129,170993,280492,117230,NA,NA,NA,NA,8938.717089,NA
"Garlic","","World","2010",1337681,22578634,1657287,2325210,1675937,3040428,283.67,71,3.79,0.59,16748.835612,0.136237849088766
"Garlic","","World","2011",1384930,23087524,1848279,2355483,1975097,2834921,286.58,71,3.82,0.6,17641.197828,0.137636317386558
"Garlic","","World","2012",1445916,23408086,1640119,1819741,1755649,1989889,296.09,73,3.93,0.61,15540.142051,0.139921667867799
"Garlic","","World","2013",1429582,24249960,1830644,2119036,1970505,2040452,NA,NA,NA,NA,15303.429693,NA
"Giant cabuya","","World","2010",375939,276134,NA,NA,NA,NA,NA,NA,NA,NA,83.921461,NA
"Giant cabuya","","World","2011",382836,281306,NA,NA,NA,NA,NA,NA,NA,NA,102.302727,NA
"Giant cabuya","","World","2012",389075,284142,NA,NA,NA,NA,NA,NA,NA,NA,93.506102,NA
"Giant cabuya","","World","2013",387491,285396,NA,NA,NA,NA,NA,NA,NA,NA,89.382532,NA
"Ginger","","World","2010",263704,1718410,457238,578982,460852,624352,1.8,6,0.19,0.16,1720.346904,0.00576591838365128
"Ginger","","World","2011",307292,2364813,552792,687219,547984,643374,2.09,7,0.23,0.19,2437.885434,0.00688019963459933
"Ginger","","World","2012",367692,2460918,647902,538751,646129,469403,2.04,7,0.22,0.19,1863.342095,0.00647406803899107
"Ginger","","World","2013",372691,2445146,618927,732911,602653,666777,NA,NA,NA,NA,2567.152292,NA
"Gooseberries","","World","2010",30803,158565,457,1853,155,1179,65.96,28,0.34,0.33,367.330629,0.0299071248684402
"Gooseberries","","World","2011",30391,165625,324,2568,215,2435,68.08,29,0.35,0.34,463.576978,0.0308976291488492
"Gooseberries","","World","2012",29429,164672,218,2735,1014,3763,70.36,30,0.36,0.35,479.070729,0.0319156398436331
"Gooseberries","","World","2013",29080,167509,841,3976,876,3673,NA,NA,NA,NA,472.972062,NA
"Grapefruits","","World","2010",319631,7577561,1419775,1330057,1464634,1186904,2.9,1,0.01,0,3062.87934,0.00492066392354943
"Grapefruits","","World","2011",324194,7926287,1403005,1428319,1434436,1237314,2.96,1,0.01,0,4029.665982,0.00530729684231852
"Grapefruits","","World","2012",321528,8240840,1389187,1447731,1397898,1207782,3.18,1,0.01,0,4021.399994,0.00536591296981116
"Grapefruits","","World","2013",320898,8491232,1454888,1492358,1408233,1224343,NA,NA,NA,NA,5012.481297,NA
"Grapes","","World","2010",7010212,67125509,23943489,66486204,25462758,64965604,19.71,12,0.06,0.03,54457.338219,0.138420333919288
"Grapes","","World","2011",6981912,69534935,26045781,77425985,27060685,75104744,20.45,13,0.06,0.03,72119.45754,0.160342674686031
"Grapes","","World","2012",6971403,68867023,26399023,78506099,26853632,76384261,21.01,12,0.06,0.03,64805.466625,0.160237650689512
"Grapes","","World","2013",7094262,76587641,26144469,82749440,26785301,80938420,NA,NA,NA,NA,67905.589359,NA
"Grasspea","","World","2010",4832256,3595071,NA,NA,NA,NA,NA,NA,NA,NA,2323.360526,NA
"Grasspea","","World","2011",4996230,3640423,NA,NA,NA,NA,NA,NA,NA,NA,2533.337487,NA
"Grasspea","","World","2012",5877968,4217669,NA,NA,NA,NA,NA,NA,NA,NA,3029.011416,NA
"Grasspea","","World","2013",6044349,4562293,NA,NA,NA,NA,NA,NA,NA,NA,3269.198798,NA
"Groundnuts","","World","2010",26141034,43450744,2076384,2272306,1711184,1845941,6.26,40,1.03,3.76,25912.273891,0.0644012625410862
"Groundnuts","","World","2011",25101003,40864277,2153076,2926511,2092146,2829777,5.95,38,0.99,3.57,32168.011782,0.0647703078875394
"Groundnuts","","World","2012",25563601,42020180,1981623,3487627,2001083,3234256,6.2,39,1.05,3.69,35968.897943,0.0681969765477818
"Groundnuts","","World","2013",27256666,46418008,2093707,3221293,2063370,2889334,NA,NA,NA,NA,24960.413931,NA
"Guavas","","World","2010",4998207,37539772,1018569,1172802,1349464,1156038,65.96,28,0.34,0.33,29790.472339,0.0423185091412085
"Guavas","","World","2011",5202368,40083200,1098288,1334864,1438886,1371521,68.08,29,0.35,0.34,34588.340279,0.0450067167199105
"Guavas","","World","2012",5438753,42418914,1116492,1359168,1483611,1464013,70.36,30,0.36,0.35,33036.074627,0.0458627322036374
"Guavas","","World","2013",5582728,44510869,1189101,1652571,1648185,1689744,NA,NA,NA,NA,33152.868662,NA
"Guayule","","World","2010",NA,32652,NA,NA,NA,NA,NA,NA,NA,NA,22.953075,NA
"Guayule","","World","2011",NA,38803,NA,NA,NA,NA,NA,NA,NA,NA,38.705732,NA
"Guayule","","World","2012",NA,48204,NA,NA,NA,NA,NA,NA,NA,NA,51.78589,NA
"Guayule","","World","2013",NA,51957,NA,NA,NA,NA,NA,NA,NA,NA,58.259854,NA
