Item,Item_cleaned,Metric,Kingdom,Useable,Notes
"Skins, sheep, dry salted","Skins, sheep, dry salted",Trade_crops_livestock,Animal,N,
"Skins, sheep, fresh","Skins, sheep, fresh",Trade_crops_livestock,Animal,N,
"Skins, sheep, wet salted","Skins, sheep, wet salted",Trade_crops_livestock,Animal,N,
"Skins, sheep, with wool","Skins, sheep, with wool",Trade_crops_livestock,Animal,N,
Total Meat,Total Meat,Trade_crops_livestock,Animal,N,
"Whey, condensed","Whey, condensed",Trade_crops_livestock,Animal,N,
"Whey, dry","Whey, dry",Trade_crops_livestock,Animal,N,
"Whey, Pres+Concen","Whey, Pres+Concen",Trade_crops_livestock,Animal,N,
"Wool, degreased","Wool, degreased",Trade_crops_livestock,Animal,N,
"Wool, greasy","Wool, greasy",Trade_crops_livestock,Animal,N,
"Wool, greasy","Wool, greasy",Value of production,Animal,N,
"Wool, hair waste","Wool, hair waste",Trade_crops_livestock,Animal,N,
"Yoghurt, concentrated or not","Yoghurt, concentrated or not",Trade_crops_livestock,Animal,N,
Mushrooms and truffles,Mushrooms and truffles,Production,Fungi,N,
Mushrooms and truffles,Mushrooms and truffles,Trade_crops_livestock,Fungi,N,
Mushrooms and truffles,Mushrooms and truffles,Value of production,Fungi,N,
"Mushrooms, canned","Mushrooms, canned",Trade_crops_livestock,Fungi,N,
"Agricult.Products,Total","Agricult.Products,Total",Trade_crops_livestock,Plant,N,
Agriculture (PIN),Agriculture (PIN),Value of production,Plant,N,
"Alcohol, Non-Food","Alcohol, Non-Food",Commoditybalances,Plant,N,
Alcoholic Beverages,Alcoholic Beverages,Commoditybalances,Plant,N,
Alcoholic Beverages,Alcoholic Beverages,FoodSupply,Plant,N,
"Bastfibres, other","Bastfibres, other",Production,Plant,N,
"Bastfibres, other","Bastfibres, other",Value of production,Plant,N,
Beer,Beer,Commoditybalances,Plant,N,
Beer,Beer,FoodSupply,Plant,N,
Beer,Beer,Trade_crops_livestock,Plant,N,
Beverages,Beverages,Trade_crops_livestock,Plant,N,
"Beverages, Alcoholic","Beverages, Alcoholic",Commoditybalances,Plant,N,
