Item,Item_cleaned,Metric,Kingdom,Useable,Notes
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",Production,Plant,Y,
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",Trade_crops_livestock,Plant,Y,
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",Value of production,Plant,Y,
Apples,Apples,Production,Plant,Y,
Apples,Apples,Trade_crops_livestock,Plant,Y,
Apples,Apples,Value of production,Plant,Y,
Apples and products,Apples and products,Commoditybalances,Plant,Y,
Apples and products,Apples and products,FoodSupply,Plant,Y,
Apricots,Apricots,Production,Plant,Y,
Apricots,Apricots,Trade_crops_livestock,Plant,Y,
Apricots,Apricots,Value of production,Plant,Y,
"Apricots, dry","Apricots, dry",Trade_crops_livestock,Plant,Y,
Areca nuts,Areca nuts,Production,Plant,Y,
Areca nuts,Areca nuts,Value of production,Plant,Y,
Artichokes,Artichokes,Production,Plant,Y,
Artichokes,Artichokes,Trade_crops_livestock,Plant,Y,
Artichokes,Artichokes,Value of production,Plant,Y,
Asparagus,Asparagus,Production,Plant,Y,
Asparagus,Asparagus,Trade_crops_livestock,Plant,Y,
Asparagus,Asparagus,Value of production,Plant,Y,
Avocados,Avocados,Production,Plant,Y,
Avocados,Avocados,Trade_crops_livestock,Plant,Y,
Avocados,Avocados,Value of production,Plant,Y,
Bambara beans,Bambara beans,Production,Plant,Y,
Bambara beans,Bambara beans,Trade_crops_livestock,Plant,Y,
Bambara beans,Bambara beans,Value of production,Plant,Y,
Bananas,Bananas,Commoditybalances,Plant,Y,
Bananas,Bananas,FoodSupply,Plant,Y,
Bananas,Bananas,Production,Plant,Y,
Bananas,Bananas,Trade_crops_livestock,Plant,Y,
Bananas,Bananas,Value of production,Plant,Y,
Bananas and plantains,Bananas and plantains,Trade_crops_livestock,Plant,Y,
Barley,Barley,Production,Plant,Y,
Barley,Barley,Trade_crops_livestock,Plant,Y,
Barley,Barley,Value of production,Plant,Y,
Barley and products,Barley and products,Commoditybalances,Plant,Y,
Barley and products,Barley and products,FoodSupply,Plant,Y,
"Barley, pearled","Barley, pearled",Trade_crops_livestock,Plant,Y,
Beans,Beans,Commoditybalances,Plant,Y,
Beans,Beans,FoodSupply,Plant,Y,
"Beans, dry","Beans, dry",Production,Plant,Y,
"Beans, dry","Beans, dry",Trade_crops_livestock,Plant,Y,
"Beans, dry","Beans, dry",Value of production,Plant,Y,
"Beans, green","Beans, green",Production,Plant,Y,
"Beans, green","Beans, green",Trade_crops_livestock,Plant,Y,
"Beans, green","Beans, green",Value of production,Plant,Y,
Beer of barley,Beer of barley,Trade_crops_livestock,Plant,Y,
Beer of sorghum,Beer of sorghum,Trade_crops_livestock,Plant,Y,
Beet pulp,Beet pulp,Trade_crops_livestock,Plant,Y,
Berries nes,Berries nes,Production,Plant,Y,
Berries nes,Berries nes,Value of production,Plant,Y,
"Beverages, fermented rice","Beverages, fermented rice",Trade_crops_livestock,Plant,Y,
Blueberries,Blueberries,Production,Plant,Y,
Blueberries,Blueberries,Trade_crops_livestock,Plant,Y,
Blueberries,Blueberries,Value of production,Plant,Y,
"Bran, buckwheat","Bran, buckwheat",Trade_crops_livestock,Plant,Y,
"Bran, fonio","Bran, fonio",Trade_crops_livestock,Plant,Y,
"Bran, maize","Bran, maize",Trade_crops_livestock,Plant,Y,
"Bran, millet","Bran, millet",Trade_crops_livestock,Plant,Y,
"Bran, sorghum","Bran, sorghum",Trade_crops_livestock,Plant,Y,
"Bran, wheat","Bran, wheat",Trade_crops_livestock,Plant,Y,
Brans,Brans,Commoditybalances,Plant,Y,
"Brazil nuts, shelled","Brazil nuts, shelled",Trade_crops_livestock,Plant,Y,
"Brazil nuts, with shell","Brazil nuts, with shell",Production,Plant,Y,
"Brazil nuts, with shell","Brazil nuts, with shell",Value of production,Plant,Y,
Bread,Bread,Trade_crops_livestock,Plant,Y,
"Broad beans, horse beans, dry","Broad beans, horse beans, dry",Production,Plant,Y,
"Broad beans, horse beans, dry","Broad beans, horse beans, dry",Trade_crops_livestock,Plant,Y,
"Broad beans, horse beans, dry","Broad beans, horse beans, dry",Value of production,Plant,Y,
Buckwheat,Buckwheat,Production,Plant,Y,
Buckwheat,Buckwheat,Trade_crops_livestock,Plant,Y,
Buckwheat,Buckwheat,Value of production,Plant,Y,
Bulgur,Bulgur,Trade_crops_livestock,Plant,Y,
Cabbages and other brassicas,Cabbages and other brassicas,Production,Plant,Y,
Cabbages and other brassicas,Cabbages and other brassicas,Trade_crops_livestock,Plant,Y,
Cabbages and other brassicas,Cabbages and other brassicas,Value of production,Plant,Y,
"Cake, copra","Cake, copra",Trade_crops_livestock,Plant,Y,
"Cake, cottonseed","Cake, cottonseed",Trade_crops_livestock,Plant,Y,
"Cake, groundnuts","Cake, groundnuts",Trade_crops_livestock,Plant,Y,
"Cake, hempseed","Cake, hempseed",Trade_crops_livestock,Plant,Y,
"Cake, kapok","Cake, kapok",Trade_crops_livestock,Plant,Y,
"Cake, linseed","Cake, linseed",Trade_crops_livestock,Plant,Y,
"Cake, maize","Cake, maize",Trade_crops_livestock,Plant,Y,
"Cake, mustard","Cake, mustard",Trade_crops_livestock,Plant,Y,
"Cake, palm kernel","Cake, palm kernel",Trade_crops_livestock,Plant,Y,
"Cake, rapeseed","Cake, rapeseed",Trade_crops_livestock,Plant,Y,
"Cake, rice bran","Cake, rice bran",Trade_crops_livestock,Plant,Y,
"Cake, safflower","Cake, safflower",Trade_crops_livestock,Plant,Y,
"Cake, sesame seed","Cake, sesame seed",Trade_crops_livestock,Plant,Y,
"Cake, soybeans","Cake, soybeans",Trade_crops_livestock,Plant,Y,
"Cake, sunflower","Cake, sunflower",Trade_crops_livestock,Plant,Y,
Canary seed,Canary seed,Production,Plant,Y,
Canary seed,Canary seed,Trade_crops_livestock,Plant,Y,
Canary seed,Canary seed,Value of production,Plant,Y,
Cane tops,Cane tops,Trade_crops_livestock,Plant,Y,
Carobs,Carobs,Production,Plant,Y,
Carobs,Carobs,Value of production,Plant,Y,
Carrots and turnips,Carrots and turnips,Production,Plant,Y,
Carrots and turnips,Carrots and turnips,Trade_crops_livestock,Plant,Y,
Carrots and turnips,Carrots and turnips,Value of production,Plant,Y,
"Cashew nuts, shelled","Cashew nuts, shelled",Trade_crops_livestock,Plant,Y,
"Cashew nuts, with shell","Cashew nuts, with shell",Production,Plant,Y,
"Cashew nuts, with shell","Cashew nuts, with shell",Trade_crops_livestock,Plant,Y,
"Cashew nuts, with shell","Cashew nuts, with shell",Value of production,Plant,Y,
Cashewapple,Cashewapple,Production,Plant,Y,
Cashewapple,Cashewapple,Trade_crops_livestock,Plant,Y,
Cashewapple,Cashewapple,Value of production,Plant,Y,
Cassava,Cassava,Production,Plant,Y,
Cassava,Cassava,Trade_crops_livestock,Plant,Y,
Cassava,Cassava,Value of production,Plant,Y,
Cassava and products,Cassava and products,Commoditybalances,Plant,Y,
Cassava and products,Cassava and products,FoodSupply,Plant,Y,
Cassava dried,Cassava dried,Trade_crops_livestock,Plant,Y,
Cassava Equivalent,Cassava Equivalent,Trade_crops_livestock,Plant,Y,
Cassava leaves,Cassava leaves,Production,Plant,Y,
Castor oil seed,Castor oil seed,Production,Plant,Y,
Castor oil seed,Castor oil seed,Value of production,Plant,Y,
Cauliflowers and broccoli,Cauliflowers and broccoli,Production,Plant,Y,
Cauliflowers and broccoli,Cauliflowers and broccoli,Trade_crops_livestock,Plant,Y,
Cauliflowers and broccoli,Cauliflowers and broccoli,Value of production,Plant,Y,
Cereals (Rice Milled Eqv),Cereals (Rice Milled Eqv),Production,Plant,Y,
"Cereals, nes","Cereals, nes",Production,Plant,Y,
"Cereals, nes","Cereals, nes",Value of production,Plant,Y,
"Cereals, Other","Cereals, Other",Commoditybalances,Plant,Y,
"Cereals, Other","Cereals, Other",FoodSupply,Plant,Y,
Cherries,Cherries,Production,Plant,Y,
Cherries,Cherries,Trade_crops_livestock,Plant,Y,
Cherries,Cherries,Value of production,Plant,Y,
"Cherries, sour","Cherries, sour",Production,Plant,Y,
"Cherries, sour","Cherries, sour",Trade_crops_livestock,Plant,Y,
"Cherries, sour","Cherries, sour",Value of production,Plant,Y,
Chestnut,Chestnut,Production,Plant,Y,
Chestnut,Chestnut,Trade_crops_livestock,Plant,Y,
Chestnut,Chestnut,Value of production,Plant,Y,
Chick peas,Chick peas,Production,Plant,Y,
Chick peas,Chick peas,Trade_crops_livestock,Plant,Y,
Chick peas,Chick peas,Value of production,Plant,Y,
Chicory roots,Chicory roots,Production,Plant,Y,
Chicory roots,Chicory roots,Value of production,Plant,Y,
"Chillies and peppers, dry","Chillies and peppers, dry",Production,Plant,Y,
"Chillies and peppers, dry","Chillies and peppers, dry",Trade_crops_livestock,Plant,Y,
"Chillies and peppers, dry","Chillies and peppers, dry",Value of production,Plant,Y,
"Chillies and peppers, green","Chillies and peppers, green",Production,Plant,Y,
"Chillies and peppers, green","Chillies and peppers, green",Trade_crops_livestock,Plant,Y,
"Chillies and peppers, green","Chillies and peppers, green",Value of production,Plant,Y,
Chocolate products nes,Chocolate products nes,Trade_crops_livestock,Plant,Y,
Cider etc,Cider etc,Trade_crops_livestock,Plant,Y,
"Cigars, cheroots","Cigars, cheroots",Trade_crops_livestock,Plant,Y,
Cinnamon (canella),Cinnamon (canella),Production,Plant,Y,
Cinnamon (canella),Cinnamon (canella),Trade_crops_livestock,Plant,Y,
Cinnamon (canella),Cinnamon (canella),Value of production,Plant,Y,
"Citrus Fruit,Total","Citrus Fruit,Total",Production,Plant,Y,
"Citrus, Other","Citrus, Other",Commoditybalances,Plant,Y,
"Citrus, Other","Citrus, Other",FoodSupply,Plant,Y,
Cloves,Cloves,Commoditybalances,Plant,Y,
Cloves,Cloves,FoodSupply,Plant,Y,
Cloves,Cloves,Production,Plant,Y,
Cloves,Cloves,Trade_crops_livestock,Plant,Y,
Cloves,Cloves,Value of production,Plant,Y,
Cocoa Beans and products,Cocoa Beans and products,Commoditybalances,Plant,Y,
Cocoa Beans and products,Cocoa Beans and products,FoodSupply,Plant,Y,
"Cocoa, beans","Cocoa, beans",Production,Plant,Y,
"Cocoa, beans","Cocoa, beans",Trade_crops_livestock,Plant,Y,
"Cocoa, beans","Cocoa, beans",Value of production,Plant,Y,
"Cocoa, butter","Cocoa, butter",Trade_crops_livestock,Plant,Y,
"Cocoa, paste","Cocoa, paste",Trade_crops_livestock,Plant,Y,
"Cocoa, powder & cake","Cocoa, powder & cake",Trade_crops_livestock,Plant,Y,
Coconut Oil,Coconut Oil,Commoditybalances,Plant,Y,
Coconut Oil,Coconut Oil,FoodSupply,Plant,Y,
Coconuts,Coconuts,Production,Plant,Y,
Coconuts,Coconuts,Trade_crops_livestock,Plant,Y,
Coconuts,Coconuts,Value of production,Plant,Y,
Coconuts - Incl Copra,Coconuts - Incl Copra,Commoditybalances,Plant,Y,
Coconuts - Incl Copra,Coconuts - Incl Copra,FoodSupply,Plant,Y,
"Coconuts, desiccated","Coconuts, desiccated",Trade_crops_livestock,Plant,Y,
Coffee and products,Coffee and products,Commoditybalances,Plant,Y,
Coffee and products,Coffee and products,FoodSupply,Plant,Y,
Coffee Green+Roast,Coffee Green+Roast,Trade_crops_livestock,Plant,Y,
"Coffee, extracts","Coffee, extracts",Trade_crops_livestock,Plant,Y,
"Coffee, green","Coffee, green",Production,Plant,Y,
"Coffee, green","Coffee, green",Trade_crops_livestock,Plant,Y,
"Coffee, green","Coffee, green",Value of production,Plant,Y,
"Coffee, husks and skins","Coffee, husks and skins",Trade_crops_livestock,Plant,Y,
"Coffee, roasted","Coffee, roasted",Trade_crops_livestock,Plant,Y,
"Coffee, substitutes containing coffee","Coffee, substitutes containing coffee",Trade_crops_livestock,Plant,Y,
Coffee+Tea+Cocoa+Sp,Coffee+Tea+Cocoa+Sp,Trade_crops_livestock,Plant,Y,
Coir,Coir,Production,Plant,Y,
Copra,Copra,Trade_crops_livestock,Plant,Y,
Copra Cake,Copra Cake,Commoditybalances,Plant,Y,
Cotton lint,Cotton lint,Commoditybalances,Plant,Y,
Cotton lint,Cotton lint,Production,Plant,Y,
Cotton lint,Cotton lint,Trade_crops_livestock,Plant,Y,
Cotton lint,Cotton lint,Value of production,Plant,Y,
Cotton linter,Cotton linter,Trade_crops_livestock,Plant,Y,
Cotton waste,Cotton waste,Trade_crops_livestock,Plant,Y,
"Cotton, carded, combed","Cotton, carded, combed",Trade_crops_livestock,Plant,Y,
Cottonseed,Cottonseed,Commoditybalances,Plant,Y,
Cottonseed,Cottonseed,Production,Plant,Y,
Cottonseed,Cottonseed,Trade_crops_livestock,Plant,Y,
Cottonseed,Cottonseed,Value of production,Plant,Y,
Cottonseed Cake,Cottonseed Cake,Commoditybalances,Plant,Y,
Cottonseed Oil,Cottonseed Oil,Commoditybalances,Plant,Y,
Cottonseed Oil,Cottonseed Oil,FoodSupply,Plant,Y,
"Cow peas, dry","Cow peas, dry",Production,Plant,Y,
"Cow peas, dry","Cow peas, dry",Value of production,Plant,Y,
Cranberries,Cranberries,Production,Plant,Y,
Cranberries,Cranberries,Trade_crops_livestock,Plant,Y,
Cranberries,Cranberries,Value of production,Plant,Y,
Cucumbers and gherkins,Cucumbers and gherkins,Production,Plant,Y,
Cucumbers and gherkins,Cucumbers and gherkins,Trade_crops_livestock,Plant,Y,
Cucumbers and gherkins,Cucumbers and gherkins,Value of production,Plant,Y,
Currants,Currants,Production,Plant,Y,
Currants,Currants,Trade_crops_livestock,Plant,Y,
Currants,Currants,Value of production,Plant,Y,
Dates,Dates,Commoditybalances,Plant,Y,
Dates,Dates,FoodSupply,Plant,Y,
Dates,Dates,Production,Plant,Y,
Dates,Dates,Trade_crops_livestock,Plant,Y,
Dates,Dates,Value of production,Plant,Y,
Eggplants (aubergines),Eggplants (aubergines),Production,Plant,Y,
Eggplants (aubergines),Eggplants (aubergines),Trade_crops_livestock,Plant,Y,
Eggplants (aubergines),Eggplants (aubergines),Value of production,Plant,Y,
Fibre crops nes,Fibre crops nes,Production,Plant,Y,
Fibre crops nes,Fibre crops nes,Value of production,Plant,Y,
Fibre Crops Primary,Fibre Crops Primary,Production,Plant,Y,
Figs,Figs,Production,Plant,Y,
Figs,Figs,Trade_crops_livestock,Plant,Y,
Figs,Figs,Value of production,Plant,Y,
Figs dried,Figs dried,Trade_crops_livestock,Plant,Y,
Flax Fib+Tow+W,Flax Fib+Tow+W,Trade_crops_livestock,Plant,Y,
Flax fibre and tow,Flax fibre and tow,Production,Plant,Y,
Flax fibre and tow,Flax fibre and tow,Trade_crops_livestock,Plant,Y,
Flax fibre and tow,Flax fibre and tow,Value of production,Plant,Y,
Flax fibre raw,Flax fibre raw,Trade_crops_livestock,Plant,Y,
Flax tow waste,Flax tow waste,Trade_crops_livestock,Plant,Y,
"Flour, fonio","Flour, fonio",Trade_crops_livestock,Plant,Y,
"Flour, maize","Flour, maize",Trade_crops_livestock,Plant,Y,
"Flour, mustard","Flour, mustard",Trade_crops_livestock,Plant,Y,
"Flour, potatoes","Flour, potatoes",Trade_crops_livestock,Plant,Y,
"Flour, pulses","Flour, pulses",Trade_crops_livestock,Plant,Y,
"Flour, roots and tubers nes","Flour, roots and tubers nes",Trade_crops_livestock,Plant,Y,
"Flour, wheat","Flour, wheat",Trade_crops_livestock,Plant,Y,
Fonio,Fonio,Production,Plant,Y,
Fonio,Fonio,Trade_crops_livestock,Plant,Y,
Fonio,Fonio,Value of production,Plant,Y,
"Forage and silage, clover","Forage and silage, clover",Trade_crops_livestock,Plant,Y,
"Forage and silage, grasses nes","Forage and silage, grasses nes",Trade_crops_livestock,Plant,Y,
"Forage and silage, legumes","Forage and silage, legumes",Trade_crops_livestock,Plant,Y,
Forage products,Forage products,Trade_crops_livestock,Plant,Y,
"Fruit, citrus nes","Fruit, citrus nes",Production,Plant,Y,
"Fruit, citrus nes","Fruit, citrus nes",Value of production,Plant,Y,
Garlic,Garlic,Production,Plant,Y,
Garlic,Garlic,Trade_crops_livestock,Plant,Y,
Garlic,Garlic,Value of production,Plant,Y,
"Germ, maize","Germ, maize",Trade_crops_livestock,Plant,Y,
Ginger,Ginger,Production,Plant,Y,
Ginger,Ginger,Trade_crops_livestock,Plant,Y,
Ginger,Ginger,Value of production,Plant,Y,
Gooseberries,Gooseberries,Production,Plant,Y,
Gooseberries,Gooseberries,Trade_crops_livestock,Plant,Y,
Gooseberries,Gooseberries,Value of production,Plant,Y,
Grapefruit (inc. pomelos),Grapefruit (inc. pomelos),Production,Plant,Y,
Grapefruit (inc. pomelos),Grapefruit (inc. pomelos),Trade_crops_livestock,Plant,Y,
Grapefruit (inc. pomelos),Grapefruit (inc. pomelos),Value of production,Plant,Y,
Grapefruit and products,Grapefruit and products,Commoditybalances,Plant,Y,
Grapefruit and products,Grapefruit and products,FoodSupply,Plant,Y,
Grapes,Grapes,Production,Plant,Y,
Grapes,Grapes,Trade_crops_livestock,Plant,Y,
Grapes,Grapes,Value of production,Plant,Y,
Grapes and products (excl wine),Grapes and products (excl wine),Commoditybalances,Plant,Y,
Grapes and products (excl wine),Grapes and products (excl wine),FoodSupply,Plant,Y,
Groundnut Cake,Groundnut Cake,Commoditybalances,Plant,Y,
Groundnut Oil,Groundnut Oil,Commoditybalances,Plant,Y,
Groundnut Oil,Groundnut Oil,FoodSupply,Plant,Y,
Groundnuts (in Shell Eq),Groundnuts (in Shell Eq),Commoditybalances,Plant,Y,
Groundnuts (in Shell Eq),Groundnuts (in Shell Eq),FoodSupply,Plant,Y,
Groundnuts (Shelled Eq),Groundnuts (Shelled Eq),Commoditybalances,Plant,Y,
Groundnuts (Shelled Eq),Groundnuts (Shelled Eq),FoodSupply,Plant,Y,
Groundnuts Total Shelled,Groundnuts Total Shelled,Trade_crops_livestock,Plant,Y,
"Groundnuts, shelled","Groundnuts, shelled",Trade_crops_livestock,Plant,Y,
"Groundnuts, with shell","Groundnuts, with shell",Production,Plant,Y,
"Groundnuts, with shell","Groundnuts, with shell",Value of production,Plant,Y,
"Hay (clover, lucerne,etc)","Hay (clover, lucerne,etc)",Trade_crops_livestock,Plant,Y,
"Hazelnuts, shelled","Hazelnuts, shelled",Trade_crops_livestock,Plant,Y,
"Hazelnuts, with shell","Hazelnuts, with shell",Production,Plant,Y,
"Hazelnuts, with shell","Hazelnuts, with shell",Value of production,Plant,Y,
Hemp tow waste,Hemp tow waste,Production,Plant,Y,
Hemp tow waste,Hemp tow waste,Value of production,Plant,Y,
Hempseed,Hempseed,Production,Plant,Y,
Hempseed,Hempseed,Value of production,Plant,Y,
Hops,Hops,Production,Plant,Y,
Hops,Hops,Trade_crops_livestock,Plant,Y,
Hops,Hops,Value of production,Plant,Y,
Jojoba seed,Jojoba seed,Production,Plant,Y,
"Juice, citrus, concentrated","Juice, citrus, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, citrus, single strength","Juice, citrus, single strength",Trade_crops_livestock,Plant,Y,
"Juice, grape","Juice, grape",Trade_crops_livestock,Plant,Y,
"Juice, grapefruit","Juice, grapefruit",Trade_crops_livestock,Plant,Y,
"Juice, grapefruit, concentrated","Juice, grapefruit, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, lemon, concentrated","Juice, lemon, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, orange, concentrated","Juice, orange, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, orange, single strength","Juice, orange, single strength",Trade_crops_livestock,Plant,Y,
"Juice, pineapple","Juice, pineapple",Trade_crops_livestock,Plant,Y,
"Juice, pineapple, concentrated","Juice, pineapple, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, plum, concentrated","Juice, plum, concentrated",Trade_crops_livestock,Plant,Y,
"Juice, plum, single strength","Juice, plum, single strength",Trade_crops_livestock,Plant,Y,
"Juice, tomato","Juice, tomato",Trade_crops_livestock,Plant,Y,
Jute,Jute,Commoditybalances,Plant,Y,
Jute,Jute,Production,Plant,Y,
Jute,Jute,Trade_crops_livestock,Plant,Y,
Jute,Jute,Value of production,Plant,Y,
Jute+Bast Fibres,Jute+Bast Fibres,Trade_crops_livestock,Plant,Y,
Jute-Like Fibres,Jute-Like Fibres,Commoditybalances,Plant,Y,
Kapok fibre,Kapok fibre,Production,Plant,Y,
Kapok fibre,Kapok fibre,Trade_crops_livestock,Plant,Y,
Kapok fruit,Kapok fruit,Production,Plant,Y,
Kapok fruit,Kapok fruit,Value of production,Plant,Y,
Kapokseed in shell,Kapokseed in shell,Production,Plant,Y,
Kapokseed in shell,Kapokseed in shell,Trade_crops_livestock,Plant,Y,
Kapokseed in shell,Kapokseed in shell,Value of production,Plant,Y,
Kapokseed shelled,Kapokseed shelled,Trade_crops_livestock,Plant,Y,
Karite nuts (sheanuts),Karite nuts (sheanuts),Production,Plant,Y,
Karite nuts (sheanuts),Karite nuts (sheanuts),Value of production,Plant,Y,
Kiwi fruit,Kiwi fruit,Production,Plant,Y,
Kiwi fruit,Kiwi fruit,Trade_crops_livestock,Plant,Y,
Kiwi fruit,Kiwi fruit,Value of production,Plant,Y,
Kola nuts,Kola nuts,Production,Plant,Y,
Kola nuts,Kola nuts,Trade_crops_livestock,Plant,Y,
Kola nuts,Kola nuts,Value of production,Plant,Y,
"Leeks, other alliaceous vegetables","Leeks, other alliaceous vegetables",Production,Plant,Y,
"Leeks, other alliaceous vegetables","Leeks, other alliaceous vegetables",Trade_crops_livestock,Plant,Y,
"Leeks, other alliaceous vegetables","Leeks, other alliaceous vegetables",Value of production,Plant,Y,
Lemons and limes,Lemons and limes,Production,Plant,Y,
Lemons and limes,Lemons and limes,Trade_crops_livestock,Plant,Y,
Lemons and limes,Lemons and limes,Value of production,Plant,Y,
"Lemons, Limes and products","Lemons, Limes and products",Commoditybalances,Plant,Y,
"Lemons, Limes and products","Lemons, Limes and products",FoodSupply,Plant,Y,
Lentils,Lentils,Production,Plant,Y,
Lentils,Lentils,Trade_crops_livestock,Plant,Y,
Lentils,Lentils,Value of production,Plant,Y,
Lettuce and chicory,Lettuce and chicory,Production,Plant,Y,
Lettuce and chicory,Lettuce and chicory,Trade_crops_livestock,Plant,Y,
Lettuce and chicory,Lettuce and chicory,Value of production,Plant,Y,
Linseed,Linseed,Production,Plant,Y,
Linseed,Linseed,Trade_crops_livestock,Plant,Y,
Linseed,Linseed,Value of production,Plant,Y,
Lupins,Lupins,Production,Plant,Y,
Lupins,Lupins,Value of production,Plant,Y,
Macaroni,Macaroni,Trade_crops_livestock,Plant,Y,
Maize,Maize,Production,Plant,Y,
Maize,Maize,Trade_crops_livestock,Plant,Y,
Maize,Maize,Value of production,Plant,Y,
Maize and products,Maize and products,Commoditybalances,Plant,Y,
Maize and products,Maize and products,FoodSupply,Plant,Y,
Maize Germ Oil,Maize Germ Oil,Commoditybalances,Plant,Y,
Maize Germ Oil,Maize Germ Oil,FoodSupply,Plant,Y,
"Maize, green","Maize, green",Production,Plant,Y,
"Maize, green","Maize, green",Trade_crops_livestock,Plant,Y,
"Maize, green","Maize, green",Value of production,Plant,Y,
"Mangoes, mangosteens, guavas","Mangoes, mangosteens, guavas",Production,Plant,Y,
"Mangoes, mangosteens, guavas","Mangoes, mangosteens, guavas",Trade_crops_livestock,Plant,Y,
"Mangoes, mangosteens, guavas","Mangoes, mangosteens, guavas",Value of production,Plant,Y,
Manila fibre (abaca),Manila fibre (abaca),Production,Plant,Y,
Manila fibre (abaca),Manila fibre (abaca),Trade_crops_livestock,Plant,Y,
Manila fibre (abaca),Manila fibre (abaca),Value of production,Plant,Y,
Maple sugar and syrups,Maple sugar and syrups,Trade_crops_livestock,Plant,Y,
Maté,Maté,Production,Plant,Y,
Maté,Maté,Trade_crops_livestock,Plant,Y,
Maté,Maté,Value of production,Plant,Y,
"Melons, other (inc.cantaloupes)","Melons, other (inc.cantaloupes)",Production,Plant,Y,
"Melons, other (inc.cantaloupes)","Melons, other (inc.cantaloupes)",Trade_crops_livestock,Plant,Y,
"Melons, other (inc.cantaloupes)","Melons, other (inc.cantaloupes)",Value of production,Plant,Y,
Melonseed,Melonseed,Production,Plant,Y,
Melonseed,Melonseed,Value of production,Plant,Y,
Millet,Millet,Production,Plant,Y,
Millet,Millet,Trade_crops_livestock,Plant,Y,
Millet,Millet,Value of production,Plant,Y,
Millet and products,Millet and products,Commoditybalances,Plant,Y,
Millet and products,Millet and products,FoodSupply,Plant,Y,
Mustard seed,Mustard seed,Production,Plant,Y,
Mustard seed,Mustard seed,Trade_crops_livestock,Plant,Y,
Mustard seed,Mustard seed,Value of production,Plant,Y,
Natural Rubber,Natural Rubber,Trade_crops_livestock,Plant,Y,
"Nutmeg, mace and cardamoms","Nutmeg, mace and cardamoms",Production,Plant,Y,
"Nutmeg, mace and cardamoms","Nutmeg, mace and cardamoms",Trade_crops_livestock,Plant,Y,
"Nutmeg, mace and cardamoms","Nutmeg, mace and cardamoms",Value of production,Plant,Y,
Nuts and products,Nuts and products,Commoditybalances,Plant,Y,
Nuts and products,Nuts and products,FoodSupply,Plant,Y,
"Nuts, nes","Nuts, nes",Production,Plant,Y,
"Nuts, nes","Nuts, nes",Trade_crops_livestock,Plant,Y,
"Nuts, nes","Nuts, nes",Value of production,Plant,Y,
"Nuts, prepared (exc. groundnuts)","Nuts, prepared (exc. groundnuts)",Trade_crops_livestock,Plant,Y,
Oats,Oats,Commoditybalances,Plant,Y,
Oats,Oats,FoodSupply,Plant,Y,
Oats,Oats,Production,Plant,Y,
Oats,Oats,Trade_crops_livestock,Plant,Y,
Oats,Oats,Value of production,Plant,Y,
Oats rolled,Oats rolled,Trade_crops_livestock,Plant,Y,
Oil palm fruit,Oil palm fruit,Production,Plant,Y,
Oil palm fruit,Oil palm fruit,Value of production,Plant,Y,
"Oil, castor beans","Oil, castor beans",Trade_crops_livestock,Plant,Y,
"Oil, citronella","Oil, citronella",Trade_crops_livestock,Plant,Y,
"Oil, coconut (copra)","Oil, coconut (copra)",Trade_crops_livestock,Plant,Y,
"Oil, cottonseed","Oil, cottonseed",Trade_crops_livestock,Plant,Y,
"Oil, groundnut","Oil, groundnut",Trade_crops_livestock,Plant,Y,
"Oil, kapok","Oil, kapok",Trade_crops_livestock,Plant,Y,
"Oil, linseed","Oil, linseed",Trade_crops_livestock,Plant,Y,
"Oil, maize","Oil, maize",Trade_crops_livestock,Plant,Y,
"Oil, olive residues","Oil, olive residues",Trade_crops_livestock,Plant,Y,
"Oil, olive, virgin","Oil, olive, virgin",Trade_crops_livestock,Plant,Y,
"Oil, palm","Oil, palm",Production,Plant,Y,
"Oil, palm","Oil, palm",Trade_crops_livestock,Plant,Y,
"Oil, palm","Oil, palm",Value of production,Plant,Y,
"Oil, palm kernel","Oil, palm kernel",Trade_crops_livestock,Plant,Y,
"Oil, poppy","Oil, poppy",Trade_crops_livestock,Plant,Y,
"Oil, rapeseed","Oil, rapeseed",Trade_crops_livestock,Plant,Y,
"Oil, rice bran","Oil, rice bran",Trade_crops_livestock,Plant,Y,
"Oil, safflower","Oil, safflower",Trade_crops_livestock,Plant,Y,
"Oil, sesame","Oil, sesame",Trade_crops_livestock,Plant,Y,
"Oil, soybean","Oil, soybean",Trade_crops_livestock,Plant,Y,
"Oil, sunflower","Oil, sunflower",Trade_crops_livestock,Plant,Y,
Okra,Okra,Production,Plant,Y,
Okra,Okra,Value of production,Plant,Y,
Olive Oil,Olive Oil,Commoditybalances,Plant,Y,
Olive Oil,Olive Oil,FoodSupply,Plant,Y,
"Olive Oil,Total","Olive Oil,Total",Trade_crops_livestock,Plant,Y,
Olives,Olives,Production,Plant,Y,
Olives,Olives,Trade_crops_livestock,Plant,Y,
Olives,Olives,Value of production,Plant,Y,
Olives (including preserved),Olives (including preserved),Commoditybalances,Plant,Y,
Olives (including preserved),Olives (including preserved),FoodSupply,Plant,Y,
