Item,Item_cleaned,Metric,Useable
"Oils, fats of animal nes","Oils, fats of animal nes",faostat-crops_lives_products,N
Other Meat,Other Meat,faostat-crops_lives_products,N
Ovine Meat,Ovine Meat,faostat-crops_lives_products,N
Pigmeat,Pigmeat,faostat-crops_lives_products,N
Poultry Meat,Poultry Meat,faostat-crops_lives_products,N
Silk,Silk,faostat-crops_lives_products,N
Silk raw,Silk raw,faostat-crops_lives_products,N
"Silk-worm cocoons, reelable","Silk-worm cocoons, reelable",faostat-crops_lives_products,N
"Silk-worm cocoons, reelable","Silk-worm cocoons, reelable",faostat-value_agricultural_production,N
"Skins, calve, wet salted","Skins, calve, wet salted",faostat-crops_lives_products,N
"Skins, goat, wet salted","Skins, goat, wet salted",faostat-crops_lives_products,N
"Skins, sheep, dry salted","Skins, sheep, dry salted",faostat-crops_lives_products,N
"Skins, sheep, fresh","Skins, sheep, fresh",faostat-crops_lives_products,N
"Skins, sheep, wet salted","Skins, sheep, wet salted",faostat-crops_lives_products,N
"Skins, sheep, with wool","Skins, sheep, with wool",faostat-crops_lives_products,N
Total Meat,Total Meat,faostat-crops_lives_products,N
"Whey, condensed","Whey, condensed",faostat-crops_lives_products,N
"Whey, dry","Whey, dry",faostat-crops_lives_products,N
"Whey, Pres+Concen","Whey, Pres+Concen",faostat-crops_lives_products,N
"Wool, degreased","Wool, degreased",faostat-crops_lives_products,N
"Wool, greasy","Wool, greasy",faostat-crops_lives_products,N
"Wool, greasy","Wool, greasy",faostat-value_agricultural_production,N
"Wool, hair waste","Wool, hair waste",faostat-crops_lives_products,N
"Yoghurt, concentrated or not","Yoghurt, concentrated or not",faostat-crops_lives_products,N
Mushrooms and truffles,Mushrooms and truffles,faostat-crops,N
Mushrooms and truffles,Mushrooms and truffles,faostat-crops_lives_products,N
Mushrooms and truffles,Mushrooms and truffles,faostat-value_agricultural_production,N
"Mushrooms, canned","Mushrooms, canned",faostat-crops_lives_products,N
"Agricult.Products,Total","Agricult.Products,Total",faostat-crops_lives_products,N
Agriculture (PIN),Agriculture (PIN),faostat-value_agricultural_production,N
"Alcohol, Non-Food","Alcohol, Non-Food",faostat-commodity_balances,N
Alcoholic Beverages,Alcoholic Beverages,faostat-commodity_balances,N
Alcoholic Beverages,Alcoholic Beverages,faostat-food_supply,N
Bananas and plantains,Bananas and plantains,faostat-crops_lives_products,N
Beer,Beer,faostat-commodity_balances,N
Beer,Beer,faostat-food_supply,N
Beer,Beer,faostat-crops_lives_products,N
Beverages,Beverages,faostat-crops_lives_products,N
"Beverages, Alcoholic","Beverages, Alcoholic",faostat-commodity_balances,N
"Beverages, Alcoholic","Beverages, Alcoholic",faostat-food_supply,N
"Beverages, distilled alcoholic","Beverages, distilled alcoholic",faostat-crops_lives_products,N
"Beverages, Fermented","Beverages, Fermented",faostat-commodity_balances,N
"Beverages, Fermented","Beverages, Fermented",faostat-food_supply,N
"Beverages, non alcoholic","Beverages, non alcoholic",faostat-crops_lives_products,N
Beverages+Tobacco,Beverages+Tobacco,faostat-crops_lives_products,N
Brans,Brans,faostat-commodity_balances,N
Bread,Bread,faostat-crops_lives_products,N
"Cereal preparations, nes","Cereal preparations, nes",faostat-crops_lives_products,N
Cereals - Excluding Beer,Cereals - Excluding Beer,faostat-commodity_balances,N
Cereals - Excluding Beer,Cereals - Excluding Beer,faostat-food_supply,N
Cereals and Preparations,Cereals and Preparations,faostat-crops_lives_products,N
"Cereals, breakfast","Cereals, breakfast",faostat-crops_lives_products,N
"Cereals,Total","Cereals,Total",faostat-crops,N
"Cereals,Total","Cereals,Total",faostat-value_agricultural_production,N
Cider etc,Cider etc,faostat-crops_lives_products,N
Cigarettes,Cigarettes,faostat-crops_lives_products,N
"Cigars, cheroots","Cigars, cheroots",faostat-crops_lives_products,N
"Citrus Fruit,Total",Citrus,faostat-crops,N
"Juice, citrus, concentrated",Citrus,faostat-crops_lives_products,N
"Juice, citrus, single strength",Citrus,faostat-crops_lives_products,N
"Coarse Grain, Total","Coarse Grain, Total",faostat-crops,N
Coffee+Tea+Cocoa+Sp,Coffee+Tea+Cocoa+Sp,faostat-crops_lives_products,N
Crops (PIN),Crops (PIN),faostat-value_agricultural_production,N
Crude materials,Crude materials,faostat-crops_lives_products,N
Crude Materials -Ex2,Crude Materials -Ex2,faostat-crops_lives_products,N
Crude Materials nes,Crude Materials nes,faostat-crops_lives_products,N
"Dregs from brewing, distillation","Dregs from brewing, distillation",faostat-crops_lives_products,N
Fatty acids,Fatty acids,faostat-crops_lives_products,N
Fatty substance residues,Fatty substance residues,faostat-crops_lives_products,N
"Feed and meal, gluten","Feed and meal, gluten",faostat-crops_lives_products,N
Feed minerals,Feed minerals,faostat-crops_lives_products,N
Feed supplements,Feed supplements,faostat-crops_lives_products,N
"Feed, compound, nes","Feed, compound, nes",faostat-crops_lives_products,N
"Feed, pulp of fruit","Feed, pulp of fruit",faostat-crops_lives_products,N
"Feed, vegetable products nes","Feed, vegetable products nes",faostat-crops_lives_products,N
Fibre Crops Primary,Fibre Crops Primary,faostat-crops,N
Fixed Vegetable Oils,Fixed Vegetable Oils,faostat-crops_lives_products,N
"Flour, cereals","Flour, cereals",faostat-crops_lives_products,N
"Flour, mixed grain","Flour, mixed grain",faostat-crops_lives_products,N
"Flour, pulses","Flour, pulses",faostat-crops_lives_products,N
"Flour, roots and tubers nes","Flour, roots and tubers nes",faostat-crops_lives_products,N
Fodder & Feeding stuff,Fodder & Feeding stuff,faostat-crops_lives_products,N
Food (PIN),Food (PIN),faostat-value_agricultural_production,N
Food and Animals,Food and Animals,faostat-crops_lives_products,N
Food Excl Fish,Food Excl Fish,faostat-crops_lives_products,N
Food prep nes,Food prep nes,faostat-crops_lives_products,N
"Food preparations, flour, malt extract","Food preparations, flour, malt extract",faostat-crops_lives_products,N
Food wastes,Food wastes,faostat-crops_lives_products,N
"Forage and silage, grasses nes","Forage and silage, grasses nes",faostat-crops_lives_products,N
"Forage and silage, legumes","Forage and silage, legumes",faostat-crops_lives_products,N
Forage products,Forage products,faostat-crops_lives_products,N
"Fructose and syrup, other","Fructose and syrup, other",faostat-crops_lives_products,N
Fruit and Vegetables,Fruit and Vegetables,faostat-crops_lives_products,N
Fruit Primary,Fruit Primary,faostat-crops,N
"Fruit, cooked, homogenized preparations","Fruit, cooked, homogenized preparations",faostat-crops_lives_products,N
"Fruit, prepared nes","Fruit, prepared nes",faostat-crops_lives_products,N
Fruits - Excluding Wine,Fruits - Excluding Wine,faostat-commodity_balances,N
Fruits - Excluding Wine,Fruits - Excluding Wine,faostat-food_supply,N
Glucose and dextrose,Glucose and dextrose,faostat-crops_lives_products,N
"Grain, mixed","Grain, mixed",faostat-crops,N
"Grain, mixed","Grain, mixed",faostat-crops_lives_products,N
"Grain, mixed","Grain, mixed",faostat-value_agricultural_production,N
Grand Total,Grand Total,faostat-food_supply,N
Groundnuts (in Shell Eq),Groundnut,faostat-commodity_balances,N
Groundnuts (in Shell Eq),Groundnut,faostat-food_supply,N
Groundnuts Total Shelled,Groundnut,faostat-crops_lives_products,N
"Hay (clover, lucerne,etc)","Hay (clover, lucerne,etc)",faostat-crops_lives_products,N
Hay (unspecified),Hay (unspecified),faostat-crops_lives_products,N
Infant food,Infant food,faostat-commodity_balances,N
Infant food,Infant food,faostat-food_supply,N
Infant food,Infant food,faostat-crops_lives_products,N
"Juice, fruit nes","Juice, fruit nes",faostat-crops_lives_products,N
Jute-Like Fibres,Jute-Like Fibres,faostat-commodity_balances,N
Malt,Malt,faostat-crops_lives_products,N
